,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10122575.75,14665.75,4,40490303.0,58663.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11132500.0,15250.0,730.0,12219594.0,15142.0,807.0,9976680.0,13320.0,749.0,7161529.0,14951.0,479.0,-0.04993652525366665,-0.049945746352049514
2019-11-15,10654631.0,15436.75,4,42618524.0,61747.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11718690.0,16053.0,730.0,12860351.999999998,15936.0,807.0,10500980.0,14020.0,749.0,7538501.999999999,15738.0,479.0,0.04745499191524516,0.04744698897370658
2019-10-15,10171922.5,14737.5,4,40687690.0,58950.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11187980.0,15326.0,730.0,12276891.0,15213.0,807.0,10025364.999999998,13385.0,749.0,7197454.0,15026.0,479.0,-0.017103039877444215,-0.01710684273709484
2019-9-15,10348920.5,14994.0,4,41395682.0,59976.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11382160.0,15592.0,730.0,12489939.0,15477.0,807.0,10200631.0,13619.0,749.0,7322952.0,15288.0,479.0,-0.03765940864511441,-0.03765864929480289
2019-8-15,10753906.25,15580.75,4,43015625.0,62323.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11827460.0,16202.0,730.0,12978174.0,16082.0,807.0,10600597.0,14153.0,749.0,7609394.0,15886.0,479.0,0.004007077219264632,0.004011341302316618
2019-7-15,10710986.5,15518.5,4,42843946.0,62074.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11779280.0,16136.0,730.0,12926526.0,16018.0,807.0,10559402.0,14098.0,749.0,7578738.0,15822.0,479.0,0.004729414869605986,0.0047262956848272974
2019-6-15,10660568.25,15445.5,4,42642273.0,61782.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11723070.0,16059.0,730.0,12865194.0,15942.0,807.0,10510717.0,14033.0,749.0,7543292.0,15748.0,479.0,-0.011441811997336293,-0.011440549146359058
2019-5-15,10783956.25,15624.25,4,43135825.0,62497.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11858120.000000002,16244.0,730.0,13013682.0,16126.0,807.0,10633553.0,14197.0,749.0,7630470.0,15930.0,479.0,0.024758923154932333,0.02475937494875957
2019-4-15,10523408.0,15246.75,4,42093632.0,60987.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11571230.0,15851.0,730.0,12698952.0,15736.0,807.0,10377395.0,13855.0,749.0,7446054.999999999,15545.0,479.0,0.035292279678240446,0.03529232022815232
2019-3-15,10164673.5,14727.0,4,40658694.0,58908.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11176300.0,15310.0,730.0,12265593.0,15199.0,807.0,10024616.0,13384.0,749.0,7192185.0,15015.0,479.0,-0.003335257191763974,-0.0033330513492936253
2019-2-15,10198688.75,14776.25,4,40794755.0,59105.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11212800.0,15360.0,730.0,12306750.0,15250.0,807.0,10059070.0,13430.0,749.0,7216135.0,15065.0,479.0,0.018998904685125106,0.018999017292208986
