,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",41704698.0,23982.0,1739.0,39582648.0,23394.0,1692.0,,,1103.0,,
2019-11-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",42562025.0,24475.0,1739.0,40389732.0,23871.0,1692.0,,,1103.0,,
2019-10-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",41843818.0,24062.0,1739.0,39699396.0,23463.0,1692.0,,,1103.0,,
2019-9-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",42415949.0,24391.0,1739.0,40807656.0,24118.0,1692.0,,,1103.0,,
2019-8-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",42979385.0,24715.0,1739.0,41349096.0,24438.0,1692.0,,,1103.0,,
2019-7-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",43008948.0,24732.0,1739.0,41379552.0,24456.0,1692.0,,,1103.0,,
2019-6-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",42283785.0,24315.0,1739.0,40680756.0,24043.0,1692.0,,,1103.0,,
2019-5-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",43094159.0,24781.0,1739.0,41460768.0,24504.0,1692.0,,,1103.0,,
2019-4-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",42431600.0,24400.0,1739.0,40822884.0,24127.0,1692.0,,,1103.0,,
2019-3-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",41386461.0,23799.0,1739.0,39817836.0,23533.0,1692.0,,,1103.0,,
2019-2-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",39963959.0,22981.0,1739.0,38449007.99999999,22724.0,1692.0,,,1103.0,,
2019-1-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",39626593.0,22787.0,1739.0,38124143.99999999,22532.0,1692.0,,,1103.0,,
2018-12-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",39165758.0,22522.0,1739.0,37680840.0,22270.0,1692.0,,,1103.0,,
2018-11-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",40676949.0,23391.0,1739.0,39134268.0,23129.0,1692.0,,,1103.0,,
2018-10-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",41605575.0,23925.0,1739.0,40027643.99999999,23657.0,1692.0,,,1103.0,,
2018-9-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",43195021.0,24839.0,1739.0,41555520.0,24560.0,1692.0,,,1103.0,,
2018-8-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",44381019.0,25521.0,1739.0,42697620.0,25235.0,1692.0,,,1103.0,,
2018-7-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",43920184.0,25256.0,1739.0,42256008.0,24974.0,1692.0,,,1103.0,,
2018-6-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",43549777.0,25043.0,1739.0,41897304.0,24762.0,1692.0,,,1103.0,,
2018-5-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",42414210.0,24390.0,1739.0,40805964.0,24117.0,1692.0,,,1103.0,,
2018-4-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",41508191.0,23869.0,1739.0,39934584.0,23602.0,1692.0,,,1103.0,,
2018-3-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",40666515.0,23385.0,1739.0,39124116.0,23123.0,1692.0,,,1103.0,,
