,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_CD,npsf_CD,nfa_CD,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,29021080.625,21093.25,8,232168645.0,168746.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",15595304.0,18092.0,862.0,60944133.0,25791.0,2363.0,11462040.0,21226.0,540.0,17228106.0,19533.0,882.0,92348732.0,28868.0,3199.0,13078800.0,18900.0,692.0,8642215.0,17819.0,485.0,12869315.0,18517.0,695.0,-0.17336768984953543,-0.17429917746015744
2019-11-15,35107605.0,25545.875,8,280860840.0,204367.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18917452.0,21946.0,862.0,73182110.0,30970.0,2363.0,13901220.0,25743.0,540.0,20894580.0,23690.0,882.0,112006587.0,35013.0,3199.0,15859256.0,22918.0,692.0,10487155.0,21623.0,485.0,15612479.999999998,22464.0,695.0,0.039871769229041565,0.0398239544113157
2019-10-15,33761475.25,24567.5,8,270091802.0,196540.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18194234.0,21107.0,862.0,70367777.0,29779.0,2363.0,13367700.0,24755.0,540.0,20092842.0,22781.0,882.0,107713529.0,33671.0,3199.0,15248220.0,22035.0,692.0,10089940.0,20804.0,485.0,15017560.0,21608.0,695.0,-0.05986732191552269,-0.059900604124115686
2019-9-15,35911394.25,26132.875,8,287291154.0,209063.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",19354486.0,22453.0,862.0,74840936.0,31672.0,2363.0,14218200.0,26330.0,540.0,21371742.0,24231.0,882.0,114575384.0,35816.0,3199.0,16215636.000000002,23433.0,692.0,10737415.0,22139.0,485.0,15977355.0,22989.0,695.0,0.09227300007115002,0.09223752403243335
2019-8-15,32877672.75,23926.0,8,263021382.0,191408.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",17720996.0,20558.0,862.0,68512822.0,28994.0,2363.0,13016160.0,24104.0,540.0,19564524.0,22182.0,882.0,104898409.0,32791.0,3199.0,14842016.0,21448.0,692.0,9835315.0,20279.0,485.0,14631140.0,21052.0,695.0,-0.03728374891202235,-0.03733321262780953
2019-7-15,34150948.125,24853.875,8,273207585.0,198831.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18409734.0,21357.0,862.0,71154656.0,30112.0,2363.0,13519980.0,25037.0,540.0,20322162.0,23041.0,882.0,108964338.0,34062.0,3199.0,15414300.0,22275.0,692.0,10221375.0,21075.0,485.0,15201040.0,21872.0,695.0,-0.00351511227315493,-0.0062673363820375805
2019-6-15,34271416.0,25010.625,8,274171328.0,200085.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18445076.0,21398.0,862.0,71260991.0,30157.0,2363.0,14024880.0,25972.0,540.0,20358324.0,23082.0,882.0,109165875.0,34125.0,3199.0,15439212.0,22311.0,692.0,10244655.0,21123.0,485.0,15232315.0,21917.0,695.0,-0.03407033429808748,-0.03414768366327314
2019-5-15,35480239.625,25894.875,8,283841917.0,207159.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",19097610.0,22155.0,862.0,73753956.0,31212.0,2363.0,14522760.0,26894.0,540.0,21077154.0,23897.0,882.0,113023869.0,35331.0,3199.0,15981047.999999998,23094.0,692.0,10611800.0,21880.0,485.0,15773720.000000002,22696.0,695.0,0.037692173423060193,0.02863058795489426
2019-4-15,34191488.125,25174.125,8,273531905.0,201393.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18711434.0,21707.0,862.0,70911267.0,30009.0,2363.0,14229540.0,26351.0,540.0,20647620.0,23410.0,882.0,107521589.0,33611.0,3199.0,15653040.0,22620.0,692.0,10401310.0,21446.0,485.0,15456105.000000002,22239.0,695.0,0.019352180468493296,0.019081883595955862
2019-3-15,33542370.125,24702.75,8,268338961.0,197622.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18364910.0,21305.0,862.0,69559631.0,29437.0,2363.0,13966560.0,25864.0,540.0,20262186.0,22973.0,882.0,105442239.0,32961.0,3199.0,15358940.0,22195.0,692.0,10212645.0,21057.0,485.0,15171850.0,21830.0,695.0,0.04592624824057623,0.045331443200812505
2019-2-15,32069536.625,23631.5,8,256556293.0,189052.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",17562388.0,20374.0,862.0,67232076.0,28452.0,2363.0,13357440.0,24736.0,540.0,19374894.0,21967.0,882.0,100064720.0,31280.0,3199.0,14684240.0,21220.0,692.0,9770325.0,20145.0,485.0,14510210.0,20878.0,695.0,0.011355734540039686,0.011151700567479716
2019-1-15,31709452.5,23370.875,8,253675620.0,186967.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",17371024.0,20152.0,862.0,66492456.99999999,28139.0,2363.0,13212720.0,24468.0,540.0,19161450.0,21725.0,882.0,98897085.0,30915.0,3199.0,14519544.0,20982.0,692.0,9667505.0,19933.0,485.0,14353835.0,20653.0,695.0,-0.004632306520533702,-0.004827703673738748
2018-12-15,31857024.0,23484.25,8,254856192.0,187874.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",17457224.0,20252.0,862.0,66818551.00000001,28277.0,2363.0,13279140.0,24591.0,540.0,19254060.0,21830.0,882.0,99312955.0,31045.0,3199.0,14588052.0,21081.0,692.0,9719400.0,20040.0,485.0,14426810.0,20758.0,695.0,-0.008465047812338367,-0.008768782711463752
2018-11-15,32128997.5,23692.0,8,257031980.0,189536.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",17485670.0,20285.0,862.0,66922522.99999999,28321.0,2363.0,13301280.0,24632.0,540.0,19283166.0,21863.0,882.0,100781296.0,31504.0,3199.0,14608120.0,21110.0,692.0,10198095.0,21027.0,485.0,14451830.0,20794.0,695.0,-0.08547511806105768,-0.08007416251686617
2018-10-15,35131900.875,25754.25,8,281055207.0,206034.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18926072.0,21956.0,862.0,72428313.0,30651.0,2363.0,14397480.0,26662.0,540.0,20869002.0,23661.0,882.0,111945806.0,34994.0,3199.0,15806664.0,22842.0,692.0,11038115.0,22759.0,485.0,15643755.000000002,22509.0,695.0,,
2018-9-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",20114316.616899595,17819.0,862.0,82958143.53465584,26809.0,2363.0,15364138.467718108,21727.0,540.0,22046705.448701862,19088.0,882.0,,,3199.0,16422032.56060435,18122.0,692.0,11800546.936321609,18580.0,485.0,15999940.355184164,17580.0,695.0,,
2018-8-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18424088.066536475,19152.0,862.0,85410734.02270767,32388.0,2363.0,14071657.199781066,23350.0,540.0,20197116.873708885,20519.0,882.0,,,3199.0,15047734.03538044,19485.0,692.0,10808972.33925129,19970.0,485.0,14656904.888766963,18897.0,695.0,,
2018-7-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",20457136.852719218,18016.0,862.0,94857657.6625621,30474.0,2363.0,15623007.199065318,21963.0,540.0,22429397.236139327,19305.0,882.0,,,3199.0,16714365.938794933,18336.0,692.0,12001406.596591268,18785.0,485.0,16276886.90824861,17779.0,695.0,,
