,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14074683.333333334,13245.0,3,42224050.0,39735.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16513950.0,13350.0,1237.0,16776408.0,13189.0,1272.0,8933692.0,13196.0,677.0,-0.00030172744645340366,-0.00030190957808140517
2019-11-15,14078931.333333334,13249.0,3,42236794.0,39747.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16518898.0,13354.0,1237.0,16781496.0,13193.0,1272.0,8936400.0,13200.0,677.0,0.020096040734290055,0.02009547274407142
2019-10-15,13801574.333333334,12988.0,3,41404723.0,38964.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16193567.0,13091.0,1237.0,16450776.0,12933.0,1272.0,8760380.0,12940.0,677.0,0.010763278950219002,0.01076551920931812
2019-9-15,13654606.0,12849.666666666666,3,40963818.0,38549.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16021624.0,12952.0,1237.0,16275240.0,12795.0,1272.0,8666954.0,12802.0,677.0,-0.05394233937237225,-0.05394262154269036
2019-8-15,14433164.666666666,13582.333333333334,3,43299494.0,40747.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16934530.0,13690.0,1237.0,17203800.0,13525.0,1272.0,9161163.999999998,13532.0,677.0,0.04108476240917813,0.04108434042770637
2019-7-15,13863582.666666666,13046.333333333334,3,41590748.0,39139.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16266550.0,13150.0,1237.0,16524552.0,12991.0,1272.0,8799646.0,12998.0,677.0,-0.044132717958010104,-0.044131294876178284
2019-6-15,14503669.0,13648.666666666666,3,43511007.0,40946.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",17017409.0,13757.0,1237.0,17287752.0,13591.0,1272.0,9205846.0,13598.0,677.0,0.002450775299742247,0.002448220143955293
2019-5-15,14468210.666666666,13615.333333333334,3,43404632.0,40846.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16975351.0,13723.0,1237.0,17245776.0,13558.0,1272.0,9183505.0,13565.0,677.0,-0.0036849851311262505,-0.003683196331438765
2019-4-15,14521723.0,13665.666666666666,3,43565169.0,40997.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",17038438.0,13774.0,1237.0,17309376.000000004,13608.0,1272.0,9217355.0,13615.0,677.0,0.06059897986671303,0.06058724615185618
2019-3-15,13692001.666666666,12885.0,3,41076005.0,38655.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16064919.0,12987.0,1237.0,16319760.0,12830.0,1272.0,8691326.0,12838.0,677.0,0.03854822222340215,0.038554540569586404
2019-2-15,13183790.0,12406.666666666666,3,39551370.0,37220.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",15468685.0,12505.0,1237.0,15714288.0,12354.0,1272.0,8368397.0,12361.0,677.0,0.009103224571422208,0.009109641036763927
