,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10635324.999999998,13723.0,775.0,,,401.0,,
2019-11-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10850000.0,14000.0,775.0,,,401.0,,
2019-10-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10662450.0,13758.0,775.0,,,401.0,,
2019-9-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10959275.0,14141.0,775.0,,,401.0,,
2019-8-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11101100.0,14324.0,775.0,,,401.0,,
2019-7-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11111950.0,14338.0,775.0,,,401.0,,
2019-6-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10928275.0,14101.0,775.0,,,401.0,,
2019-5-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11142175.0,14377.0,775.0,,,401.0,,
2019-4-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10974775.0,14161.0,775.0,,,401.0,,
2019-3-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10708950.0,13818.0,775.0,,,401.0,,
2019-2-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10344700.0,13348.0,775.0,,,401.0,,
2019-1-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10261775.0,13241.0,775.0,,,401.0,,
2018-12-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10146300.0,13092.0,775.0,,,401.0,,
2018-11-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10542325.000000002,13603.0,775.0,,,401.0,,
2018-10-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",10787225.0,13919.0,775.0,,,401.0,,
2018-9-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11204175.0,14457.0,775.0,,,401.0,,
2018-8-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11517275.0,14861.0,775.0,,,401.0,,
2018-7-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11403350.0,14714.0,775.0,,,401.0,,
2018-6-15,,,2,,,1176,"ONTOLO(Block 9A),FO YIN RD|朗濤9A座,科研路",11311900.0,14596.0,775.0,,,401.0,,
