,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,20561833.875,26236.25,8,164494671.0,209890.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",33270592.0,31036.0,1072.0,19743280.0,25978.0,760.0,16286158.0,24751.0,658.0,15972327.0,24311.0,657.0,32052639.0,30153.0,1063.0,23781024.0,27912.0,852.0,12513435.0,23045.0,543.0,10875216.0,22704.0,479.0,-0.01774877385548279,-0.01820086911371921
2019-11-15,20933375.625,26722.625,8,167467005.0,213781.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",33586832.0,31331.0,1072.0,20084520.0,26427.0,760.0,16567782.0,25179.0,658.0,16452594.0,25042.0,657.0,32603273.0,30671.0,1063.0,24403836.0,28643.0,852.0,12730092.0,23444.0,543.0,11038076.0,23044.0,479.0,0.029615497857568895,0.029386839241518192
2019-10-15,20331255.375,25959.75,8,162650043.0,207678.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",32709936.0,30513.0,1072.0,19560120.0,25737.0,760.0,16135476.0,24522.0,658.0,16023573.0,24389.0,657.0,31752873.0,29871.0,1063.0,23320092.0,27371.0,852.0,12397776.0,22832.0,543.0,10750197.0,22443.0,479.0,-0.028653710636500684,-0.028652410619071644
2019-9-15,20931006.375,26725.5,8,167448051.0,213804.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",33673664.0,31412.0,1072.0,20136960.0,26496.0,760.0,16611210.0,25245.0,658.0,16496613.0,25109.0,657.0,32691502.0,30754.0,1063.0,24007656.0,28178.0,852.0,12762672.0,23504.0,543.0,11067774.0,23106.0,479.0,-0.03081979720011141,-0.030815677101748817
2019-8-15,21596609.5,27575.25,8,172772876.0,220602.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",34743520.0,32410.0,1072.0,20776880.0,27338.0,760.0,17139584.0,26048.0,658.0,17021556.0,25908.0,657.0,33733242.0,31734.0,1063.0,24771048.0,29074.0,852.0,13167207.0,24249.0,543.0,11419839.0,23841.0,479.0,0.0022423007150902396,0.0022443527722755263
2019-7-15,21548291.75,27513.5,8,172386334.0,220108.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",34665264.0,32337.0,1072.0,20729760.0,27276.0,760.0,17100762.0,25989.0,658.0,16984107.0,25851.0,657.0,33659895.0,31665.0,1063.0,24714816.0,29008.0,852.0,13136799.0,24193.0,543.0,11394931.0,23789.0,479.0,0.002818183207452085,0.002820186888636833
2019-6-15,21487735.375,27436.125,8,171901883.0,219489.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",34566640.0,32245.0,1072.0,20671240.0,27199.0,760.0,17052728.0,25916.0,658.0,16936803.0,25779.0,657.0,33567414.0,31578.0,1063.0,24644952.0,28926.0,852.0,13098789.0,24123.0,543.0,11363317.0,23723.0,479.0,-0.009197794513435498,-0.00919530890279241
2019-5-15,21687209.875,27690.75,8,173497679.0,221526.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",34887168.0,32544.0,1072.0,20862760.0,27451.0,760.0,17210648.0,26156.0,658.0,17093826.0,26018.0,657.0,33880999.0,31873.0,1063.0,24873288.0,29194.0,852.0,13219335.0,24345.0,543.0,11469655.0,23945.0,479.0,0.01838529956943913,0.018388606419462494
2019-4-15,21295682.375,27190.75,8,170365459.0,217526.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",34256832.0,31956.0,1072.0,20485800.0,26955.0,760.0,16899414.0,25683.0,658.0,16785693.0,25549.0,657.0,33270837.0,31299.0,1063.0,24424284.0,28667.0,852.0,12979872.0,23904.0,543.0,11262727.0,23513.0,479.0,0.02494818164370738,0.024949229848608256
2019-3-15,20777325.875,26528.875,8,166218607.0,212231.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",33421744.0,31177.0,1072.0,19986480.0,26298.0,760.0,16488164.0,25058.0,658.0,16377696.0,24928.0,657.0,32462957.0,30539.0,1063.0,23829588.0,27969.0,852.0,12662760.0,23320.0,543.0,10989218.0,22942.0,479.0,0.02351842388319647,0.023520163584980214
2019-2-15,20299904.125,25919.25,8,162399233.0,207354.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",32653120.0,30460.0,1072.0,19526680.0,25693.0,760.0,16109156.0,24482.0,658.0,16001235.0,24355.0,657.0,31718857.0,29839.0,1063.0,23281752.0,27326.0,852.0,12371169.0,22783.0,543.0,10737264.0,22416.0,479.0,0.016530675835850106,0.016535853829523273
