,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11986659.0,12272.0,3,35959977.0,36816.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12568632.0,9881.0,1272.0,9629685.0,12555.0,767.0,13761660.0,14380.0,957.0,-0.0002977980210497888,-0.0002986938930675809
2019-11-15,11990229.666666666,12275.666666666666,3,35970689.0,36827.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12572448.0,9884.0,1272.0,9632753.0,12559.0,767.0,13765488.0,14384.0,957.0,0.020109324584855592,0.020110246253566277
2019-10-15,11753867.333333334,12033.666666666666,3,35261602.0,36101.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12324408.0,9689.0,1272.0,9442537.0,12311.0,767.0,13494657.0,14101.0,957.0,0.010778085469185905,0.010779482584835742
2019-9-15,11628534.0,11905.333333333334,3,34885602.0,35716.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12193392.0,9586.0,1272.0,9342060.0,12180.0,767.0,13350150.0,13950.0,957.0,-0.053948519145150864,-0.053955977008449674
2019-8-15,12291650.333333334,12584.333333333334,3,36874951.0,37753.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12887904.0,10132.0,1272.0,9875125.0,12875.0,767.0,14111922.0,14746.0,957.0,0.04114127079034824,0.04114613496594144
2019-7-15,11805939.0,12087.0,3,35417817.0,36261.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12379104.0,9732.0,1272.0,9484722.0,12366.0,767.0,13553991.000000002,14163.0,957.0,-0.04415805861124167,-0.0441533108393084
2019-6-15,12351350.666666666,12645.333333333334,3,37054052.0,37936.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12951504.0,10182.0,1272.0,9922679.0,12937.0,767.0,14179869.0,14817.0,957.0,0.002435584460057205,0.002431032660395349
2019-5-15,12321341.0,12614.666666666666,3,36964023.0,37844.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12919704.0,10157.0,1272.0,9898902.0,12906.0,767.0,14145417.0,14781.0,957.0,-0.00023971620716878306,-0.0010294855212100718
2019-4-15,12324295.333333334,12627.666666666666,3,36972886.0,37883.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12840840.0,10095.0,1272.0,9934951.0,12953.0,767.0,14197095.0,14835.0,957.0,0.06061590783614368,0.06061369617559764
2019-3-15,11619942.0,11906.0,3,34859826.0,35718.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12106896.0,9518.0,1272.0,9367371.0,12213.0,767.0,13385559.0,13987.0,957.0,0.038524815504519916,0.038525281307242754
2019-2-15,11188892.0,11464.333333333334,3,33566676.0,34393.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11657880.0,9165.0,1272.0,9019920.0,11760.0,767.0,12888876.0,13468.0,957.0,0.007641180096188416,0.007233643765009123
2019-1-15,11104044.0,11382.0,3,33312132.0,34146.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11552304.0,9082.0,1272.0,8987706.0,11718.0,767.0,12772122.0,13346.0,957.0,0.05635567994097235,0.05636678628882574
2018-12-15,10511652.666666666,10774.666666666666,3,31534958.0,32324.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",10936656.0,8598.0,1272.0,8507564.0,11092.0,767.0,12090738.0,12634.0,957.0,-0.027608313508254656,-0.027615666927381044
2018-11-15,10810101.333333334,11080.666666666666,3,32430304.0,33242.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11247024.0,8842.0,1272.0,8749936.0,11408.0,767.0,12433344.0,12992.0,957.0,-0.051179811589424196,-0.05117739403453703
2018-10-15,11393203.333333334,11678.333333333334,3,34179610.0,35035.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11853768.0,9319.0,1272.0,9221641.000000002,12023.0,767.0,13104201.0,13693.0,957.0,-0.021808286145347466,-0.02180589680589673
