,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_change,npsf_change
2019-12-15,6970088.285714285,13537.0,7,48790618.0,94759.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9727200.0,13896.0,700.0,7735902.0,14379.0,538.0,8930610.0,13470.0,663.0,5655654.0,13661.0,414.0,5546086.0,12779.0,434.0,5666304.0,13056.0,434.0,5528862.0,13518.0,409.0,-0.0003178903766050123,-0.0003164924200065311
2019-11-15,6972304.714285715,13541.285714285714,7,48806133.0,94789.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9730000.0,13900.0,700.0,7738054.0,14383.0,538.0,8933925.0,13475.0,663.0,5657310.0,13665.0,414.0,5548690.0,12785.0,434.0,5668474.0,13061.0,434.0,5529680.0,13520.0,409.0,0.020103483182196014,0.02010309833084012
2019-10-15,6834899.428571428,13274.42857142857,7,47844296.0,92921.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9538200.0,13626.0,700.0,7585800.0,14100.0,538.0,8757567.0,13209.0,663.0,5545944.0,13396.0,414.0,5440190.0,12535.0,434.0,5556936.0,12804.0,434.0,5419659.0,13251.0,409.0,0.010760634289992188,0.010757951529391185
2019-9-15,6762134.571428572,13133.142857142857,7,47334942.0,91932.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9436700.0,13481.0,700.0,7504562.0,13949.0,538.0,8664084.0,13068.0,663.0,5486742.0,13253.0,414.0,5383336.0,12404.0,434.0,5498346.0,12669.0,434.0,5361172.0,13108.0,409.0,-0.05398480733912825,-0.05398341188334821
2019-8-15,7148019.0,13882.57142857143,7,50036133.0,97178.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9975000.0,14250.0,700.0,7932810.0,14745.0,538.0,9158682.0,13814.0,663.0,5799726.0,14009.0,414.0,5691476.0,13114.0,434.0,5812562.0,13393.0,434.0,5665877.0,13853.0,409.0,0.04111067462277629,0.041107337611553385
2019-7-15,6865762.857142857,13334.42857142857,7,48060340.0,93341.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9580900.0,13687.0,700.0,7619694.0,14163.0,538.0,8796684.0,13268.0,663.0,5570784.0,13456.0,414.0,5467531.999999999,12598.0,434.0,5583410.0,12865.0,434.0,5441336.0,13304.0,409.0,-0.044177291964998644,-0.0441759254518459
2019-6-15,7183092.428571428,13950.714285714286,7,50281647.0,97655.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",10024000.0,14320.0,700.0,7971546.0,14817.0,538.0,9203103.0,13881.0,663.0,5828292.0,14078.0,414.0,5720988.0,13182.0,434.0,5842074.0,13461.0,434.0,5691644.0,13916.0,409.0,0.0024423664361070685,0.002443105412812896
2019-5-15,7165591.428571428,13916.714285714286,7,50159140.0,97417.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9999500.0,14285.0,700.0,7952178.0,14781.0,538.0,9180561.0,13847.0,663.0,5813802.0,14043.0,414.0,5708402.0,13153.0,434.0,5828186.0,13429.0,434.0,5676511.0,13879.0,409.0,-0.0036767263275113704,-0.003681847469241162
2019-4-15,7192034.571428572,13968.142857142857,7,50344242.0,97777.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",10035900.0,14337.0,700.0,7981230.0,14835.0,538.0,9214374.0,13898.0,663.0,5835330.0,14095.0,414.0,5730536.0,13204.0,434.0,5850320.0,13480.0,434.0,5696552.0,13928.0,409.0,0.06229340540395922,0.06183551795662612
2019-3-15,6770290.142857143,13154.714285714286,7,47392031.0,92083.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9384900.0,13407.0,700.0,7525544.0,13988.0,538.0,8688615.0,13105.0,663.0,5502060.0,13290.0,414.0,5404168.0,12452.0,434.0,5516574.0,12711.0,434.0,5370170.0,13130.0,409.0,0.038529889500465764,0.0385261709542446
2019-2-15,6519109.571428572,12666.714285714286,7,45633767.0,88667.0,3592,"WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|WETLAND SEASONS PARK22座,濕地公園路",9037000.0,12910.0,700.0,7245784.0,13468.0,538.0,8365734.0,12618.0,663.0,5297958.0,12797.0,414.0,5204528.0,11992.0,434.0,5312594.000000001,12241.0,434.0,5170169.0,12641.0,409.0,0.009115142098351958,0.009116154143810062
