,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A4,npsf_A4,nfa_A4,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B4,npsf_B4,nfa_B4,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_change,npsf_change
2016-1-15,14855029.875,10875.0,8,118840239.0,87000,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",18628974.0,11934.0,1561.0,17789442.0,11719.0,1518.0,17789442.0,11719.0,1518.0,18197136.0,11824.0,1539.0,12242106.0,10151.0,1206.0,12113064.0,10044.0,1206.0,11707921.0,10067.0,1163.0,10372154.0,9542.0,1087.0,-0.02149889567265917,-0.02151541394396772
2016-2-15,15181413.5,11114.125,8,121451308.0,88913,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",19036395.0,12195.0,1561.0,18178050.0,11975.0,1518.0,18178050.0,11975.0,1518.0,18595737.0,12083.0,1539.0,12512250.0,10375.0,1206.0,12383208.0,10268.0,1206.0,11966107.0,10289.0,1163.0,10601511.0,9753.0,1087.0,-0.0024652518323887707,-0.0024794130186012175
2016-3-15,15218932.0,11141.75,8,121751456.0,89134,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",19081664.0,12224.0,1561.0,18222072.0,12004.0,1518.0,18222072.0,12004.0,1518.0,18638829.0,12111.0,1539.0,12544812.0,10402.0,1206.0,12416976.0,10296.0,1206.0,11996345.0,10315.0,1163.0,10628686.0,9778.0,1087.0,0.06365004967251853,0.06304264860223263
2016-4-15,14308213.5,10481.0,8,114465708.0,83848,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",17881255.0,11455.0,1561.0,17068392.0,11244.0,1518.0,17068392.0,11244.0,1518.0,17463033.0,11347.0,1539.0,11706642.0,9707.0,1206.0,11706642.0,9707.0,1206.0,11657912.0,10024.0,1163.0,9913440.0,9120.0,1087.0,0.0106370737174597,0.010643042246730516
2016-5-15,14157617.875,10370.625,8,113260943.0,82965,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",17693935.0,11335.0,1561.0,16889268.0,11126.0,1518.0,16889268.0,11126.0,1518.0,17279892.0,11228.0,1539.0,11583630.0,9605.0,1206.0,11583630.0,9605.0,1206.0,11531145.0,9915.0,1163.0,9810175.0,9025.0,1087.0,-0.015983856431241783,-0.01597637346996872
2016-6-15,14387587.0,10539.0,8,115100696.0,84312,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",17982720.0,11520.0,1561.0,17164026.0,11307.0,1518.0,17164026.0,11307.0,1518.0,17561529.0,11411.0,1539.0,11771766.0,9761.0,1206.0,11771766.0,9761.0,1206.0,11714899.0,10073.0,1163.0,9969964.0,9172.0,1087.0,-0.016041016154884513,-0.016035291646243288
2016-7-15,14622141.0,10710.75,8,116977128.0,85686,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",18276188.0,11708.0,1561.0,17444856.0,11492.0,1518.0,17444856.0,11492.0,1518.0,17847783.0,11597.0,1539.0,11964726.0,9921.0,1206.0,11964726.0,9921.0,1206.0,11900979.0,10233.0,1163.0,10133014.0,9322.0,1087.0,-0.015371880183960074,-0.015363754409753794
2016-8-15,14850419.875,10877.875,8,118803359.0,87023,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",18561851.0,11891.0,1561.0,17718096.0,11672.0,1518.0,17718096.0,11672.0,1518.0,18127881.0,11779.0,1539.0,12151656.0,10076.0,1206.0,12151656.0,10076.0,1206.0,12082407.0,10389.0,1163.0,10291716.0,9468.0,1087.0,-0.0633190261988017,-0.06331198536139071
2016-9-15,15854298.625,11613.125,8,126834389.0,92905,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",19818456.0,12696.0,1561.0,18915798.0,12461.0,1518.0,18915798.0,12461.0,1518.0,19354464.0,12576.0,1539.0,12974148.0,10758.0,1206.0,12974148.0,10758.0,1206.0,12894181.0,11087.0,1163.0,10987396.0,10108.0,1087.0,-0.028411086546670905,-0.028403802512000476
2016-10-15,16317908.125,11952.625,8,130543265.0,95621,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",20399148.0,13068.0,1561.0,19469868.0,12826.0,1518.0,19469868.0,12826.0,1518.0,19920816.0,12944.0,1539.0,13354038.0,11073.0,1206.0,13354038.0,11073.0,1206.0,13266341.0,11407.0,1163.0,11309148.0,10404.0,1087.0,0.00318058850001246,0.0031893576172141724
2016-11-15,16266172.125,11914.625,8,130129377.0,95317,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",20335147.0,13027.0,1561.0,19409148.0,12786.0,1518.0,19409148.0,12786.0,1518.0,19859256.0,12904.0,1539.0,13311828.0,11038.0,1206.0,13311828.0,11038.0,1206.0,13218658.0,11366.0,1163.0,11274364.0,10372.0,1087.0,0.033081396708600996,0.0330898291858146
2016-12-15,15745295.75,11533.0,8,125962366.0,92264,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",19685771.0,12611.0,1561.0,18788286.0,12377.0,1518.0,18788286.0,12377.0,1518.0,19223649.0,12491.0,1539.0,12886110.0,10685.0,1206.0,12886110.0,10685.0,1206.0,12790674.0,10998.0,1163.0,10913480.0,10040.0,1087.0,-0.03355987754798373,-0.03355086050677203
2017-1-15,16292055.125,11933.375,8,130336441.0,95467,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",20369489.0,13049.0,1561.0,19442544.0,12808.0,1518.0,19442544.0,12808.0,1518.0,19891575.0,12925.0,1539.0,13334742.0,11057.0,1206.0,13334742.0,11057.0,1206.0,13227962.0,11374.0,1163.0,11292843.0,10389.0,1087.0,0.0588789579423632,0.058885512100978366
2017-2-15,15386135.5,11269.75,8,123089084.0,90158,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",19237764.0,12324.0,1561.0,18361728.0,12096.0,1518.0,18361728.0,12096.0,1518.0,18786573.0,12207.0,1539.0,12594258.0,10443.0,1206.0,12594258.0,10443.0,1206.0,12487131.0,10737.0,1163.0,10665644.0,9812.0,1087.0,-0.053211931467571305,-0.053200873729311926
