,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,24194438.0,22725.666666666668,3,72583314.0,68177.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",31441718.0,23429.0,1342.0,28859596.0,21748.0,1327.0,12282000.0,23000.0,534.0,-0.017010534530492394,-0.01702759595144021
2019-11-15,24613120.333333332,23119.333333333332,3,73839361.0,69358.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",31983886.0,23833.0,1342.0,29359875.0,22125.0,1327.0,12495600.0,23400.0,534.0,0.026750074424033654,0.02673495973472284
2019-10-15,23971871.0,22517.333333333332,3,71915613.0,67552.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",31149162.0,23211.0,1342.0,28595523.0,21549.0,1327.0,12170928.0,22792.0,534.0,-0.028641086879699684,-0.02865770364512199
2019-9-15,24678695.666666668,23181.666666666668,3,74036087.0,69545.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",32065748.0,23894.0,1342.0,29439495.0,22185.0,1327.0,12530844.0,23466.0,534.0,-0.030833354703513893,-0.030853272760211214
2019-8-15,25463831.0,23919.666666666668,3,76391493.0,71759.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",33084326.0,24653.0,1342.0,30376357.0,22891.0,1327.0,12930810.0,24215.0,534.0,-0.013733559550898833,-0.02910296306318494
2019-7-15,25818409.666666668,24636.666666666668,3,77455229.0,73910.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",33009174.0,24597.0,1342.0,30310007.0,22841.0,1327.0,14136048.0,26472.0,534.0,0.0026680172062010232,0.002509325194981482
2019-6-15,25749709.0,24575.0,3,77249127.0,73725.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",32915234.0,24527.0,1342.0,30225079.0,22777.0,1327.0,14108814.0,26421.0,534.0,-0.009339399655969527,-0.009498602751504825
2019-5-15,25992463.0,24810.666666666668,3,77977389.0,74432.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",33218526.0,24753.0,1342.0,30506403.0,22989.0,1327.0,14252460.0,26690.0,534.0,0.018224983259379268,0.01806841651735036
2019-4-15,25527229.666666668,24370.333333333332,3,76581689.0,73111.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",32617310.0,24305.0,1342.0,29957025.0,22575.0,1327.0,14007354.0,26231.0,534.0,0.023858026404633303,0.023877545304316072
2019-3-15,24932392.0,23802.0,3,74797176.0,71406.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",31822846.0,23713.0,1342.0,29294852.0,22076.0,1327.0,13679478.0,25617.0,534.0,0.021340583887227815,0.021618141497961263
2019-2-15,24411437.666666668,23298.333333333332,3,73234313.0,69895.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",31090114.0,23167.0,1342.0,28768033.0,21679.0,1327.0,13376166.0,25049.0,534.0,0.05726312655338184,0.04785391961381058
