,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F
2016-1-15,15589506.666666666,28835.333333333332,3,46768520,86506,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",15224544.0,28944.0,526.0,15760480.0,28760.0,548.0,15783496.0,28802.0,548.0
2016-2-15,15428212.666666666,28537.0,3,46284638,85611,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",15067270.0,28645.0,526.0,15597176.0,28462.0,548.0,15620192.0,28504.0,548.0
2016-3-15,15184204.0,28085.666666666668,3,45552612,84257,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",14828992.0,28192.0,526.0,15350576.0,28012.0,548.0,15373044.0,28053.0,548.0
2016-4-15,15042739.333333334,27824.0,3,45128218,83472,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",14690654.0,27929.0,526.0,15207548.0,27751.0,548.0,15230016.0,27792.0,548.0
2016-5-15,15297919.333333334,28296.0,3,45893758,84888,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",14939978.0,28403.0,526.0,15465656.0,28222.0,548.0,15488124.0,28263.0,548.0
2016-6-15,15420102.666666666,28522.0,3,46260308,85566,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",15059380.0,28630.0,526.0,15588956.0,28447.0,548.0,15611972.0,28489.0,548.0
2016-7-15,15427847.333333334,28536.333333333332,3,46283542,85609,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",15067270.0,28645.0,526.0,15596628.0,28461.0,548.0,15619644.0,28503.0,548.0
2016-8-15,15764485.333333334,29159.0,3,47293456,87477,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",15396020.0,29270.0,526.0,15936936.0,29082.0,548.0,15960500.0,29125.0,548.0
2016-9-15,16508764.0,30535.666666666668,3,49526292,91607,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",16122952.0,30652.0,526.0,16689340.0,30455.0,548.0,16714000.0,30500.0,548.0
2016-10-15,16982000.666666668,31411.0,3,50946002,94233,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",16585306.0,31531.0,526.0,17167744.0,31328.0,548.0,17192952.0,31374.0,548.0
2016-11-15,16610219.333333334,30723.333333333332,3,49830658,92170,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",16222366.0,30841.0,526.0,16791816.0,30642.0,548.0,16816476.0,30687.0,548.0
2016-12-15,17238262.0,31885.0,3,51714786,95655,1622,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",16835682.0,32007.0,526.0,17426948.0,31801.0,548.0,17452156.0,31847.0,548.0
2017-1-15,,,3,,,,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",,,,,,,,,
2017-2-15,,,3,,,,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",,,,,,,,,
2017-3-15,,,3,,,,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",,,,,,,,,
2017-4-15,,,3,,,,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",,,,,,,,,
2017-5-15,,,3,,,,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",,,,,,,,,
2017-6-15,,,3,,,,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",,,,,,,,,
2017-7-15,,,3,,,,"VERDE GREEN,WANG FUNG TERR|怡翠軒,宏豐臺",,,,,,,,,
