,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_change,npsf_change
2019-12-15,5752232.166666667,13372.416666666666,12,69026786.0,160469.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5709270.0,12278.0,465.0,5664582.0,13266.0,427.0,5960955.0,13101.0,455.0,5492487.0,12803.0,429.0,5689320.0,13546.0,420.0,6099405.0,13117.0,465.0,7102272.0,13632.0,521.0,5500427.0,14513.0,379.0,4882332.0,13413.0,364.0,5717268.0,13113.0,436.0,5645232.0,14184.0,398.0,5563236.0,13503.0,412.0,-0.00036636113690635685,-0.0003613099354002891
2019-11-15,5754340.333333333,13377.25,12,69052084.0,160527.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5711595.0,12283.0,465.0,5666717.0,13271.0,427.0,5962775.0,13105.0,455.0,5495061.0,12809.0,429.0,5691000.0,13550.0,420.0,6101265.0,13121.0,465.0,7106440.0,13640.0,521.0,5501185.0,14515.0,379.0,4884516.0,13419.0,364.0,5719012.0,13117.0,436.0,5647222.0,14189.0,398.0,5565296.0,13508.0,412.0,0.020066714042817457,0.020073966753088257
2019-10-15,5641141.166666667,13114.0,12,67693694.0,157368.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5599530.0,12042.0,465.0,5554843.0,13009.0,427.0,5845385.0,12847.0,455.0,5387811.0,12559.0,429.0,5578860.0,13283.0,420.0,5980830.0,12862.0,465.0,6968375.0,13375.0,521.0,5391654.0,14226.0,379.0,4788420.0,13155.0,364.0,5606088.0,12858.0,436.0,5535782.0,13909.0,398.0,5456116.0,13243.0,412.0,0.010699421673785237,0.01070641807053252
2019-9-15,5581423.166666667,12975.083333333334,12,66977078.0,155701.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5540475.0,11915.0,465.0,5495917.0,12871.0,427.0,5783050.0,12710.0,455.0,5331612.0,12428.0,429.0,5519640.0,13142.0,420.0,5917125.0,12725.0,465.0,6896477.0,13237.0,521.0,5333288.0,14072.0,379.0,4737824.0,13016.0,364.0,5546356.0,12721.0,436.0,5476878.0,13761.0,398.0,5398436.0,13103.0,412.0,-0.05401256141948019,-0.05400692630171944
2019-8-15,5900102.833333333,13715.833333333334,12,70801234.0,164590.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5857140.0,12596.0,465.0,5809335.0,13605.0,427.0,6112925.0,13435.0,455.0,5636631.0,13139.0,429.0,5834220.0,13891.0,420.0,6254715.0,13451.0,465.0,7291916.0,13996.0,521.0,5636488.0,14872.0,379.0,5008640.0,13760.0,364.0,5862892.0,13447.0,436.0,5789308.0,14546.0,398.0,5707024.0,13852.0,412.0,0.04107682286654213,0.04108289319712832
2019-7-15,5667307.833333333,13174.583333333334,12,68007694.0,158095.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5626035.0,12099.0,465.0,5579609.0,13067.0,427.0,5871320.0,12904.0,455.0,5415267.0,12623.0,429.0,5603640.0,13342.0,420.0,6007800.0,12920.0,465.0,7005887.0,13447.0,521.0,5412878.0,14282.0,379.0,4811352.0,13218.0,364.0,5631376.0,12916.0,436.0,5560458.0,13971.0,398.0,5482072.0,13306.0,412.0,-0.04421241577987001,-0.04420610977769979
2019-6-15,5929463.75,13783.916666666666,12,71153565.0,165407.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5886900.0,12660.0,465.0,5837517.0,13671.0,427.0,6142500.0,13500.0,455.0,5666232.0,13208.0,429.0,5862780.0,13959.0,420.0,6284940.0,13516.0,465.0,7332033.0,14073.0,521.0,5661881.0,14939.0,379.0,5034120.0,13830.0,364.0,5891232.0,13512.0,436.0,5817566.0,14617.0,398.0,5735864.0,13922.0,412.0,0.002381943073644033,0.002387690666795894
2019-5-15,5915373.666666667,13751.083333333334,12,70984484.0,165013.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5872950.0,12630.0,465.0,5823426.0,13638.0,427.0,6127485.0,13467.0,455.0,5653791.0,13179.0,429.0,5848500.0,13925.0,420.0,6269595.0,13483.0,465.0,7316403.0,14043.0,521.0,5647100.0,14900.0,379.0,5022472.0,13798.0,364.0,5876843.999999999,13479.0,436.0,5803238.0,14581.0,398.0,5722680.0,13890.0,412.0,-0.0037262746778837785,-0.00371915546190571
2019-4-15,5937498.416666667,13802.416666666666,12,71249981.0,165629.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5895270.0,12678.0,465.0,5844776.0,13688.0,427.0,6150235.0,13517.0,455.0,5675670.0,13230.0,429.0,5869920.0,13976.0,420.0,6292845.0,13533.0,465.0,7345579.0,14099.0,521.0,5666808.0,14952.0,379.0,5041400.0,13850.0,364.0,5898644.0,13529.0,436.0,5824730.0,14635.0,398.0,5744104.0,13942.0,412.0,0.060520237038615976,0.06052786599733628
2019-3-15,5598665.833333333,13014.666666666666,12,67183990.0,156176.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5559075.000000001,11955.0,465.0,5510862.0,12906.0,427.0,5798975.0,12745.0,455.0,5352633.0,12477.0,429.0,5534760.0,13178.0,420.0,5933400.0,12760.0,465.0,6928258.0,13298.0,521.0,5342005.0,14095.0,379.0,4753840.0,13060.0,364.0,5561615.999999999,12756.0,436.0,5492002.0,13799.0,398.0,5416564.000000001,13147.0,412.0,0.03848794500402963,0.03849401876491987
2019-2-15,5391170.75,12532.25,12,64694049.0,150387.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5353080.0,11512.0,465.0,5306329.0,12427.0,427.0,5583760.000000001,12272.0,455.0,5154864.0,12016.0,429.0,5329380.0,12689.0,420.0,5713455.0,12287.0,465.0,6672968.0,12808.0,521.0,5142651.0,13569.0,379.0,4578028.0,12577.0,364.0,5355388.0,12283.0,436.0,5288226.000000001,13287.0,398.0,5215920.0,12660.0,412.0,0.00905681381420087,0.009064923911001443
