,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,10821410.333333334,11626.333333333334,3,32464231.0,34879.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9916271.0,10583.0,937.0,11079020.0,12095.0,916.0,11468940.0,12201.0,940.0,0.008413940540157316,0.008413322539609025
2019-11-15,10731119.333333334,11529.333333333334,3,32193358.0,34588.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9832878.0,10494.0,937.0,10987420.0,11995.0,916.0,11373060.0,12099.0,940.0,0.011344760054346148,0.011345029239766102
2019-10-15,10610743.0,11400.0,3,31832229.0,34200.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9723249.0,10377.0,937.0,10863760.0,11860.0,916.0,11245220.0,11963.0,940.0,-0.027551986354054647,-0.027552674230145846
2019-9-15,10911373.0,11723.0,3,32734119.0,35169.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9998727.0,10671.0,937.0,11172452.0,12197.0,916.0,11562940.0,12301.0,940.0,-0.024924970671003077,-0.024925141399578576
2019-8-15,11190290.666666666,12022.666666666666,3,33570872.0,36068.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10254528.0,10944.0,937.0,11458244.0,12509.0,916.0,11858100.0,12615.0,940.0,-0.010453023295517894,-0.010452961672473893
2019-7-15,11308498.666666666,12149.666666666666,3,33925496.0,36449.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10363220.0,11060.0,937.0,11579156.0,12641.0,916.0,11983120.0,12748.0,940.0,0.014981931491501177,0.014981481997159651
2019-6-15,11141576.333333334,11970.333333333334,3,33424729.0,35911.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10210489.0,10897.0,937.0,11408780.0,12455.0,916.0,11805460.0,12559.0,940.0,-0.026775550668251658,-0.026775793381934365
2019-5-15,11448105.666666666,12299.666666666666,3,34344317.0,36899.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10491589.0,11197.0,937.0,11722968.0,12798.0,916.0,12129760.0,12904.0,940.0,0.010267338320771424,0.010267221552951566
2019-4-15,11331758.666666666,12174.666666666666,3,33995276.0,36524.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10385708.0,11084.0,937.0,11603888.0,12668.0,916.0,12005680.0,12772.0,940.0,0.012334297676039219,0.012334044735164307
2019-3-15,11193692.333333334,12026.333333333334,3,33581077.0,36079.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10259213.0,10949.0,937.0,11462824.0,12514.0,916.0,11859040.0,12616.0,940.0,0.039411531179891046,0.03941113767969817
2019-2-15,10769259.333333334,11570.333333333334,3,32307778.0,34711.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9870358.0,10534.0,937.0,11028640.0,12040.0,916.0,11408780.0,12137.0,940.0,0.006670907584183983,0.006670340187349577
