,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3097745.0,6605.0,469.0,,
2019-11-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3144176.0,6704.0,469.0,,
2019-10-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,2902641.0,6189.0,469.0,,
2019-9-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3186386.0,6794.0,469.0,,
2019-8-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3197642.0,6818.0,469.0,,
2019-7-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3166219.0,6751.0,469.0,,
2019-6-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3286283.0,7007.0,469.0,,
2019-5-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3249701.0,6929.0,469.0,,
2019-4-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3181696.0,6784.0,469.0,,
2019-3-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3222499.0,6871.0,469.0,,
2019-2-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3158246.0,6734.0,469.0,,
2019-1-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3044748.0,6492.0,469.0,,
2018-12-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,2999255.0,6395.0,469.0,,
2018-11-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3025988.0,6452.0,469.0,,
2018-10-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3077109.0,6561.0,469.0,,
2018-9-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3198580.0,6820.0,469.0,,
2018-8-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3390870.0,7230.0,469.0,,
2018-7-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3380552.0,7208.0,469.0,,
2018-6-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3170440.0,6760.0,469.0,,
2018-5-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3089303.0,6587.0,469.0,,
2018-4-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3060694.0,6526.0,469.0,,
2018-3-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3006759.0,6411.0,469.0,,
2018-2-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3642254.0,7766.0,469.0,,
2018-1-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3663359.0,7811.0,469.0,,
2017-12-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3362261.0,7169.0,469.0,,
2017-11-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3382428.0,7212.0,469.0,,
2017-10-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3483732.0,7428.0,469.0,,
2017-9-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3267523.0,6967.0,469.0,,
2017-8-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3244542.0,6918.0,469.0,,
2017-7-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3320989.0,7081.0,469.0,,
2017-6-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3487953.0,7437.0,469.0,,
2017-5-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3374924.0,7196.0,469.0,,
2017-4-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3297539.0,7031.0,469.0,,
2017-3-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3789051.0,8079.0,469.0,,
2017-2-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3575187.0,7623.0,469.0,,
2017-1-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3759035.0,8015.0,469.0,,
2016-12-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3541419.0,7551.0,469.0,,
2016-11-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3582691.0,7639.0,469.0,,
2016-10-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3634750.0,7750.0,469.0,,
2016-9-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3688685.0,7865.0,469.0,,
2016-8-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3542357.0,7553.0,469.0,,
2016-7-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3404940.0,7260.0,469.0,,
2016-6-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3364137.0,7173.0,469.0,,
2016-5-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3280186.0,6994.0,469.0,,
2016-4-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3348660.0,7140.0,469.0,,
2016-3-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3400719.0,7251.0,469.0,,
2016-2-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3420417.0,7293.0,469.0,,
2016-1-15,,,2,,,717,193 TAI NAN ST|193 大南街,,,248.0,3403064.0,7256.0,469.0,,
