,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2016-1-15,4030845.4,8860.4,5,20154227.0,44302,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5258871.0,9579.0,549.0,5141000.0,9700.0,530.0,3152358.0,8613.0,366.0,3533511.0,8049.0,439.0,3068487.0,8361.0,367.0,0.034689959472276044,0.02437106918238996
2016-2-15,3895703.6,8649.6,5,19478518.0,43248,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4238280.0,7720.0,549.0,5258660.0,9922.0,530.0,3226656.0,8816.0,366.0,3615604.0,8236.0,439.0,3139318.0,8554.0,367.0,-0.003619978755234343,-0.0036400497627057105
2016-3-15,3909857.2,8681.2,5,19549286.0,43406,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4254201.0,7749.0,549.0,5276150.0,9955.0,530.0,3239466.0,8851.0,366.0,3628774.0,8266.0,439.0,3150695.0,8585.0,367.0,-0.0014088056791112802,-0.0021838578423484245
2016-4-15,3915373.2,8700.2,5,19576866.0,43501,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4137264.0,7536.0,549.0,5129340.0,9678.0,530.0,3151626.0,8611.0,366.0,4094553.0,9327.0,439.0,3064083.0,8349.0,367.0,0.010637240128370529,0.01061704302574129
2016-5-15,3874162.8,8608.8,5,19370814.0,43044,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4094442.0,7458.0,549.0,5074220.0,9574.0,530.0,3119784.0,8524.0,366.0,4050214.0,9226.0,439.0,3032154.0,8262.0,367.0,-0.0006341089314637616,-0.0029879785977348083
2016-6-15,3876621.0,8634.6,5,19383105.0,43173,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4161969.0,7581.0,549.0,4853740.0,9158.0,530.0,3171756.0,8666.0,366.0,4114308.0,9372.0,439.0,3081332.0,8396.0,367.0,-0.015776884637671906,-0.01582054847607528
2016-7-15,3938762.4,8773.4,5,19693812.0,43867,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4230045.0,7705.0,549.0,4929000.0,9300.0,530.0,3224826.0,8811.0,366.0,4177963.0,9517.0,439.0,3131978.0,8534.0,367.0,-0.015102916326407811,-0.015132125457443801
2016-8-15,3999161.4,8908.2,5,19995807.0,44541,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4297023.0,7827.0,549.0,5002140.0,9438.0,530.0,3276432.0,8952.0,366.0,4239423.0,9657.0,439.0,3180789.0,8667.0,367.0,-0.06312813739258216,-0.0631625441696112
2016-9-15,4268632.2,9508.8,5,21343161.0,47544,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4588542.0,8358.0,549.0,5336570.0,10069.0,530.0,3499692.0,9562.0,366.0,4522139.0,10301.0,439.0,3396218.0,9254.0,367.0,-0.028109964318157266,-0.028147421352793467
2016-10-15,4392093.8,9784.2,5,21960469.0,48921,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4723047.0,8603.0,549.0,5488150.0,10355.0,530.0,3603270.0,9845.0,366.0,4650327.0,10593.0,439.0,3495675.0,9525.0,367.0,0.0033133762300034952,0.0033018867924528017
2016-11-15,4377589.2,9752.0,5,21887946.0,48760,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4707675.0,8575.0,549.0,5469600.0,10320.0,530.0,3592656.0,9816.0,366.0,4634084.0,10556.0,439.0,3483931.0,9493.0,367.0,0.033173455703263244,0.033182184175954754
2016-12-15,4237032.2,9438.8,5,21185161.0,47194,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4555602.0,8298.0,549.0,5295230.0,9991.0,530.0,3477732.0,9502.0,366.0,4485702.0,10218.0,439.0,3370895.0,9185.0,367.0,-0.0015267075554513676,-0.0014176593808850058
2017-1-15,4243510.8,9452.2,5,21217554.0,47261,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4712067.0,8583.0,549.0,5402820.0,10194.0,530.0,3598878.0,9833.0,366.0,4017289.0,9151.0,439.0,3486500.0,9500.0,367.0,0.058989944524889815,0.058998834812225454
2017-2-15,4007130.4,8925.6,5,20035652.0,44628,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4449096.0,8104.0,549.0,5103370.0,9629.0,530.0,3399042.0,9287.0,366.0,3792521.0,8639.0,439.0,3291623.0,8969.0,367.0,-0.05305162910229522,-0.05304702087930746
2017-3-15,4231625.0,9425.6,5,21158125.0,47128,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4697793.0,8557.0,549.0,5390630.0,10171.0,530.0,3590460.0,9810.0,366.0,4004119.0,9121.0,439.0,3475123.0,9469.0,367.0,-0.0364291216013527,-0.03643426702105901
2017-4-15,4391607.4,9782.0,5,21958037.0,48910,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4874571.0,8879.0,549.0,5595210.0,10557.0,530.0,3726612.0,10182.0,366.0,4155135.0,9465.0,439.0,3606509.0,9827.0,367.0,-0.008034195702443458,-0.008031476899363232
2017-5-15,4427176.2,9861.2,5,22135881.0,49306,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4914099.0,8951.0,549.0,5640790.0,10643.0,530.0,3756624.0,10264.0,366.0,4188499.0,9541.0,439.0,3635869.0,9907.0,367.0,-0.05218917816532875,-0.05219046154437634
2017-6-15,4670949.2,10404.2,5,23354746.0,52021,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5184207.0,9443.0,549.0,5951900.0,11230.0,530.0,3963414.0,10829.0,366.0,4418974.0,10066.0,439.0,3836251.0,10453.0,367.0,0.02997972609165256,0.029976042924743318
2017-7-15,4534991.4,10101.4,5,22674957.0,50507,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5032683.0,9167.0,549.0,5779120.0,10904.0,530.0,3848124.0,10514.0,366.0,4290347.0,9773.0,439.0,3724683.0,10149.0,367.0,0.005038810971454533,0.0050344251203884305
2017-8-15,4512255.0,10050.8,5,22561275.0,50254,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5006880.0,9120.0,549.0,5750500.0,10850.0,530.0,3828726.0,10461.0,366.0,4268836.0,9724.0,439.0,3706333.0,10099.0,367.0,0.038649480260352975,0.03864914021164023
2017-9-15,4344348.2,9676.8,5,21721741.0,48384,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4820220.0,8780.0,549.0,5536910.0,10447.0,530.0,3686352.0,10072.0,366.0,4109918.0,9362.0,439.0,3568341.0,9723.0,367.0,-0.033323630258835335,-0.03332534164468959
