,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_F1,npsf_F1,nfa_F1,lumpSum_F2,npsf_F2,nfa_F2,lumpSum_F3,npsf_F3,nfa_F3,lumpSum_F4,npsf_F4,nfa_F4,lumpSum_change,npsf_change
2019-12-15,80648869.0,48433.375,8,645190952,387467,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",79006472.0,48116.0,1642.0,79006472.0,48116.0,1642.0,79006472.0,48116.0,1642.0,79006472.0,48116.0,1642.0,81601296.0,48342.0,1688.0,82661360.0,48970.0,1688.0,73763912.0,43699.0,1688.0,91138496.0,53992.0,1688.0,-0.09353877063790517,-0.0937864708922812
2019-11-15,88971118.0,53445.875,8,711768944,427567,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",88919226.0,54153.0,1642.0,88919226.0,54153.0,1642.0,88919226.0,54153.0,1642.0,88919226.0,54153.0,1642.0,91357936.0,54122.0,1688.0,92166488.0,54601.0,1688.0,78784024.0,46673.0,1688.0,93783592.0,55559.0,1688.0,0.026327513501539723,0.026327475582034632
2019-10-15,86688817.0,52074.875,8,693510536,416599,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",86638488.0,52764.0,1642.0,86638488.0,52764.0,1642.0,86638488.0,52764.0,1642.0,86638488.0,52764.0,1642.0,89013304.0,52733.0,1688.0,89801600.0,53200.0,1688.0,76763488.0,45476.0,1688.0,91378192.0,54134.0,1688.0,-0.01164859116502115,-0.011648624347285641
2019-9-15,87710521.0,52688.625,8,701684168,421509,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",87659812.0,53386.0,1642.0,87659812.0,53386.0,1642.0,87659812.0,53386.0,1642.0,87659812.0,53386.0,1642.0,90063240.0,53355.0,1688.0,90859976.0,53827.0,1688.0,77668256.0,46012.0,1688.0,92453448.0,54771.0,1688.0,-0.00788288974861806,-0.0076116795607686916
2019-8-15,88407427.0,53092.75,8,707259416,424742,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",86607290.0,52745.0,1642.0,86607290.0,52745.0,1642.0,86607290.0,52745.0,1642.0,86607290.0,52745.0,1642.0,89450496.0,52992.0,1688.0,90611840.0,53680.0,1688.0,80861952.0,47904.0,1688.0,99905968.0,59186.0,1688.0,0.008957937863227183,0.00895786170543822
2019-7-15,87622510.0,52621.375,8,700980080,420971,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",85838834.0,52277.0,1642.0,85838834.0,52277.0,1642.0,85838834.0,52277.0,1642.0,85838834.0,52277.0,1642.0,88655448.0,52521.0,1688.0,89808352.0,53204.0,1688.0,80142864.0,47478.0,1688.0,99018080.0,58660.0,1688.0,-0.001630035540929775,-0.0015416689396401395
2019-6-15,87765571.0,52702.625,8,702124568,421621,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",85416840.0,52020.0,1642.0,85416840.0,52020.0,1642.0,85416840.0,52020.0,1642.0,85416840.0,52020.0,1642.0,92477080.0,54785.0,1688.0,93295760.0,55270.0,1688.0,79751248.0,47246.0,1688.0,94933120.0,56240.0,1688.0,-0.0018646182625845498,-0.0019529123248888114
2019-5-15,87929526.0,52805.75,8,703436208,422446,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",86139320.0,52460.0,1642.0,86139320.0,52460.0,1642.0,86139320.0,52460.0,1642.0,86139320.0,52460.0,1642.0,88966040.0,52705.0,1688.0,90122320.0,53390.0,1688.0,80424760.0,47645.0,1688.0,99365808.0,58866.0,1688.0,0.006508469345682499,0.006233490302003819
2019-4-15,87360940.0,52478.625,8,698887520,419829,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",87310066.0,53173.0,1642.0,87310066.0,53173.0,1642.0,87310066.0,53173.0,1642.0,87310066.0,53173.0,1642.0,89703696.0,53142.0,1688.0,90498744.0,53613.0,1688.0,77359352.0,45829.0,1688.0,92085464.0,54553.0,1688.0,,
2019-3-15,,,8,,,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,1642.0,,,1688.0,,,1688.0,,,1688.0,,,1688.0,,
2019-2-15,,,8,,,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,1642.0,,,1688.0,,,1688.0,,,1688.0,,,1688.0,,
2019-1-15,,,8,,,13320,"GOODVIEW GDN(Block F),STUBBS RD|豐景台F座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,1642.0,,,1688.0,,,1688.0,,,1688.0,,,1688.0,,
