,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,6956704.0,15108.333333333334,6,41740224.0,90650.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5475210.0,14039.0,390.0,5663915.999999999,14412.0,393.0,8184726.0,13779.0,594.0,9950199.0,16667.0,597.0,6796219.0,17471.0,389.0,5669954.0,14282.0,397.0,-0.02012491579610487,-0.020137710375839113
2019-11-15,7099582.5,15418.833333333334,6,42597495.0,92513.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5587920.0,14328.0,390.0,5780637.0,14709.0,393.0,8352828.0,14062.0,594.0,10153179.0,17007.0,597.0,6936259.0,17831.0,389.0,5786672.0,14576.0,397.0,0.021165302991209778,0.02023644103310618
2019-10-15,6952432.166666667,15113.0,6,41714593.0,90678.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5493539.999999999,14086.0,390.0,5683566.0,14462.0,393.0,8212050.0,13825.0,594.0,9816471.0,16443.0,597.0,6819559.0,17531.0,389.0,5689407.0,14331.0,397.0,-0.02739166001486848,-0.027394027801613152
2019-9-15,7148234.166666667,15538.666666666666,6,42889405.0,93232.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5648370.0,14483.0,390.0,5843517.0,14869.0,393.0,8443116.0,14214.0,594.0,10092882.0,16906.0,597.0,7011725.0,18025.0,389.0,5849795.0,14735.0,397.0,-0.013206489763204043,-0.013209144792548644
2019-8-15,7243900.666666667,15746.666666666666,6,43463404.0,94480.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5723640.0,14676.0,390.0,5922117.0,15069.0,393.0,8555976.0,14404.0,594.0,10227804.0,17132.0,597.0,7105863.0,18267.0,389.0,5928004.0,14932.0,397.0,-0.0007158829426433533,-0.0007192114058468535
2019-7-15,7249090.166666667,15758.0,6,43494541.0,94548.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5727930.0,14687.0,390.0,5926047.0,15079.0,393.0,8561916.0,14414.0,594.0,10234968.0,17144.0,597.0,7111309.0,18281.0,389.0,5932371.0,14943.0,397.0,0.017148255219794795,0.017148266884695618
2019-6-15,7126876.666666667,15492.333333333334,6,42761260.0,92954.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5631210.0,14439.0,390.0,5826225.0,14825.0,393.0,8417574.0,14171.0,594.0,10062435.0,16855.0,597.0,6991886.0,17974.0,389.0,5831930.0,14690.0,397.0,-0.01878870189134374,-0.018789452572466003
2019-5-15,7263345.5,15789.0,6,43580073.0,94734.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5739240.0,14716.0,390.0,5937444.0,15108.0,393.0,8579142.0,14443.0,594.0,10254669.0,17177.0,597.0,7126091.0,18319.0,389.0,5943487.0,14971.0,397.0,0.015609599764494497,0.015609254057762811
2019-4-15,7151710.166666667,15546.333333333334,6,42910261.0,93278.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5651100.0,14490.0,390.0,5845875.000000001,14875.0,393.0,8447274.0,14221.0,594.0,10097061.0,16913.0,597.0,7017171.0,18039.0,389.0,5851780.0,14740.0,397.0,0.025258257902086356,0.02525829852714878
2019-3-15,6975520.666666667,15163.333333333334,6,41853124.0,90980.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5511870.000000001,14133.0,390.0,5701644.0,14508.0,393.0,8239374.0,13871.0,594.0,9848112.0,16496.0,597.0,6844455.0,17595.0,389.0,5707669.0,14377.0,397.0,0.03555985671890505,0.035558186122746305
2019-2-15,6735989.833333333,14642.666666666666,6,40415939.0,87856.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5322719.999999999,13648.0,390.0,5505537.000000001,14009.0,393.0,7956630.0,13395.0,594.0,9509613.0,15929.0,597.0,6609888.0,16992.0,389.0,5511551.0,13883.0,397.0,0.008554132058704145,0.008552306826921985
