,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,12012545.75,14164.25,4,48050183.0,56657.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12452523.0,14199.0,877.0,11274180.0,13749.0,820.0,11880980.0,14489.0,820.0,12442500.0,14220.0,875.0,-0.049906585708075046,-0.04990525380242483
2019-11-15,12643541.75,14908.25,4,50574167.0,59633.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13107642.0,14946.0,877.0,11867040.0,14472.0,820.0,12503360.0,15248.0,820.0,13096125.0,14967.0,875.0,0.04560390486512067,0.04560597559264967
2019-10-15,12092095.0,14258.0,4,48368380.0,57032.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12536715.0,14295.0,877.0,11349620.0,13841.0,820.0,11956420.0,14581.0,820.0,12525625.0,14315.0,875.0,-0.05816421196995958,-0.05816296198434456
2019-9-15,12838857.0,15138.5,4,51355428.0,60554.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13311983.0,15179.0,877.0,12050720.0,14696.0,820.0,12693600.0,15480.0,820.0,13299125.0,15199.0,875.0,0.03871404975507042,0.03871554282381595
2019-8-15,12360338.25,14574.25,4,49441353.0,58297.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12816478.0,14614.0,877.0,11602180.0,14149.0,820.0,12218820.0,14901.0,820.0,12803875.0,14633.0,875.0,-0.0336030329335516,-0.03360188316424639
2019-7-15,12790125.25,15081.0,4,51160501.0,60324.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13262871.0,15123.0,877.0,12006440.0,14642.0,820.0,12641940.0,15417.0,820.0,13249250.0,15142.0,875.0,0.07358890962459252,0.07359091637153181
2019-6-15,11913429.0,14047.25,4,47653716.0,56189.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12355176.0,14088.0,877.0,11183160.0,13638.0,820.0,11774380.0,14359.0,820.0,12341000.0,14104.0,875.0,-0.07682665533915722,-0.07682576193214496
2019-5-15,12904866.75,15216.25,4,51619467.0,60865.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13383897.0,15261.0,877.0,12114680.0,14774.0,820.0,12752640.0,15552.0,820.0,13368250.0,15278.0,875.0,0.042367949225292634,0.04236954325152853
2019-4-15,12380337.25,14597.75,4,49521349.0,58391.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12841034.0,14642.0,877.0,11622680.0,14174.0,820.0,12232760.0,14918.0,820.0,12824875.0,14657.0,875.0,0.033687483414641894,0.0336885710239343
2019-3-15,11976866.75,14122.0,4,47907467.0,56488.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12423582.0,14166.0,877.0,11244660.0,13713.0,820.0,11832600.0,14430.0,820.0,12406625.0,14179.0,875.0,0.02787468474482946,0.027876846932091137
2019-2-15,11652069.0,13739.0,4,46608276.0,54956.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12087691.0,13783.0,877.0,10939620.0,13341.0,820.0,11510340.0,14037.0,820.0,12070625.0,13795.0,875.0,0.03723693715769616,0.0372383594737935
2019-1-15,11233758.25,13245.75,4,44935033.0,52983.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",11654453.0,13289.0,877.0,10547660.0,12863.0,820.0,11095420.0,13531.0,820.0,11637500.0,13300.0,875.0,-0.04919053132848772,-0.04918885937836481
2018-12-15,11814941.5,13931.0,4,47259766.0,55724.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12258706.0,13978.0,877.0,11093780.0,13529.0,820.0,11667780.0,14229.0,820.0,12239500.0,13988.0,875.0,-0.07330617776259907,-0.07330539479811082
2018-11-15,12749563.25,15033.0,4,50998253.0,60132.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13228668.0,15084.0,877.0,11972000.0,14600.0,820.0,12589460.0,15353.0,820.0,13208125.0,15095.0,875.0,0.09799842455511731,0.09800054779512468
2018-10-15,11611640.75,13691.25,4,46446563.0,54765.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12049103.0,13739.0,877.0,10904360.0,13298.0,820.0,11463600.0,13980.0,820.0,12029500.0,13748.0,875.0,-0.05834326623240338,-0.0583410708758898
2018-9-15,12331076.0,14539.5,4,49324304.0,58158.0,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12797184.0,14592.0,877.0,11580040.0,14122.0,820.0,12172080.0,14844.0,820.0,12775000.0,14600.0,875.0,,
2018-8-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2018-7-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2018-6-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2018-5-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2018-4-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2018-3-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2018-2-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2018-1-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-12-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-11-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-10-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-9-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-8-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-7-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-6-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-5-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-4-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-3-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
2017-2-15,,,4,,,3392,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,
