,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,15146586.0,11466.0,1,15146586.0,11466,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",15146586.0,11466.0,1321.0,,
2016-2-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-3-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-4-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-5-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-6-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-7-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-8-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-9-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-10-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-11-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2016-12-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-1-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-2-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-3-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-4-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-5-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-6-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-7-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-8-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-9-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-10-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-11-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2017-12-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-1-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-2-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-3-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-4-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-5-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-6-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-7-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-8-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-9-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-10-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-11-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2018-12-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-1-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-2-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-3-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-4-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-5-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-6-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-7-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-8-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-9-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-10-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-11-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2019-12-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2020-1-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2020-2-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2020-3-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2020-4-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2020-5-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2020-6-15,,,1,,,,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",,,,,
2020-7-15,18540235.0,14035.0,1,18540235.0,14035,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18540235.0,14035.0,1321.0,0.0537577896238457,0.0537577896238457
2020-8-15,17594399.0,13319.0,1,17594399.0,13319,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",17594399.0,13319.0,1321.0,-0.09671074940657853,-0.09671074940657853
2020-9-15,19478145.0,14745.0,1,19478145.0,14745,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19478145.0,14745.0,1321.0,0.06316244862643305,0.06316244862643305
2020-10-15,18320949.0,13869.0,1,18320949.0,13869,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18320949.0,13869.0,1321.0,-0.019997173544375357,-0.019997173544375357
2020-11-15,18694792.0,14152.0,1,18694792.0,14152,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18694792.0,14152.0,1321.0,-0.007364803254541585,-0.007364803254541585
2020-12-15,18833497.0,14257.0,1,18833497.0,14257,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18833497.0,14257.0,1321.0,0.04653894149599935,0.04653894149599935
2021-1-15,17995983.0,13623.0,1,17995983.0,13623,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",17995983.0,13623.0,1321.0,-0.012969134907984348,-0.012969134907984348
2021-2-15,18232442.0,13802.0,1,18232442.0,13802,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18232442.0,13802.0,1321.0,-0.02823347180173208,-0.02823347180173208
2021-3-15,18762163.0,14203.0,1,18762163.0,14203,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18762163.0,14203.0,1321.0,-0.03440070705010534,-0.03440070705010534
2021-4-15,19430589.0,14709.0,1,19430589.0,14709,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19430589.0,14709.0,1321.0,0.007741847081392139,0.007741847081392139
2021-5-15,19281316.0,14596.0,1,19281316.0,14596,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19281316.0,14596.0,1321.0,-0.007277426375569607,-0.007277426375569607
2021-6-15,19422663.0,14703.0,1,19422663.0,14703,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19422663.0,14703.0,1321.0,0.03367547806524174,0.03367547806524174
2021-7-15,18789904.0,14224.0,1,18789904.0,14224,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18789904.0,14224.0,1321.0,0.024046076313894993,0.024046076313894993
2021-8-15,18348690.0,13890.0,1,18348690.0,13890,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18348690.0,13890.0,1321.0,0.0201233842538191,0.0201233842538191
2021-9-15,17986736.0,13616.0,1,17986736.0,13616,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",17986736.0,13616.0,1321.0,-0.053721592883452685,-0.053721592883452685
2021-10-15,19007869.0,14389.0,1,19007869.0,14389,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19007869.0,14389.0,1321.0,-0.0031866989954970615,-0.0031866989954970615
2021-11-15,19068635.0,14435.0,1,19068635.0,14435,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19068635.0,14435.0,1321.0,-0.028796339904460733,-0.028796339904460733
2021-12-15,19634023.0,14863.0,1,19634023.0,14863,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19634023.0,14863.0,1321.0,0.05658633681666303,0.05658633681666303
2022-1-15,18582507.0,14067.0,1,18582507.0,14067,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18582507.0,14067.0,1321.0,-0.007408975444538557,-0.007408975444538557
2022-2-15,18721212.0,14172.0,1,18721212.0,14172,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18721212.0,14172.0,1321.0,-0.029381549208958302,-0.029381549208958302
2022-3-15,19287921.0,14601.0,1,19287921.0,14601,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",19287921.0,14601.0,1321.0,0.1460753532182104,0.1460753532182104
2022-4-15,16829540.0,12740.0,1,16829540.0,12740,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",16829540.0,12740.0,1321.0,-0.1059021685732332,-0.1059021685732332
2022-5-15,18822929.0,14249.0,1,18822929.0,14249,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18822929.0,14249.0,1321.0,0.017059243397573143,0.017059243397573143
2022-6-15,18507210.0,14010.0,1,18507210.0,14010,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18507210.0,14010.0,1321.0,-0.004405912450255789,-0.004405912450255789
2022-7-15,18589112.0,14072.0,1,18589112.0,14072,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",18589112.0,14072.0,1321.0,0.09808817791650415,0.09808817791650415
2022-8-15,16928615.0,12815.0,1,16928615.0,12815,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",16928615.0,12815.0,1321.0,0.1357794912700523,0.1357794912700523
2022-9-15,14904843.0,11283.0,1,14904843.0,11283,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",14904843.0,11283.0,1321.0,-0.08765262391849271,-0.08765262391849271
2022-10-15,16336807.0,12367.0,1,16336807.0,12367,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",16336807.0,12367.0,1321.0,-0.08072548873857133,-0.08072548873857133
2022-11-15,17771413.0,13453.0,1,17771413.0,13453,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",17771413.0,13453.0,1321.0,0.17186411149825775,0.17186411149825775
2022-12-15,15165080.0,11480.0,1,15165080.0,11480,1321.0,"YEE ON,NORTHCOTE CLOSE|YEE ON,羅富國徑",15165080.0,11480.0,1321.0,,
