,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,2549653.0476190476,6883.285714285715,21,53542714.0,144549.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3190915.0,7013.0,455.0,1967742.0,6693.0,294.0,3045048.0,7148.0,426.0,2819510.0,6794.0,415.0,2907905.0,7007.0,415.0,2903976.0,6849.0,424.0,2713863.0,7123.0,381.0,2683442.9999999995,7233.0,371.0,2645230.0,7130.0,371.0,2710053.0,7113.0,381.0,2607976.0,6653.0,392.0,3180904.9999999995,6991.0,455.0,2636901.0,6921.0,381.0,2650617.0,6957.0,381.0,1849680.0,6606.0,280.0,1822980.0,6605.0,276.0,2677056.0,7008.0,382.0,2893818.0,6793.0,426.0,1859027.0,6569.0,283.0,1906288.0,6736.0,283.0,1869781.0,6607.0,283.0,-0.020383444272852436,-0.02038534261336289
2019-11-15,2602705.1428571427,7026.523809523809,21,54656808.0,147557.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3257345.0000000005,7159.0,455.0,2008608.0,6832.0,294.0,3108522.0,7297.0,426.0,2878025.0,6935.0,415.0,2968495.0,7153.0,415.0,2964184.0,6991.0,424.0,2770251.0,7271.0,381.0,2739464.0,7384.0,371.0,2700138.0,7278.0,371.0,2766441.0,7261.0,381.0,2662464.0000000005,6792.0,392.0,3246880.0,7136.0,455.0,2691765.0,7065.0,381.0,2706243.0,7103.0,381.0,1888320.0,6744.0,280.0,1860792.0,6742.0,276.0,2732446.0,7153.0,382.0,2953884.0,6934.0,426.0,1897798.0,6706.0,283.0,1946191.0,6877.0,283.0,1908552.0,6744.0,283.0,0.003116339219800812,0.0031203687337693076
2019-10-15,2594619.4285714286,7004.666666666667,21,54487008.0,147098.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3247335.0,7137.0,455.0,2002434.0,6811.0,294.0,3099150.0000000005,7275.0,426.0,2869310.0,6914.0,415.0,2958950.0,7130.0,415.0,2954856.0000000005,6969.0,424.0,2761869.0,7249.0,381.0,2730931.0,7361.0,371.0,2691976.0000000005,7256.0,371.0,2757678.0000000005,7238.0,381.0,2653840.0,6770.0,392.0,3236870.0,7114.0,455.0,2683383.0,7043.0,381.0,2697861.0,7081.0,381.0,1882160.0,6722.0,280.0,1854996.0,6721.0,276.0,2724042.0,7131.0,382.0,2944938.0,6913.0,426.0,1891855.0,6685.0,283.0,1939965.0,6855.0,283.0,1902609.0,6723.0,283.0,0.007709334998675876,0.007706904701554329
2019-9-15,2574769.6666666665,6951.0952380952385,21,54070163.0,145973.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3222309.9999999995,7082.0,455.0,1987146.0,6759.0,294.0,3075294.0,7219.0,426.0,2847314.9999999995,6861.0,415.0,2936540.0,7076.0,415.0,2932384.0000000005,6916.0,424.0,2740533.0,7193.0,381.0,2709784.0,7304.0,371.0,2671200.0,7200.0,371.0,2736723.0,7183.0,381.0,2633848.0,6719.0,392.0,3211845.0,7059.0,455.0,2662808.9999999995,6989.0,381.0,2677287.0,7027.0,381.0,1867880.0,6671.0,280.0,1840644.0,6669.0,276.0,2703414.0,7077.0,382.0,2922360.0,6860.0,426.0,1877422.0,6634.0,283.0,1925249.0,6803.0,283.0,1888176.0,6672.0,283.0,0.006694432631651148,0.006696459359181173
2019-8-15,2557647.6666666665,6904.857142857143,21,53710601.0,145002.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3200925.0,7035.0,455.0,1973916.0000000002,6714.0,294.0,3054846.0,7171.0,426.0,2828225.0,6815.0,415.0,2917035.0,7029.0,415.0,2912880.0,6870.0,424.0,2722245.0,7145.0,381.0,2691976.0,7256.0,371.0,2653763.0,7153.0,371.0,2718435.0,7135.0,381.0,2616208.0,6674.0,392.0,3190460.0,7012.0,455.0,2645283.0,6943.0,381.0,2659761.0,6981.0,381.0,1855560.0,6627.0,280.0,1828500.0,6625.0,276.0,2685460.0,7030.0,382.0,2902764.0,6814.0,426.0,1864687.0,6589.0,283.0,1912231.0,6757.0,283.0,1875441.0,6627.0,283.0,-0.036916214764097566,-0.03691551540913918
2019-7-15,2655685.523809524,7169.523809523809,21,55769396.0,150560.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3323775.0,7305.0,455.0,2049474.0,6971.0,294.0,3172422.0000000005,7447.0,426.0,2936540.0,7076.0,415.0,3028670.0,7298.0,415.0,3024392.0,7133.0,424.0,2826639.0,7419.0,381.0,2795114.0,7534.0,371.0,2755417.0000000005,7427.0,371.0,2822448.0,7408.0,381.0,2716560.0,6930.0,392.0,3312855.0000000005,7281.0,455.0,2746629.0,7209.0,381.0,2761869.0,7249.0,381.0,1926400.0,6880.0,280.0,1898604.0,6879.0,276.0,2788218.0,7299.0,382.0,3013950.0,7075.0,426.0,1936286.0,6842.0,283.0,1985528.0,7016.0,283.0,1947606.0,6882.0,283.0,0.10183458334070083,0.1018332174613048
2019-6-15,2410239.761904762,6506.9047619047615,21,50615035.0,136645.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3016195.0,6629.0,455.0,1860138.0,6327.0,294.0,2878908.0,6758.0,426.0,2665130.0,6422.0,415.0,2748960.0,6624.0,415.0,2744976.0,6474.0,424.0,2565273.0,6733.0,381.0,2536898.0,6838.0,371.0,2500911.0,6741.0,371.0,2561844.0,6724.0,381.0,2465288.0,6289.0,392.0,3006640.0,6608.0,455.0,2492883.0,6543.0,381.0,2506980.0,6580.0,381.0,1748320.0,6244.0,280.0,1723068.0,6243.0,276.0,2530368.0,6624.0,382.0,2735346.0,6421.0,426.0,1757430.0,6210.0,283.0,1802144.0,6368.0,283.0,1767335.0000000002,6245.0,283.0,-0.052260313119569246,-0.052261062560688076
2019-5-15,2543145.3333333335,6865.714285714285,21,53406052.0,144180.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3182725.0,6995.0,455.0,1962743.9999999998,6676.0,294.0,3037806.0000000005,7131.0,426.0,2812040.0,6776.0,415.0,2900435.0,6989.0,415.0,2896344.0,6831.0,424.0,2707005.0000000005,7105.0,381.0,2676765.0,7215.0,371.0,2638552.0,7112.0,371.0,2702813.9999999995,7094.0,381.0,2601312.0,6636.0,392.0,3172260.0,6972.0,455.0,2630424.0,6904.0,381.0,2645283.0,6943.0,381.0,1844919.9999999998,6589.0,280.0,1818012.0,6587.0,276.0,2669798.0,6989.0,382.0,2886150.0000000005,6775.0,426.0,1854216.0000000002,6552.0,283.0,1901477.0,6719.0,283.0,1864970.0,6590.0,283.0,-0.034475811324904626,-0.03447444551591139
2019-4-15,2633953.0,7110.857142857143,21,55313013.0,149328.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3296475.0,7245.0,455.0,2032716.0,6914.0,294.0,3146436.0,7386.0,426.0,2912470.0,7018.0,415.0,3003770.0,7238.0,415.0,2999376.0,7074.0,424.0,2803398.0000000005,7358.0,381.0,2772483.0,7473.0,371.0,2732785.9999999995,7366.0,371.0,2799588.0,7348.0,381.0,2694216.0,6873.0,392.0,3285555.0,7221.0,455.0,2724150.0,7150.0,381.0,2740152.0,7192.0,381.0,1910720.0,6824.0,280.0,1882872.0,6822.0,276.0,2765298.0000000005,7239.0,382.0,2989242.0,7017.0,426.0,1920438.0,6786.0,283.0,1969397.0,6959.0,283.0,1931475.0,6825.0,283.0,0.00833792250060883,0.008339354324647275
2019-3-15,2612172.904761905,7052.047619047619,21,54855631.0,148093.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3269174.9999999995,7185.0,455.0,2015958.0,6857.0,294.0,3120450.0,7325.0,426.0,2888400.0,6960.0,415.0,2979285.0,7179.0,415.0,2974784.0,7016.0,424.0,2780157.0,7297.0,381.0,2749481.0,7411.0,371.0,2710526.0,7306.0,371.0,2776347.0,7287.0,381.0,2671872.0,6816.0,392.0,3258710.0,7162.0,455.0,2701671.0,7091.0,381.0,2717673.0,7133.0,381.0,1894760.0,6767.0,280.0,1867415.9999999998,6766.0,276.0,2741232.0,7176.0,382.0,2964534.0,6959.0,426.0,1904590.0,6730.0,283.0,1952982.9999999998,6901.0,283.0,1915627.0,6769.0,283.0,0.05707438436362655,0.05707474107225696
2019-2-15,2471134.4285714286,6671.285714285715,21,51893823.0,140097.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3092635.0,6797.0,455.0,1907178.0,6487.0,294.0,2952180.0,6930.0,426.0,2732360.0,6584.0,415.0,2818265.0,6791.0,415.0,2814088.0,6637.0,424.0,2630043.0,6903.0,381.0,2601081.0,7011.0,371.0,2564352.0,6912.0,371.0,2626233.0,6893.0,381.0,2527616.0,6448.0,392.0,3082625.0,6775.0,455.0,2556129.0,6709.0,381.0,2570988.0,6748.0,381.0,1792560.0,6402.0,280.0,1766400.0000000002,6400.0,276.0,2593398.0,6789.0,382.0,2804358.0000000005,6583.0,426.0,1801577.9999999998,6366.0,283.0,1847706.9999999998,6529.0,283.0,1812049.0,6403.0,283.0,-0.016433747259949172,-0.016435220938232686
