,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,8448375.0,17327.0,2,16896750,34654,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",8722000.0,17444.0,500.0,8174750.0,17210.0,475.0,-0.06446728050893913,-0.0644673613735759
2019-11-15,9030550.0,18521.0,2,18061100,37042,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9323000.0,18646.0,500.0,8738100.0,18396.0,475.0,-0.027616486442106014,-0.027615897516669263
2019-10-15,9287025.0,19047.0,2,18574050,38094,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9588000.0,19176.0,500.0,8986050.0,18918.0,475.0,-0.0054815094430545885,-0.005482456140350922
2019-9-15,9338212.5,19152.0,2,18676425,38304,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9640500.0,19281.0,500.0,9035925.0,19023.0,475.0,0.004457190800035482,0.00445796402160803
2019-8-15,9296775.0,19067.0,2,18593550,38134,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9598000.0,19196.0,500.0,8995550.0,18938.0,475.0,0.008436381386267566,0.008435805897130777
2019-7-15,9219000.0,18907.5,2,18438000,37815,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9517500.0,19035.0,500.0,8920500.0,18780.0,475.0,-0.05410500881101343,-0.0541047576166892
2019-6-15,9746325.0,19989.0,2,19492650,39978,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",10062000.0,20124.0,500.0,9430650.0,19854.0,475.0,0.03612936833404645,0.03612896537424848
2019-5-15,9406475.0,19292.0,2,18812950,38584,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9711000.0,19422.0,500.0,9101950.0,19162.0,475.0,0.08482478156260043,0.08482582168864394
2019-4-15,8670962.5,17783.5,2,17341925,35567,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",8952000.0,17904.0,500.0,8389925.0,17663.0,475.0,-0.0377932178609921,-0.037793528838870216
2019-3-15,9011537.5,18482.0,2,18023075,36964,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9303500.0,18607.0,500.0,8719575.0,18357.0,475.0,-0.06750750859511012,-0.06750756811301717
2019-2-15,9663925.0,19820.0,2,19327850,39640,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9977000.0,19954.0,500.0,9350850.0,19686.0,475.0,0.02795546803636273,0.027954981588091954
2019-1-15,9401112.5,19281.0,2,18802225,38562,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9705500.0,19411.0,500.0,9096725.0,19151.0,475.0,,
2018-12-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-11-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-10-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-9-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-8-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-7-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-6-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-5-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-4-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-3-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-2-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2018-1-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-12-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-11-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-10-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-9-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-8-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-7-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-6-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-5-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-4-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-3-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-2-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2017-1-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2016-12-15,,,2,,,,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,,,,,,
2016-11-15,7664287.5,15759.5,2,15328575,31519,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7141000.0,14282.0,500.0,8187575.0,17237.0,475.0,-0.057981323803700247,-0.05798141008398339
2016-10-15,8136025.0,16729.5,2,16272050,33459,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7580500.0,15161.0,500.0,8691550.0,18298.0,475.0,0.04175289494954337,0.04175228843639078
2016-9-15,7809937.5,16059.0,2,15619875,32118,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",7276500.0,14553.0,500.0,8343375.0,17565.0,475.0,0.05682510148849795,0.0568260340232305
2016-8-15,7390000.0,15195.5,2,14780000,30391,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",6885500.0,13771.0,500.0,7894500.0,16620.0,475.0,0.010171773627203562,0.01017118165198605
2016-7-15,7315587.5,15042.5,2,14631175,30085,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",6816000.0,13632.0,500.0,7815175.0,16453.0,475.0,-0.014156465667538698,-0.014156044172100812
