,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,5314510.039322228,7644.0,1,5314510.039322228,7644.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5314510.039322228,7644.0,594.0,,
2019-11-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-10-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-9-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-8-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-7-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-6-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-5-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-4-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-3-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-2-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2019-1-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2018-12-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2018-11-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2018-10-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2018-9-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2018-8-15,5973858.0,10057.0,1,5973858.0,10057.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5973858.0,10057.0,594.0,0.07389215162840368,0.07389215162840368
2018-7-15,5562810.0,9365.0,1,5562810.0,9365.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5562810.0,9365.0,594.0,-0.0037234042553191404,-0.0037234042553191404
2018-6-15,5583600.0,9400.0,1,5583600.0,9400.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5583600.0,9400.0,594.0,0.046188091263216435,0.046188091263216435
2018-5-15,5337090.0,8985.0,1,5337090.0,8985.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5337090.0,8985.0,594.0,0.0736049707252957,0.0736049707252957
2018-4-15,4971186.0,8369.0,1,4971186.0,8369.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4971186.0,8369.0,594.0,-0.03102929257844156,-0.03102929257844156
2018-3-15,5130378.0,8637.0,1,5130378.0,8637.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5130378.0,8637.0,594.0,-0.02472899728997291,-0.02472899728997291
2018-2-15,5260464.0,8856.0,1,5260464.0,8856.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5260464.0,8856.0,594.0,-0.014357262103505852,-0.014357262103505852
2018-1-15,5337090.0,8985.0,1,5337090.0,8985.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5337090.0,8985.0,594.0,0.08829941860465107,0.08829941860465107
2017-12-15,4904064.0,8256.0,1,4904064.0,8256.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4904064.0,8256.0,594.0,0.014499877119685367,0.014499877119685367
2017-11-15,4833972.0,8138.0,1,4833972.0,8138.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4833972.0,8138.0,594.0,-0.01786145305334297,-0.01786145305334297
2017-10-15,4921884.0,8286.0,1,4921884.0,8286.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4921884.0,8286.0,594.0,-0.04594127806563042,-0.04594127806563042
2017-9-15,5158890.0,8685.0,1,5158890.0,8685.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5158890.0,8685.0,594.0,0.038378766140602316,0.03837876614060254
2017-8-15,4968216.000000001,8364.0,1,4968216.000000001,8364.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4968216.000000001,8364.0,594.0,-0.018655403027103,-0.018655403027103112
2017-7-15,5062662.0,8523.0,1,5062662.0,8523.0,594,74A TO KWA WAN RD|74A 土瓜灣道,5062662.0,8523.0,594.0,0.06710905220984098,0.06710905220984098
2017-6-15,4744278.0,7987.0,1,4744278.0,7987.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4744278.0,7987.0,594.0,-0.019037091623679725,-0.019037091623679725
2017-5-15,4836348.0,8142.0,1,4836348.0,8142.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4836348.0,8142.0,594.0,0.006178942165101509,0.006178942165101287
2017-4-15,4806647.999999999,8092.0,1,4806647.999999999,8092.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4806647.999999999,8092.0,594.0,0.020814936293679587,0.02081493629367981
2017-3-15,4708638.0,7927.0,1,4708638.0,7927.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4708638.0,7927.0,594.0,0.04882243979888856,0.04882243979888856
2017-2-15,4489452.0,7558.0,1,4489452.0,7558.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4489452.0,7558.0,594.0,0.034350622690570765,0.034350622690570765
2017-1-15,4340358.0,7307.0,1,4340358.0,7307.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4340358.0,7307.0,594.0,-0.044086865515436946,-0.044086865515436946
2016-12-15,4540536.0,7644.0,1,4540536.0,7644.0,594,74A TO KWA WAN RD|74A 土瓜灣道,4540536.0,7644.0,594.0,,
2016-11-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2016-10-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2016-9-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2016-8-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2016-7-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
2016-6-15,,,1,,,594,74A TO KWA WAN RD|74A 土瓜灣道,,,594.0,,
