,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,7551167.0,22575.0,10,75511670.0,225750.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",9958288.0,22328.0,446.0,7014268.0,21716.0,323.0,6959942.0,21818.0,319.0,5916024.0,24246.0,244.0,9360000.0,22500.0,416.0,7434672.0,22127.0,336.0,7393750.0,22750.0,325.0,7016478.0,22134.0,317.0,6962100.0,23207.0,300.0,7496148.0,22924.0,327.0,-0.014559518694942875,-0.014545010083725551
2019-11-15,7662732.7,22908.2,10,76627327.0,229082.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10107252.0,22662.0,446.0,7119889.0,22043.0,323.0,7063936.0,22144.0,319.0,6002644.0,24601.0,244.0,9498944.0,22834.0,416.0,7546896.0,22461.0,336.0,7504900.0,23092.0,325.0,7107457.0,22421.0,317.0,7067100.0,23557.0,300.0,7608309.0,23267.0,327.0,0.0830348064166404,0.0830276096822995
2019-10-15,7075241.4,21152.0,10,70752414.0,211520.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",9330320.0,20920.0,446.0,6573050.0,20350.0,323.0,6520998.0,20442.0,319.0,5539532.0,22703.0,244.0,8768032.0,21077.0,416.0,6967968.0,20738.0,336.0,6928350.0,21318.0,325.0,6575531.0,20743.0,317.0,6525000.0,21750.0,300.0,7023633.0,21479.0,327.0,-0.08891584375502926,-0.08891205279072378
2019-9-15,7765738.6,23216.2,10,77657386.0,232162.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10240606.0,22961.0,446.0,7214851.0,22337.0,323.0,7157403.0,22437.0,319.0,6078284.0,24911.0,244.0,9622912.0,23132.0,416.0,7649040.0,22765.0,336.0,7604675.0,23399.0,325.0,7218090.0,22770.0,317.0,7162500.0,23875.0,300.0,7709025.000000001,23575.0,327.0,-0.0035706373510685507,-0.003566630757147138
2019-8-15,7793566.6,23299.3,10,77935666.0,232993.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10277178.0,23043.0,446.0,7241014.0,22418.0,323.0,7182923.0,22517.0,319.0,6098048.0,24992.0,244.0,9656192.0,23212.0,416.0,7677600.0,22850.0,336.0,7632300.0,23484.0,325.0,7244718.0,22854.0,317.0,7189200.0,23964.0,300.0,7736493.0,23659.0,327.0,0.010169881163897054,0.010184526803211691
2019-7-15,7715104.9,23064.4,10,77151049.0,230644.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10175490.0,22815.0,446.0,7169954.0,22198.0,323.0,7112105.0,22295.0,319.0,6035828.0,24737.0,244.0,9559680.0,22980.0,416.0,7602672.0,22627.0,336.0,7556900.0,23252.0,325.0,7159445.0,22585.0,317.0,7119000.0,23730.0,300.0,7659975.0,23425.0,327.0,-0.03643685413187425,-0.036433898021849376
2019-6-15,8006849.3,23936.5,10,80068493.0,239365.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10559942.0,23677.0,446.0,7441597.0,23039.0,323.0,7381022.0,23138.0,319.0,6262016.0,25664.0,244.0,9919936.0,23846.0,416.0,7891295.999999999,23486.0,336.0,7842900.000000001,24132.0,325.0,7431114.0,23442.0,317.0,7389300.0,24631.0,300.0,7949370.000000001,24310.0,327.0,0.011260018208074873,0.011263249950358878
2019-5-15,7917695.9,23669.9,10,79176959.0,236699.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10442198.0,23413.0,446.0,7359232.0,22784.0,323.0,7298720.0,22880.0,319.0,6190280.0,25370.0,244.0,9808032.0,23577.0,416.0,7804608.0,23228.0,336.0,7756125.0,23865.0,325.0,7349011.0,23183.0,317.0,7308000.0,24360.0,300.0,7860753.0,24039.0,327.0,0.02138562822201795,0.021390166650844478
2019-4-15,7751916.3,23174.2,10,77519163.0,231742.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10223212.0,22922.0,446.0,7205484.0,22308.0,323.0,7145919.0,22401.0,319.0,6058520.0,24830.0,244.0,9601696.0,23081.0,416.0,7642320.0,22745.0,336.0,7593950.0,23366.0,325.0,7196217.0,22701.0,317.0,7155900.0,23853.0,300.0,7695945.000000001,23535.0,327.0,-0.012674256055328903,-0.012679044640802939
2019-3-15,7851427.3,23471.8,10,78514273.0,234718.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10352552.0,23212.0,446.0,7297216.0,22592.0,323.0,7236196.0,22684.0,319.0,6132940.0,25135.0,244.0,9721920.0,23370.0,416.0,7740096.000000001,23036.0,336.0,7690150.0,23662.0,325.0,7302412.0,23036.0,317.0,7247400.0,24158.0,300.0,7793391.0,23833.0,327.0,0.020508637704601984,0.020521917581892035
2019-2-15,7693641.2,22999.8,10,76936412.0,229998.0,3353,"WEST WING(THE VERTEX),TONKIN ST|西翼(恆大•睿峰),東京街",10146054.0,22749.0,446.0,7152189.0,22143.0,323.0,7092008.0,22232.0,319.0,6008988.0,24627.0,244.0,9527232.0,22902.0,416.0,7586880.0,22580.0,336.0,7537400.0,23192.0,325.0,7143595.0,22535.0,317.0,7104000.0,23680.0,300.0,7638066.0,23358.0,327.0,0.037171232796565645,0.037166976316311606
