,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_24,npsf_24,nfa_24,lumpSum_25,npsf_25,nfa_25,lumpSum_26,npsf_26,nfa_26,lumpSum_27,npsf_27,nfa_27,lumpSum_28,npsf_28,nfa_28,lumpSum_29,npsf_29,nfa_29,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_change,npsf_change
2019-12-15,2721337.346153846,7199.538461538462,26,70754771.0,187188.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1971690.0,6870.0,287.0,3318536.0,7508.0,442.0,2033395.0,7085.0,287.0,2899584.0,7551.0,384.0,2037700.0,7100.0,287.0,1973699.0,6877.0,287.0,2630784.0,6851.0,384.0,2809227.9999999995,7354.0,382.0,3339279.9999999995,7504.0,445.0,3206670.0,7206.0,445.0,3087812.0,6986.0,442.0,2665978.0,6979.0,382.0,2802870.0,7415.0,378.0,2642688.0,7104.0,372.0,2681748.0,7209.0,372.0,2674680.0,7190.0,372.0,3481968.0,7224.0,482.0,2884863.9999999995,7552.0,382.0,2827944.0,7602.0,372.0,2697000.0000000005,7250.0,372.0,2840964.0,7637.0,372.0,3036880.0,6902.0,440.0,3421880.0,7070.0,484.0,1984031.0,6913.0,287.0,1978578.0,6894.0,287.0,2824320.0,7355.0,384.0,-0.049700189546174056,-0.04962861044967837
2019-11-15,2863661.8846153845,7575.5,26,74455209.0,196963.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2075297.0,7231.0,287.0,3493126.0,7903.0,442.0,2140446.0,7458.0,287.0,3052032.0,7948.0,384.0,2127244.0,7412.0,287.0,2077306.0,7238.0,287.0,2769408.0,7212.0,384.0,2957062.0,7741.0,382.0,3514610.0000000005,7898.0,445.0,3375325.0000000005,7585.0,445.0,3250026.0,7353.0,442.0,2806172.0,7346.0,382.0,2950290.0,7805.0,378.0,2781444.0,7477.0,372.0,2822736.0,7588.0,372.0,2815296.0,7568.0,372.0,3664646.0,7603.0,482.0,3036518.0,7949.0,382.0,2976372.0,8001.0,372.0,2838732.0,7631.0,372.0,2990136.0,8038.0,372.0,3196600.0,7265.0,440.0,3601444.0,7441.0,484.0,2087925.0,7275.0,287.0,2082472.0,7256.0,287.0,2972544.0,7741.0,384.0,0.04742628228047119,0.04742481852748015
2019-10-15,2733998.5,7232.5,26,71083961.0,188045.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1981448.0,6904.0,287.0,3334890.0000000005,7545.0,442.0,2043440.0,7120.0,287.0,2913792.0,7588.0,384.0,2030812.0,7076.0,287.0,1983170.0,6910.0,287.0,2644224.0,6886.0,384.0,2822980.0,7390.0,382.0,3355300.0,7540.0,445.0,3222245.0000000005,7241.0,445.0,3102840.0,7020.0,442.0,2678966.0,7013.0,382.0,2816856.0,7452.0,378.0,2655708.0,7139.0,372.0,2694768.0,7244.0,372.0,2688072.0,7226.0,372.0,3498838.0,7259.0,482.0,2898998.0,7589.0,382.0,2841336.0,7638.0,372.0,2710392.0,7286.0,372.0,2854728.0000000005,7674.0,372.0,3051840.0,6936.0,440.0,3438336.0,7104.0,484.0,1993502.0,6946.0,287.0,1988336.0,6928.0,287.0,2838144.0,7391.0,384.0,-0.018455962611276355,-0.018477438212803676
2019-9-15,2785405.846153846,7368.653846153846,26,72420552.0,191585.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2016175.0,7025.0,287.0,3392792.0,7676.0,442.0,2079028.0,7244.0,287.0,2964480.0,7720.0,384.0,2066113.0,7199.0,287.0,2017897.0,7031.0,287.0,2691072.0,7008.0,384.0,2872258.0,7519.0,382.0,3414040.0,7672.0,445.0,3278315.0,7367.0,445.0,3156764.0,7142.0,442.0,2725952.0,7136.0,382.0,2865996.0,7582.0,378.0,2701836.0,7263.0,372.0,2742012.0,7371.0,372.0,2785164.0,7487.0,372.0,3560052.0,7386.0,482.0,2949422.0,7721.0,382.0,2891184.0,7772.0,372.0,2803020.0,7535.0,372.0,2904576.0,7808.0,372.0,3105080.0,7057.0,440.0,3498352.0,7228.0,484.0,2028229.0,7067.0,287.0,2023063.0,7049.0,287.0,2887680.0,7520.0,384.0,-0.03744784471103091,-0.037449946995312566
2019-8-15,2893771.346153846,7655.346153846154,26,75238055.0,199039.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2095100.0,7300.0,287.0,3525834.0,7977.0,442.0,2160536.0,7528.0,287.0,3080832.0,8023.0,384.0,2147334.0,7482.0,287.0,2097109.0,7307.0,287.0,2797056.0000000005,7284.0,384.0,2960499.9999999995,7750.0,382.0,3547985.0,7973.0,445.0,3406920.0,7656.0,445.0,3280966.0,7423.0,442.0,2832530.0,7415.0,382.0,2978640.0,7880.0,378.0,2807856.0,7548.0,372.0,2849891.9999999995,7661.0,372.0,2894532.0,7781.0,372.0,3699350.0,7675.0,482.0,3065168.0,8024.0,382.0,3004644.0,8077.0,372.0,2912760.0,7830.0,372.0,3018780.0,8115.0,372.0,3226960.0,7334.0,440.0,3635808.0,7512.0,484.0,2107728.0,7344.0,287.0,2102275.0,7325.0,287.0,3000960.0000000005,7815.0,384.0,0.003923180758506284,0.003924120225359484
2019-7-15,2882462.923076923,7625.423076923077,26,74944036.0,198261.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2086777.0,7271.0,287.0,3512132.0,7946.0,442.0,2152213.0,7499.0,287.0,3068928.0,7992.0,384.0,2138724.0,7452.0,287.0,2088786.0,7278.0,287.0,2786304.0,7256.0,384.0,2948658.0,7719.0,382.0,3533745.0,7941.0,445.0,3394015.0,7627.0,445.0,3268147.9999999995,7394.0,442.0,2821452.0,7386.0,382.0,2966922.0,7849.0,378.0,2797068.0,7519.0,372.0,2838732.0,7631.0,372.0,2883372.0,7751.0,372.0,3684890.0,7645.0,482.0,3053326.0,7993.0,382.0,2992740.0,8045.0,372.0,2901600.0,7800.0,372.0,3006876.0,8083.0,372.0,3214640.0,7306.0,440.0,3621288.0,7482.0,484.0,2099405.0,7315.0,287.0,2094239.0,7297.0,287.0,2989056.0000000005,7784.0,384.0,0.004651066770978263,0.004651799151730751
2019-6-15,2869118.4615384615,7590.115384615385,26,74597080.0,197343.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2077306.0000000002,7238.0,287.0,3495778.0,7909.0,442.0,2142168.0,7464.0,287.0,3054720.0,7955.0,384.0,2128966.0,7418.0,287.0,2079028.0,7244.0,287.0,2774016.0,7224.0,384.0,2935288.0000000005,7684.0,382.0,3517280.0,7904.0,445.0,3377995.0,7591.0,445.0,3252678.0,7359.0,442.0,2808464.0,7352.0,382.0,2953313.9999999995,7813.0,378.0,2784048.0,7484.0,372.0,2825712.0,7596.0,372.0,2869980.0,7715.0,372.0,3668020.0,7610.0,482.0,3038810.0,7955.0,382.0,2978604.0,8007.0,372.0,2888208.0,7764.0,372.0,2993112.0,8046.0,372.0,3199680.0,7272.0,440.0,3604832.0000000005,7448.0,484.0,2089360.0,7280.0,287.0,2084481.0,7263.0,287.0,2975232.0000000005,7748.0,384.0,-0.01155687621672874,-0.011555221637866264
2019-5-15,2902664.1923076925,7678.846153846154,26,75469269.0,199650.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2101414.0,7322.0,287.0,3536884.0,8002.0,442.0,2167137.0,7551.0,287.0,3090432.0,8048.0,384.0,2153648.0,7504.0,287.0,2103423.0,7329.0,287.0,2806656.0,7309.0,384.0,2969286.0,7773.0,382.0,3558220.0,7996.0,445.0,3417600.0,7680.0,445.0,3290690.0,7445.0,442.0,2841316.0,7438.0,382.0,2988090.0,7905.0,378.0,2816412.0000000005,7571.0,372.0,2858820.0,7685.0,372.0,2903832.0,7806.0,372.0,3710918.0,7699.0,482.0,3074336.0,8048.0,382.0,3013572.0,8101.0,372.0,2922060.0,7855.0,372.0,3028080.0,8140.0,372.0,3237080.0000000005,7357.0,440.0,3646940.0,7535.0,484.0,2113755.0,7365.0,287.0,2108876.0,7348.0,287.0,3009792.0000000005,7838.0,384.0,0.024662467388039566,0.02466062767841115
2019-4-15,2832800.346153846,7494.038461538462,26,73652809.0,194845.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",2050902.0,7146.0,287.0,3451578.0,7809.0,442.0,2114903.0,7369.0,287.0,3015936.0000000005,7854.0,384.0,2101988.0,7324.0,287.0,2052911.0,7153.0,287.0,2739840.0,7135.0,384.0,2897852.0,7586.0,382.0,3472780.0,7804.0,445.0,3335275.0,7495.0,445.0,3211572.0,7266.0,442.0,2772938.0,7259.0,382.0,2916270.0,7715.0,378.0,2748707.9999999995,7389.0,372.0,2790000.0,7500.0,372.0,2833896.0,7618.0,372.0,3621266.0,7513.0,482.0,3000228.0,7854.0,382.0,2941032.0,7906.0,372.0,2851752.0,7666.0,372.0,2955168.0,7944.0,372.0,3159200.0,7180.0,440.0,3558852.0,7353.0,484.0,2062669.0,7187.0,287.0,2058077.0,7171.0,287.0,2937216.0,7649.0,384.0,0.03495513728412747,0.0349507343372375
2019-3-15,2737123.8076923075,7240.961538461538,26,71165219.0,188265.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1981161.0,6903.0,287.0,3334448.0,7544.0,442.0,2043153.0,7119.0,287.0,2913408.0,7587.0,384.0,2030525.0,7075.0,287.0,1983170.0,6910.0,287.0,2646912.0,6893.0,384.0,2799296.0,7328.0,382.0,3354410.0,7538.0,445.0,3221799.9999999995,7240.0,445.0,3102398.0,7019.0,442.0,2678584.0,7012.0,382.0,2817234.0,7453.0,378.0,2655336.0,7138.0,372.0,2710763.9999999995,7287.0,372.0,2737548.0,7359.0,372.0,3498356.0,7258.0,482.0,2898234.0,7587.0,382.0,2840964.0,7637.0,372.0,2755032.0,7406.0,372.0,2854728.0,7674.0,372.0,3051840.0,6936.0,440.0,3437852.0,7103.0,484.0,1992641.0,6943.0,287.0,1988049.0,6927.0,287.0,2837376.0,7389.0,384.0,-0.003374651413273866,-0.0033721188764544996
2019-2-15,2746391.923076923,7265.461538461538,26,71406190.0,188902.0,9810,"YUNG MING COURT(Block A),CHI SHIN ST|雍明苑A座,至善街",1988049.0,6927.0,287.0,3345498.0,7569.0,442.0,2050041.0,7143.0,287.0,2923392.0,7613.0,384.0,2037413.0000000002,7099.0,287.0,1989771.0,6933.0,287.0,2656512.0,6918.0,384.0,2809228.0000000005,7354.0,382.0,3365980.0,7564.0,445.0,3232925.0,7265.0,445.0,3113006.0,7043.0,442.0,2687751.9999999995,7036.0,382.0,2826684.0,7478.0,378.0,2664264.0,7162.0,372.0,2720064.0,7312.0,372.0,2747220.0,7385.0,372.0,3510406.0,7283.0,482.0,2905110.0,7605.0,382.0,2850636.0000000005,7663.0,372.0,2764332.0,7431.0,372.0,2864400.0,7700.0,372.0,3062400.0,6960.0,440.0,3449952.0,7128.0,484.0,1999242.0,6966.0,287.0,1994937.0,6951.0,287.0,2846975.9999999995,7414.0,384.0,0.018911193134754978,0.018910871863470513
