,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_change,npsf_change
2019-12-15,2539631.6666666665,8054.666666666667,3,7618895.0,24164.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2068495.0000000002,7865.0,263.0,2289260.0,7894.0,290.0,3261140.0,8405.0,388.0,-0.014457368452370223,-0.014398172696496236
2019-11-15,2576886.6666666665,8172.333333333333,3,7730660.0,24517.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2098214.0,7978.0,263.0,2322030.0,8007.0,290.0,3310416.0,8532.0,388.0,0.08360785659359027,0.08367220650636487
2019-10-15,2378062.0,7541.333333333333,3,7134186.0,22624.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1935680.0,7360.0,263.0,2142230.0,7387.0,290.0,3056276.0,7877.0,388.0,-0.08864142641399342,-0.0885871973572897
2019-9-15,2609359.3333333335,8274.333333333334,3,7828078.0,24823.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2123462.0,8074.0,263.0,2349580.0,8102.0,290.0,3355036.0,8647.0,388.0,-0.003270787543198983,-0.0032124643617233994
2019-8-15,2617922.0,8301.0,3,7853766.0,24903.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2129774.0,8098.0,263.0,2356540.0,8126.0,290.0,3367452.0,8679.0,388.0,0.010238650587606202,0.010304677674550566
2019-7-15,2591389.6666666665,8216.333333333334,3,7774169.0,24649.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2107419.0,8013.0,263.0,2331890.0,8041.0,290.0,3334860.0,8595.0,388.0,-0.03647973986757902,-0.03647095614103668
2019-6-15,2689502.0,8527.333333333334,3,8068506.0,25582.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2187108.0,8316.0,263.0,2420050.0,8345.0,290.0,3461348.0,8921.0,388.0,0.011174228254130725,0.011186212893790293
2019-5-15,2659781.0,8433.0,3,7979343.0,25299.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2162649.0,8223.0,263.0,2393370.0,8253.0,290.0,3423324.0,8823.0,388.0,0.021299299507623992,0.021315247668644677
2019-4-15,2604311.0,8257.0,3,7812933.0,24771.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2117413.0,8051.0,263.0,2343200.0,8080.0,290.0,3352320.0,8640.0,388.0,-0.012523478520463538,-0.012517440701614424
2019-3-15,2637339.6666666665,8361.666666666666,3,7912019.0,25085.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2144239.0,8153.0,263.0,2372780.0,8182.0,290.0,3395000.0,8750.0,388.0,0.02027955489508626,0.0202961034735214
2019-2-15,2584918.6666666665,8195.333333333334,3,7754756.0,24586.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2101370.0,7990.0,263.0,2325510.0,8019.0,290.0,3327876.0,8577.0,388.0,0.10722248747535601,0.09344007115855013
