,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3382400.0,5600.0,604.0,,
2019-11-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3433136.0,5684.0,604.0,,
2019-10-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3169792.0,5248.0,604.0,,
2019-9-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3479040.0,5760.0,604.0,,
2019-8-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3491724.0,5781.0,604.0,,
2019-7-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3457296.0,5724.0,604.0,,
2019-6-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3588364.0,5941.0,604.0,,
2019-5-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3548500.0,5875.0,604.0,,
2019-4-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3474208.0,5752.0,604.0,,
2019-3-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3518300.0,5825.0,604.0,,
2019-2-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3448840.0,5710.0,604.0,,
2019-1-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3324416.0,5504.0,604.0,,
2018-12-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3274888.0,5422.0,604.0,,
2018-11-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3303880.0,5470.0,604.0,,
2018-10-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3359448.0,5562.0,604.0,,
2018-9-15,2481552.5,6074.5,2,4963105,12149,835,252 APLIU ST|252 鴨寮街,1470777.0,6367.0,231.0,3492328.0,5782.0,604.0,-0.056761317959545976,-0.05675465838509319
2018-8-15,2630885.0,6440.0,2,5261770,12880,835,252 APLIU ST|252 鴨寮街,1559250.0,6750.0,231.0,3702520.0,6130.0,604.0,0.0031126065043505236,0.0031152647975076775
2018-7-15,2622721.5,6420.0,2,5245443,12840,835,252 APLIU ST|252 鴨寮街,1554399.0,6729.0,231.0,3691044.0,6111.0,604.0,0.06615366885441754,0.06617952337457433
2018-6-15,2459984.5,6021.5,2,4919969,12043,835,252 APLIU ST|252 鴨寮街,1457841.0,6311.0,231.0,3462128.0,5732.0,604.0,0.02632798186141616,0.026333731038009178
2018-5-15,2396879.5,5867.0,2,4793759,11734,835,252 APLIU ST|252 鴨寮街,1420419.0,6149.0,231.0,3373340.0,5585.0,604.0,0.009385822911893937,0.009376344086021504
2018-4-15,2374592.0,5812.5,2,4749184,11625,835,252 APLIU ST|252 鴨寮街,1407252.0,6092.0,231.0,3341932.0,5533.0,604.0,0.017985863641478694,0.01795096322241685
2018-3-15,2332637.5,5710.0,2,4665275,11420,835,252 APLIU ST|252 鴨寮街,1382535.0,5985.0,231.0,3282740.0,5435.0,604.0,0.012859628101604681,0.012860310421286103
2018-2-15,2303021.5,5637.5,2,4606043,11275,835,252 APLIU ST|252 鴨寮街,1364979.0,5909.0,231.0,3241064.0,5366.0,604.0,-0.005737141026645576,-0.005731922398589107
2018-1-15,2316310.5,5670.0,2,4632621,11340,835,252 APLIU ST|252 鴨寮街,1372833.0,5943.0,231.0,3259788.0,5397.0,604.0,0.0894335117221865,0.08944182918628107
