,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6745333.75,13969.375,8,53962670.0,111755.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6723498.0,13501.0,498.0,6824246.0,15301.0,446.0,6850298.0,13867.0,494.0,6037200.0,13975.0,432.0,9110016.0,13824.0,659.0,6660758.0,13819.0,482.0,5961977.0,13769.0,433.0,5794677.0,13699.0,423.0,-0.0003196373525831131,-0.0003220295014804142
2019-11-15,6747490.5,13973.875,8,53979924.0,111791.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6725490.0,13505.0,498.0,6826476.0,15306.0,446.0,6852274.0,13871.0,494.0,6038064.000000001,13977.0,432.0,9112652.0,13828.0,659.0,6663168.0,13824.0,482.0,5965008.0,13776.0,433.0,5796792.0,13704.0,423.0,0.020139197603640913,0.0201398014308658
2019-10-15,6614284.125,13698.0,8,52914273.0,109584.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6592524.0,13238.0,498.0,6691784.0,15004.0,446.0,6717412.0,13598.0,494.0,5917536.0,13698.0,432.0,8932745.0,13555.0,659.0,6531582.0,13551.0,482.0,5848531.0,13507.0,433.0,5682159.0,13433.0,423.0,0.010744216330007772,0.010745349062433629
2019-9-15,6543974.25,13552.375,8,52351794.0,108419.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6522804.0,13098.0,498.0,6620869.999999999,14845.0,446.0,6645782.0,13453.0,494.0,5853600.0,13550.0,432.0,8837849.0,13411.0,659.0,6462174.0,13407.0,482.0,5787045.0,13365.0,433.0,5621670.0,13290.0,423.0,-0.05396736948007075,-0.05396844787267463
2019-8-15,6917281.75,14325.5,8,55338254.0,114604.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6894810.0,13845.0,498.0,6998186.0,15691.0,446.0,7024680.0,14220.0,494.0,6186240.0,14320.0,432.0,9341984.0,14176.0,659.0,6830904.0,14172.0,482.0,6118723.0,14131.0,433.0,5942727.0,14049.0,423.0,0.04115177822820093,0.041154132674382726
2019-7-15,6643874.5,13759.25,8,53150996.0,110074.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6622404.0,13298.0,498.0,6721666.0,15071.0,446.0,6747052.0,13658.0,494.0,5940431.999999999,13751.0,432.0,8972944.0,13616.0,659.0,6560984.0,13612.0,482.0,5877975.0,13575.0,433.0,5707539.0,13493.0,423.0,-0.044171143857172135,-0.04417294049200682
2019-6-15,6950903.875,14395.125,8,55607231.0,115161.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6928176.0,13912.0,498.0,7032528.0,15768.0,446.0,7058766.0,14289.0,494.0,6213888.0,14384.0,432.0,9387455.0,14245.0,659.0,6864162.0,14241.0,482.0,6150765.0,14205.0,433.0,5971491.0,14117.0,423.0,0.0024344090693806386,0.002437304689200115
2019-5-15,6934023.625,14360.125,8,55472189.0,114881.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6911244.0,13878.0,498.0,7015134.000000001,15729.0,446.0,7041970.0,14255.0,494.0,6197472.0,14346.0,432.0,9365049.0,14211.0,659.0,6847292.0,14206.0,482.0,6137342.0,14174.0,433.0,5956686.0,14082.0,423.0,-0.003650890749808733,-0.003651280983851146
2019-4-15,6959431.75,14412.75,8,55675454.0,115302.0,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",6936642.0,13929.0,498.0,7041002.0,15787.0,446.0,7067658.0,14307.0,494.0,6218640.0,14395.0,432.0,9399317.0,14263.0,659.0,6872356.0,14258.0,482.0,6161157.0,14229.0,433.0,5978682.0,14134.0,423.0,,
2019-3-15,,,8,,,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2019-2-15,,,8,,,3867,"WETLAND SEASONS PARK(Block 7),WETLAND PARK RD|WETLAND SEASONS PARK7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
