,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,30279060.0,20598.0,1,30279060.0,20598,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",30279060.0,20598.0,1470.0,0.029539661118608507,0.029539661118608507
2016-2-15,29410290.0,20007.0,1,29410290.0,20007,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",29410290.0,20007.0,1470.0,-0.002244165170556589,-0.002244165170556589
2016-3-15,29476440.0,20052.0,1,29476440.0,20052,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",29476440.0,20052.0,1470.0,0.00642441276852046,0.00642441276852046
2016-4-15,29288280.0,19924.0,1,29288280.0,19924,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",29288280.0,19924.0,1470.0,-0.01200039670732922,-0.01200039670732922
2016-5-15,29644020.0,20166.0,1,29644020.0,20166,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",29644020.0,20166.0,1470.0,0.0035831591519857042,0.0035831591519857042
2016-6-15,29538180.0,20094.0,1,29538180.0,20094,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",29538180.0,20094.0,1470.0,-0.014565249374724143,-0.014565249374724143
2016-7-15,29974770.0,20391.0,1,29974770.0,20391,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",29974770.0,20391.0,1470.0,-0.015878378378378355,-0.015878378378378355
2016-8-15,30458400.0,20720.0,1,30458400.0,20720,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",30458400.0,20720.0,1470.0,-0.04967206347750308,-0.04967206347750308
2016-9-15,32050410.0,21803.0,1,32050410.0,21803,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",32050410.0,21803.0,1470.0,-0.01783864138024238,-0.01783864138024238
2016-10-15,32632530.0,22199.0,1,32632530.0,22199,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",32632530.0,22199.0,1470.0,0.004934359438659941,0.004934359438659941
2016-11-15,32472300.0,22090.0,1,32472300.0,22090,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",32472300.0,22090.0,1470.0,-0.02312828903727948,-0.02312828903727948
2016-12-15,33241110.0,22613.0,1,33241110.0,22613,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",33241110.0,22613.0,1470.0,0.00811377112032452,0.00811377112032452
2017-1-15,32973570.0,22431.0,1,32973570.0,22431,1470.0,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",32973570.0,22431.0,1470.0,,
2017-2-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-3-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-4-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-5-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-6-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-7-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-8-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-9-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-10-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-11-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2017-12-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-1-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-2-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-3-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-4-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-5-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-6-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-7-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-8-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-9-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-10-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-11-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2018-12-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-1-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-2-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-3-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-4-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-5-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
2019-6-15,,,1,,,,"KINGSLAND COURT,BONHAM RD|金麗閣,般咸道",,,,,
