,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8498257.4,14584.8,5,42491287.0,72924.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8308228.0,15161.0,548.0,8417236.0,15388.0,547.0,11535162.999999998,14437.0,799.0,7298572.0,13466.0,542.0,6932088.0,14472.0,479.0,-0.04990992417173723,-0.04991205784639441
2019-11-15,8944686.0,15351.0,5,44723430.0,76755.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8743888.0,15956.0,548.0,8859759.0,16197.0,547.0,12140805.0,15195.0,799.0,7682850.0,14175.0,542.0,7296128.0,15232.0,479.0,0.04745217431302762,0.04744943912224686
2019-10-15,8539469.6,14655.6,5,42697348.0,73278.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8347684.0,15233.0,548.0,8458261.0,15463.0,547.0,11590294.000000002,14506.0,799.0,7335970.0,13535.0,542.0,6965139.0,14541.0,479.0,-0.017135092652626138,-0.01714147754707873
2019-9-15,8688345.2,14911.2,5,43441726.0,74556.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8492904.0,15498.0,548.0,8605951.0,15733.0,547.0,11791642.0,14758.0,799.0,7464424.0,13772.0,542.0,7086805.0,14795.0,479.0,-0.037701102565977584,-0.03770151141629119
2019-8-15,9028738.6,15495.4,5,45143693.0,77477.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8824992.0,16104.0,548.0,8942903.0,16349.0,547.0,12253464.0,15336.0,799.0,7758188.0,14314.0,542.0,7364146.000000001,15374.0,479.0,0.0039551797592149995,0.00395221064634832
2019-7-15,8993169.0,15434.4,5,44965845.0,77172.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8789920.0,16040.0,548.0,8907895.0,16285.0,547.0,12204725.0,15275.0,799.0,7728378.0,14259.0,542.0,7334927.0,15313.0,479.0,0.004702585581947583,0.00469984767806686
2019-6-15,8951075.8,15362.2,5,44755379.0,76811.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8748272.0,15964.0,548.0,8866323.0,16209.0,547.0,12147197.0,15203.0,799.0,7693148.0,14194.0,542.0,7300438.999999999,15241.0,479.0,-0.011522495574140756,-0.011530492748401011
2019-5-15,9055416.8,15541.4,5,45277084.0,77707.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8849652.0,16149.0,548.0,8969706.0,16398.0,547.0,12287821.0,15379.0,799.0,7784204.0,14362.0,542.0,7385701.0,15419.0,479.0,0.024723916663758505,0.02472570946302355
2019-4-15,8836933.2,15166.4,5,44184666.0,75832.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8635932.0,15759.0,548.0,8753094.0,16002.0,547.0,11991392.0,15008.0,799.0,7597214.0,14017.0,542.0,7207034.0,15046.0,479.0,0.03519846651238234,0.035192617467988185
2019-3-15,8536462.8,14650.8,5,42682314.0,73254.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8341656.0,15222.0,548.0,8455526.0,15458.0,547.0,11583103.0,14497.0,799.0,7339764.0,13542.0,542.0,6962265.0,14535.0,479.0,-0.003369376887217168,-0.003374057848766099
2019-2-15,8565322.6,14700.4,5,42826613.0,73502.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8369604.0,15273.0,548.0,8484517.0,15511.0,547.0,11621455.000000002,14545.0,799.0,7365780.0,13590.0,542.0,6985257.0,14583.0,479.0,0.01895416532536176,0.018950578775906335
2019-1-15,8405994.0,14427.0,5,42029970.0,72135.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8213424.0,14988.0,548.0,8326434.0,15222.0,547.0,11404926.0,14274.0,799.0,7229738.0,13339.0,542.0,6855448.000000001,14312.0,479.0,0.039904296077071466,0.03990370060691695
2018-12-15,8083430.4,13873.4,5,40417152.0,69367.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",7897776.0,14412.0,548.0,8006986.0,14638.0,547.0,10967074.0,13726.0,799.0,6953318.0,12829.0,542.0,6591998.0,13762.0,479.0,-0.035290196420831865,-0.035296571865656046
2018-11-15,8379131.6,14381.0,5,41895658.0,71905.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8186572.000000001,14939.0,548.0,8300178.0,15174.0,547.0,11367373.0,14227.0,799.0,7208600.0,13300.0,542.0,6832935.0,14265.0,479.0,0.033421783508258196,0.033414774360448485
2018-10-15,8108143.0,13916.0,5,40540715.0,69580.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",7921340.0,14455.0,548.0,8031601.0,14683.0,547.0,10999034.0,13766.0,799.0,6976624.000000001,12872.0,542.0,6612115.999999999,13804.0,479.0,,
2018-9-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-8-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-7-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-6-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-5-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-4-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-3-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-2-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-1-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-12-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-11-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-10-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-9-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-8-15,,,5,,,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
