,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B
2018-1-15,38265066.5,25698.5,2,76530133,51397,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",38209229.0,25661.0,1489.0,38320904.0,25736.0,1489.0
2018-2-15,39203881.0,26329.0,2,78407762,52658,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",39147299.0,26291.0,1489.0,39260463.0,26367.0,1489.0
2018-3-15,39717586.0,26674.0,2,79435172,53348,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",39661004.0,26636.0,1489.0,39774168.0,26712.0,1489.0
2018-4-15,40781476.5,27388.5,2,81562953,54777,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",40724150.0,27350.0,1489.0,40838803.0,27427.0,1489.0
2018-5-15,40036232.0,26888.0,2,80072464,53776,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",39981139.0,26851.0,1489.0,40091325.0,26925.0,1489.0
2018-6-15,40902830.0,27470.0,2,81805660,54940,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",40847737.0,27433.0,1489.0,40957923.0,27507.0,1489.0
2018-7-15,42631559.0,28631.0,2,85263118,57262,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",42574977.0,28593.0,1489.0,42688141.0,28669.0,1489.0
2018-8-15,42462557.5,28517.5,2,84925115,57035,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",42406720.0,28480.0,1489.0,42518395.0,28555.0,1489.0
2018-9-15,40983236.0,27524.0,2,81966472,55048,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",40980258.0,27522.0,1489.0,40986214.0,27526.0,1489.0
2018-10-15,42560831.5,28583.5,2,85121663,57167,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",42557109.0,28581.0,1489.0,42564554.0,28586.0,1489.0
2018-11-15,38267300.0,25700.0,2,76534600,51400,2978,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",38264322.0,25698.0,1489.0,38270278.0,25702.0,1489.0
2018-12-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-1-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-2-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-3-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-4-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-5-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-6-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-7-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-8-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-9-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-10-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-11-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
2019-12-15,,,2,,,,"CAVENDISH HTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",,,,,,
