,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,4636396.857142857,16139.857142857143,7,32454778.0,112979.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5330520.0,17085.0,312.0,6195408.0,16176.0,383.0,3702469.0,16603.0,223.0,3578481.0,16047.0,223.0,4993898.0,15509.0,322.0,3787647.9999999995,16256.0,233.0,4866354.0,15303.0,318.0,-0.030847914287131295,-0.030855407631073306
2019-11-15,4783972.428571428,16653.714285714286,7,33487807.0,116576.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5500248.0,17629.0,312.0,6392270.0,16690.0,383.0,3820882.0,17134.0,223.0,3692434.0,16558.0,223.0,5152644.0,16002.0,322.0,3908108.9999999995,16773.0,233.0,5021220.0,15790.0,318.0,-0.011330644787487798,-0.011330483750593534
2019-10-15,4838799.142857143,16844.571428571428,7,33871594.0,117912.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5563584.0,17832.0,312.0,6465423.0,16881.0,383.0,3864589.9999999995,17330.0,223.0,3734803.9999999995,16748.0,223.0,5211570.0,16185.0,322.0,3952845.0,16965.0,233.0,5078778.0,15971.0,318.0,-0.0017649980108445096,-0.001760921097189283
2019-9-15,4847354.714285715,16874.285714285714,7,33931483.0,118120.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5573256.0,17863.0,312.0,6476913.0,16911.0,383.0,3870833.9999999995,17358.0,223.0,3741271.0,16777.0,223.0,5220908.0,16214.0,322.0,3960300.9999999995,16997.0,233.0,5088000.0,16000.0,318.0,-0.04896124788768896,-0.04895330112721408
2019-8-15,5096905.571428572,17742.85714285714,7,35678339.0,124200.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5859984.0,18782.0,312.0,6810888.999999999,17783.0,383.0,4069526.9999999995,18249.0,223.0,3933719.9999999995,17640.0,223.0,5489778.0,17049.0,322.0,4164409.0,17873.0,233.0,5350032.0,16824.0,318.0,0.02490879883513486,0.024913146450351142
2019-7-15,4973033.285714285,17311.571428571428,7,34811233.0,121181.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5717400.0,18325.0,312.0,6645433.0,17351.0,383.0,3970069.0,17803.0,223.0,3838053.0,17211.0,223.0,5356470.0,16635.0,322.0,4063519.9999999995,17440.0,233.0,5220288.0,16416.0,318.0,0.002250477909134796,0.0022579151090085237
2019-6-15,4961866.714285715,17272.571428571428,7,34733067.0,120908.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5704608.0,18284.0,312.0,6630879.0,17313.0,383.0,3960480.0,17760.0,223.0,3829356.0,17172.0,223.0,5344556.0,16598.0,322.0,4054666.0000000005,17402.0,233.0,5208522.0,16379.0,318.0,-0.009033885651866469,-0.009023924464588662
2019-5-15,5007100.285714285,17429.85714285714,7,35049702.0,122009.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5756400.0,18450.0,312.0,6691776.0,17472.0,383.0,3995937.0,17919.0,223.0,3863921.0,17327.0,223.0,5393500.0,16750.0,322.0,4091946.0,17562.0,233.0,5256222.0,16529.0,318.0,0.041660906029796774,0.04166346506842866
2019-4-15,4806842.857142857,16732.714285714286,7,33647900.0,117129.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5526144.0,17712.0,312.0,6424059.0,16773.0,383.0,3835600.0,17200.0,223.0,3709382.0,16634.0,223.0,5177760.0,16080.0,322.0,3928613.0000000005,16861.0,233.0,5046342.0,15869.0,318.0,0.008723378645776991,0.008732721870559512
2019-3-15,4765273.571428572,16587.85714285714,7,33356915.0,116115.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5478096.0,17558.0,312.0,6368907.0,16629.0,383.0,3801703.9999999995,17048.0,223.0,3677047.0000000005,16489.0,223.0,5133324.0,15942.0,322.0,3895061.0,16717.0,233.0,5002776.0,15732.0,318.0,0.042438613172161244,0.04244660507958731
2019-2-15,4571275.0,15912.42857142857,7,31998925.0,111387.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5255016.0,16843.0,312.0,6109999.0,15953.0,383.0,3646496.0,16352.0,223.0,3527191.0,15817.0,223.0,4924346.0,15293.0,322.0,3736621.0,16037.0,233.0,4799256.0,15092.0,318.0,-0.002460669287830841,-0.0024538558673127264
2019-1-15,4582551.142857143,15951.57142857143,7,32077858.0,111661.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5267808.0,16884.0,312.0,6125319.0,15993.0,383.0,3654747.0,16389.0,223.0,3535888.0,15856.0,223.0,4936582.0,15331.0,322.0,3746174.0,16078.0,233.0,4811340.0,15130.0,318.0,0.010116322913430453,0.010122849233775488
2018-12-15,4536656.857142857,15791.714285714286,7,31756598.0,110542.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5215080.0,16715.0,312.0,6064039.0,15833.0,383.0,3617506.0,16222.0,223.0,3500208.0,15696.0,223.0,4887316.0,15178.0,322.0,3709127.0,15919.0,233.0,4763322.0,14979.0,318.0,-0.0457648922072077,-0.0457602099393144
2018-11-15,4754233.857142857,16549.0,7,33279637.0,115843.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5464992.0,17516.0,312.0,6355119.0,16593.0,383.0,3790554.0,16998.0,223.0,3667903.9999999995,16448.0,223.0,5121732.0,15906.0,322.0,3887372.0000000005,16684.0,233.0,4991964.0,15698.0,318.0,-0.0003201233368499423,-0.00031066888737396603
2018-10-15,4755756.285714285,16554.14285714286,7,33290294.0,115879.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5466552.0,17521.0,312.0,6357417.0,16599.0,383.0,3790999.9999999995,17000.0,223.0,3669019.0,16453.0,223.0,5123664.0,15912.0,322.0,3888770.0000000005,16690.0,233.0,4993872.0,15704.0,318.0,-0.07379800477987242,-0.07461148999377087
2018-9-15,5134685.857142857,17888.85714285714,7,35942801.0,125222.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5923008.0,18984.0,312.0,6761098.999999999,17653.0,383.0,4106768.0,18416.0,223.0,3975197.9999999995,17826.0,223.0,5551602.0,17241.0,322.0,4214038.0,18086.0,233.0,5411088.0,17016.0,318.0,0.0197360286765782,0.01974803944721759
2018-8-15,5035308.857142857,17542.428571428572,7,35247162.0,122797.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5808192.0,18616.0,312.0,6630879.0,17313.0,383.0,4026488.0,18056.0,223.0,3898040.0,17480.0,223.0,5444376.0,16908.0,322.0,4132721.0,17737.0,233.0,5306466.0,16687.0,318.0,0.004977133004763434,0.004984122827118798
2018-7-15,5010371.571428572,17455.428571428572,7,35072601.0,122188.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5779488.0,18524.0,312.0,6598324.0,17228.0,383.0,4005749.0,17963.0,223.0,3878639.0000000005,17393.0,223.0,5417328.0,16824.0,322.0,4112683.0,17651.0,233.0,5280390.0,16605.0,318.0,-0.00568681151150674,-0.005680061194928698
2018-6-15,5039027.571428572,17555.14285714286,7,35273193.0,122886.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5812248.0,18629.0,312.0,6636241.0,17327.0,383.0,4028048.9999999995,18063.0,223.0,3900493.0,17491.0,223.0,5448562.0,16921.0,322.0,4136682.0,17754.0,233.0,5310918.0,16701.0,318.0,0.027567007719863534,0.027578017861324078
2018-5-15,4903843.285714285,17084.0,7,34326903.0,119588.0,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",5656248.0,18129.0,312.0,6458912.0,16864.0,383.0,3919225.0,17575.0,223.0,3795683.0,17021.0,223.0,5302374.0,16467.0,322.0,4026007.0,17279.0,233.0,5168454.0,16253.0,318.0,,
2018-4-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2018-3-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2018-2-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2018-1-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-12-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-11-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-10-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-9-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-8-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-7-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-6-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-5-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-4-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-3-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-2-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-1-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-12-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-11-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-10-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-9-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-8-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-7-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-6-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-5-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-4-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-3-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-2-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-1-15,,,7,,,2014,"EMERALD BAY(Block 2A),KWUN CHUI RD|恆大•珺瓏灣2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
