,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_25,npsf_25,nfa_25,lumpSum_26,npsf_26,nfa_26,lumpSum_27,npsf_27,nfa_27,lumpSum_28,npsf_28,nfa_28,lumpSum_29,npsf_29,nfa_29,lumpSum_3,npsf_3,nfa_3,lumpSum_30,npsf_30,nfa_30,lumpSum_31,npsf_31,nfa_31,lumpSum_32,npsf_32,nfa_32,lumpSum_33,npsf_33,nfa_33,lumpSum_35,npsf_35,nfa_35,lumpSum_36,npsf_36,nfa_36,lumpSum_37,npsf_37,nfa_37,lumpSum_38,npsf_38,nfa_38,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,2748751.888888889,7180.111111111111,36,98955068.0,258484.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2719458.0,7119.0,382.0,2690044.0,7042.0,382.0,2602948.0,6814.0,382.0,2763006.0,7233.0,382.0,2720604.0,7122.0,382.0,2573916.0,6738.0,382.0,2669798.0,6989.0,382.0,2623194.0,6867.0,382.0,2660630.0,6965.0,382.0,2683980.0,7215.0,372.0,2680876.0,7018.0,382.0,2745434.0,7187.0,382.0,2029554.0000000002,7197.0,282.0,2592000.0,6912.0,375.0,2033682.0,7086.0,287.0,2147621.0,7483.0,287.0,2115846.0,7503.0,282.0,2865144.0,7702.0,372.0,2808972.0,7551.0,372.0,2835012.0,7621.0,372.0,2815668.0,7569.0,372.0,4309984.0,7588.0,568.0,2118102.0,7511.0,282.0,2663304.0,6972.0,382.0,2580935.9999999995,6938.0,372.0,2710630.0,7190.0,377.0,2590980.0,6965.0,372.0,2677284.0,7197.0,372.0,2692160.0,7160.0,376.0,3636765.0,7347.0,495.0,4258864.0,7498.0,568.0,2615172.0,6846.0,382.0,2706470.0,7085.0,382.0,3196435.0000000005,7183.0,445.0,3146595.0,7071.0,445.0,2674000.0,7000.0,382.0,-0.05013396312769536,-0.05020099505412534
2019-11-15,2893831.111111111,7559.611111111111,36,104177920.0,272146.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2862326.0,7493.0,382.0,2831384.0,7412.0,382.0,2740468.0,7174.0,382.0,2908548.0,7614.0,382.0,2863472.0,7496.0,382.0,2709144.0,7092.0,382.0,2809992.0,7356.0,382.0,2761096.0,7228.0,382.0,2800442.0,7331.0,382.0,2825340.0,7595.0,372.0,2821452.0,7386.0,382.0,2889448.0,7564.0,382.0,2136150.0,7575.0,282.0,2728125.0,7275.0,375.0,2161971.0,7533.0,287.0,2260699.0,7877.0,287.0,2227236.0,7898.0,282.0,3015804.0,8107.0,372.0,2956656.0,7948.0,372.0,2983812.0,8021.0,372.0,2963352.0,7966.0,372.0,4536616.0,7987.0,568.0,2229492.0,7906.0,282.0,2803498.0,7339.0,382.0,2716715.9999999995,7303.0,372.0,2853136.0,7568.0,377.0,2727132.0,7331.0,372.0,2818272.0,7576.0,372.0,2833536.0,7536.0,376.0,3827835.0000000005,7733.0,495.0,4482656.0,7892.0,568.0,2753074.0,7207.0,382.0,2848574.0,7457.0,382.0,3364200.0,7560.0,445.0,3311690.0,7442.0,445.0,2814576.0,7368.0,382.0,0.04720689427717639,0.047166471710890834
2019-10-15,2763380.5,7219.111111111111,36,99481698.0,259888.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2732446.0,7153.0,382.0,2703032.0,7076.0,382.0,2616700.0,6850.0,382.0,2776757.9999999995,7269.0,382.0,2733974.0000000005,7157.0,382.0,2586522.0,6771.0,382.0,2682786.0,7023.0,382.0,2636182.0,6901.0,382.0,2673618.0000000005,6999.0,382.0,2697371.9999999995,7251.0,372.0,2693864.0,7052.0,382.0,2758804.0,7222.0,382.0,2057754.0,7297.0,282.0,2604750.0,6946.0,375.0,2064104.0,7192.0,287.0,2158527.0,7521.0,287.0,2122614.0,7527.0,282.0,2878908.0,7739.0,372.0,2822736.0,7588.0,372.0,2848776.0,7658.0,372.0,2829431.9999999995,7606.0,372.0,4331000.0,7625.0,568.0,2124588.0,7534.0,282.0,2686224.0000000005,7032.0,382.0,2593584.0,6972.0,372.0,2723825.0,7225.0,377.0,2604000.0,7000.0,372.0,2690304.0,7232.0,372.0,2704944.0,7194.0,376.0,3654585.0,7383.0,495.0,4279880.0,7535.0,568.0,2628542.0,6881.0,382.0,2719458.0,7119.0,382.0,3212010.0,7218.0,445.0,3161725.0,7105.0,445.0,2687370.0,7035.0,382.0,-0.01719744705686177,-0.01719886853529773
2019-9-15,2811735.1666666665,7345.444444444444,36,101222466.0,264436.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2780196.0,7278.0,382.0,2750400.0,7200.0,382.0,2662922.0,6971.0,382.0,2825272.0,7396.0,382.0,2781724.0,7282.0,382.0,2631597.9999999995,6889.0,382.0,2729772.0,7146.0,382.0,2682022.0,7021.0,382.0,2720222.0,7121.0,382.0,2744616.0,7378.0,372.0,2740850.0,7175.0,382.0,2806936.0,7348.0,382.0,2093850.0,7425.0,282.0,2650499.9999999995,7068.0,375.0,2100266.0,7318.0,287.0,2196411.0,7653.0,287.0,2159838.0,7659.0,282.0,2929500.0,7875.0,372.0,2871840.0,7720.0,372.0,2898624.0,7792.0,372.0,2878908.0,7739.0,372.0,4407112.0,7759.0,568.0,2161530.0,7665.0,282.0,2733210.0000000005,7155.0,382.0,2638968.0,7094.0,372.0,2771704.0,7352.0,377.0,2649384.0,7122.0,372.0,2737548.0,7359.0,372.0,2752320.0,7320.0,376.0,3718440.0,7512.0,495.0,4354288.0,7666.0,568.0,2675146.0,7003.0,382.0,2767208.0,7244.0,382.0,3268080.0,7344.0,445.0,3216905.0,7229.0,445.0,2734355.9999999995,7158.0,382.0,-0.03859632099854238,-0.038613814591157536
2019-8-15,2924614.527777778,7640.472222222223,36,105286123.0,275057.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2889448.0,7564.0,382.0,2858124.0,7482.0,382.0,2767972.0,7246.0,382.0,2936052.0,7686.0,382.0,2890594.0,7567.0,382.0,2734738.0,7159.0,382.0,2836732.0,7426.0,382.0,2787454.0000000005,7297.0,382.0,2826800.0,7400.0,382.0,2895648.0,7784.0,372.0,2854686.0,7473.0,382.0,2916951.9999999995,7636.0,382.0,2175912.0,7716.0,282.0,2754375.0,7345.0,375.0,2182635.0,7605.0,287.0,2282798.0,7954.0,287.0,2244438.0,7959.0,282.0,3044448.0,8184.0,372.0,2984556.0,8023.0,372.0,3012084.0,8097.0,372.0,2991624.0,8042.0,372.0,4579784.0,8063.0,568.0,2246412.0,7966.0,282.0,2840552.0,7436.0,382.0,2742384.0000000005,7372.0,372.0,2923635.0,7755.0,377.0,2753544.0,7402.0,372.0,2845056.0,7648.0,372.0,2860232.0,7607.0,376.0,3864465.0,7807.0,495.0,4525256.0,7967.0,568.0,2780196.0,7278.0,382.0,2875696.0,7528.0,382.0,3396240.0,7632.0,445.0,3343285.0,7513.0,445.0,2841316.0,7438.0,382.0,0.0039040997810437794,0.003901630728353256
2019-7-15,2913240.9444444445,7610.777777777777,36,104876674.0,273988.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2877988.0,7534.0,382.0,2847046.0,7453.0,382.0,2757658.0,7219.0,382.0,2924592.0,7656.0,382.0,2879516.0,7538.0,382.0,2724042.0,7131.0,382.0,2825654.0,7397.0,382.0,2776376.0,7268.0,382.0,2815722.0,7371.0,382.0,2884488.0000000005,7754.0,372.0,2843226.0,7443.0,382.0,2905492.0,7606.0,382.0,2167452.0,7686.0,282.0,2743500.0,7316.0,375.0,2174312.0,7576.0,287.0,2273901.0,7923.0,287.0,2235696.0,7928.0,282.0,3032544.0000000005,8152.0,372.0,2973024.0,7992.0,372.0,3000552.0,8066.0,372.0,2980092.0,8011.0,372.0,4561608.0,8031.0,568.0,2237670.0,7935.0,282.0,2829474.0,7407.0,382.0,2731968.0,7344.0,372.0,2912325.0,7725.0,377.0,2742756.0,7373.0,372.0,2833896.0,7618.0,372.0,2849328.0,7578.0,376.0,3849120.0,7776.0,495.0,4507648.0,7936.0,568.0,2769882.0,7251.0,382.0,2864618.0,7499.0,382.0,3382890.0,7602.0,445.0,3330380.0,7484.0,445.0,2830237.9999999995,7409.0,382.0,0.004448397494365652,0.004468982912281039
2019-6-15,2900339.0833333335,7576.916666666667,36,104412207.0,272769.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2864618.0,7499.0,382.0,2834058.0,7419.0,382.0,2745434.0,7187.0,382.0,2910840.0,7620.0,382.0,2866146.0,7503.0,382.0,2711436.0,7098.0,382.0,2812666.0,7363.0,382.0,2763388.0,7234.0,382.0,2802734.0,7337.0,382.0,2871096.0,7718.0,372.0,2830238.0,7409.0,382.0,2892122.0,7571.0,382.0,2157300.0,7650.0,282.0,2730750.0,7282.0,375.0,2164267.0,7541.0,287.0,2263569.0,7887.0,287.0,2225544.0,7892.0,282.0,3018408.0,8114.0,372.0,2972280.0,7990.0,372.0,2986416.0,8028.0,372.0,2966328.0,7974.0,372.0,4540592.0,7994.0,568.0,2227236.0,7898.0,282.0,2816486.0,7373.0,382.0,2718948.0,7309.0,372.0,2898753.0000000005,7689.0,377.0,2730108.0,7339.0,372.0,2820876.0,7583.0,372.0,2835791.9999999995,7542.0,376.0,3831300.0,7740.0,495.0,4494584.0,7913.0,568.0,2757276.0,7218.0,382.0,2851248.0,7464.0,382.0,3367315.0,7567.0,445.0,3314805.0,7449.0,445.0,2817250.0,7375.0,382.0,-0.01156999089576849,-0.011570433610424646
2019-5-15,2934288.777777778,7665.611111111111,36,105634396.0,275962.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2898234.0,7587.0,382.0,2866910.0,7505.0,382.0,2777904.0,7272.0,382.0,2944837.9999999995,7709.0,382.0,2899380.0,7590.0,382.0,2743142.0,7181.0,382.0,2845518.0,7449.0,382.0,2795858.0,7319.0,382.0,2835586.0,7423.0,382.0,2904947.9999999995,7809.0,372.0,2863090.0,7495.0,382.0,2926120.0,7660.0,382.0,2182680.0,7740.0,282.0,2763000.0,7368.0,375.0,2189523.0,7629.0,287.0,2290260.0,7980.0,287.0,2251488.0,7984.0,282.0,3053748.0,8209.0,372.0,3006876.0,8083.0,372.0,3021384.0,8122.0,372.0,3000924.0,8067.0,372.0,4593416.0,8087.0,568.0,2253180.0,7990.0,282.0,2849338.0,7459.0,382.0,2750940.0,7395.0,372.0,2932683.0,7779.0,377.0,2762100.0,7425.0,372.0,2853612.0,7671.0,372.0,2869256.0,7631.0,376.0,3876345.0,7831.0,495.0,4547408.0,8006.0,568.0,2790128.0,7304.0,382.0,2884482.0,7551.0,382.0,3406475.0,7655.0,445.0,3353520.0000000005,7536.0,445.0,2850102.0,7461.0,382.0,0.02466452969515842,0.024665916626751327
2019-4-15,2863658.0,7481.083333333333,36,103091688.0,269319.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2828328.0,7404.0,382.0,2798149.9999999995,7325.0,382.0,2711818.0,7099.0,382.0,2874168.0,7524.0,382.0,2829856.0000000005,7408.0,382.0,2677056.0,7008.0,382.0,2776758.0,7269.0,382.0,2728626.0,7143.0,382.0,2767208.0,7244.0,382.0,2835012.0,7621.0,372.0,2794330.0,7315.0,382.0,2855450.0,7475.0,382.0,2129946.0,7553.0,282.0,2696250.0,7190.0,375.0,2136715.0,7445.0,287.0,2235156.0,7788.0,287.0,2197062.0,7791.0,282.0,2980092.0,8011.0,372.0,2934708.0,7889.0,372.0,2948472.0,7926.0,372.0,2928756.0,7873.0,372.0,4483224.0,7893.0,568.0,2199036.0,7798.0,282.0,2780578.0,7279.0,382.0,2684724.0,7217.0,372.0,2862184.0,7592.0,377.0,2695511.9999999995,7246.0,372.0,2785164.0000000005,7487.0,372.0,2800071.9999999995,7447.0,376.0,3782790.0,7642.0,495.0,4437784.0,7813.0,568.0,2723278.0,7129.0,382.0,2814958.0,7369.0,382.0,3324595.0,7471.0,445.0,3272530.0,7354.0,445.0,2781342.0,7281.0,382.0,0.03516783813401081,0.035165468731982896
2019-3-15,2766370.722222222,7226.944444444444,36,99589346.0,260170.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2730536.0,7148.0,382.0,2703031.9999999995,7076.0,382.0,2620138.0,6859.0,382.0,2776376.0,7268.0,382.0,2733592.0,7156.0,382.0,2586140.0000000005,6770.0,382.0,2682404.0,7022.0,382.0,2635800.0000000005,6900.0,382.0,2673236.0,6998.0,382.0,2738664.0,7362.0,372.0,2699212.0,7066.0,382.0,2758422.0,7221.0,382.0,2057754.0,7297.0,282.0,2604750.0,6946.0,375.0,2064391.0,7193.0,287.0,2159388.0,7524.0,287.0,2122614.0,7527.0,282.0,2878908.0,7739.0,372.0,2835011.9999999995,7621.0,372.0,2848404.0,7657.0,372.0,2829060.0,7605.0,372.0,4331000.0,7625.0,568.0,2124306.0,7533.0,282.0,2686224.0,7032.0,382.0,2593584.0,6972.0,372.0,2764918.0,7334.0,377.0,2604000.0,7000.0,372.0,2690304.0,7232.0,372.0,2704944.0000000005,7194.0,376.0,3654585.0,7383.0,495.0,4286696.0,7547.0,568.0,2631216.0,6888.0,382.0,2719458.0,7119.0,382.0,3211564.9999999995,7217.0,445.0,3161725.0,7105.0,445.0,2686988.0,7034.0,382.0,-0.0034127657969096337,-0.003412995430186805
2019-2-15,2775844.027777778,7251.694444444444,36,99930385.0,261061.0,13775,"YUNG MING COURT(Block B),CHI SHIN ST|雍明苑B座,至善街",2739704.0,7172.0,382.0,2712200.0,7100.0,382.0,2629688.0000000005,6884.0,382.0,2785926.0,7293.0,382.0,2742760.0,7180.0,382.0,2594926.0,6793.0,382.0,2691572.0,7046.0,382.0,2644968.0,6924.0,382.0,2682404.0,7022.0,382.0,2747964.0,7387.0,372.0,2708762.0000000005,7091.0,382.0,2767972.0,7246.0,382.0,2064804.0,7322.0,282.0,2613750.0,6970.0,375.0,2071279.0,7217.0,287.0,2166850.0,7550.0,287.0,2129946.0,7553.0,282.0,2888580.0,7765.0,372.0,2844684.0,7647.0,372.0,2858075.9999999995,7683.0,372.0,2838732.0,7631.0,372.0,4345768.0,7651.0,568.0,2131638.0,7559.0,282.0,2695392.0,7056.0,382.0,2602512.0,6996.0,372.0,2774343.0000000005,7359.0,377.0,2612928.0,7024.0,372.0,2699604.0,7257.0,372.0,2713967.9999999995,7218.0,376.0,3666960.0,7408.0,495.0,4301464.0,7573.0,568.0,2640384.0,6912.0,382.0,2728626.0,7143.0,382.0,3222690.0,7242.0,445.0,3172405.0,7129.0,445.0,2696156.0,7058.0,382.0,0.018906708239558867,0.018905849338646474
