,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,18106846.5,16946.0,2,36213693,33892,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",18224475.0,16953.0,1075.0,17989218.0,16939.0,1062.0,-0.0235949390760839,-0.023594825847713996
2019-11-15,18544400.5,17355.5,2,37088801,34711,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",18665225.0,17363.0,1075.0,18423576.0,17348.0,1062.0,-0.042824892869829156,-0.04282484006176923
2019-10-15,19374094.0,18132.0,2,38748188,36264,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",19500500.0,18140.0,1075.0,19247688.0,18124.0,1062.0,0.014264099447238276,0.014264138278234695
2019-9-15,19101626.5,17877.0,2,38203253,35754,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",19226375.0,17885.0,1075.0,18976878.0,17869.0,1062.0,-0.06295193082917527,-0.06295209141419433
2019-8-15,20384895.0,19078.0,2,40769790,38156,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",20517450.0,19086.0,1075.0,20252340.0,19070.0,1062.0,0.0014959385286144045,0.0014961022599018214
2019-7-15,20354446.0,19049.5,2,40708892,38099,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",20487350.0,19058.0,1075.0,20221542.0,19041.0,1062.0,0.004932623000337033,0.004932475205739584
2019-6-15,20254538.0,18956.0,2,40509076,37912,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",20386300.0,18964.0,1075.0,20122776.0,18948.0,1062.0,-0.03298055535204958,-0.03298048718275726
2019-5-15,20945326.5,19602.5,2,41890653,39205,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",21081825.0,19611.0,1075.0,20808828.0,19594.0,1062.0,0.07842323953754615,0.07842328216977501
2019-4-15,19422176.5,18177.0,2,38844353,36354,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",19548875.0,18185.0,1075.0,19295478.0,18169.0,1062.0,0.09552808675361946,0.09552796528447449
2019-3-15,17728597.5,16592.0,2,35457195,33184,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",17843925.0,16599.0,1075.0,17613270.0,16585.0,1062.0,0.00018084226289616367,0.0001808427271083879
2019-2-15,17725392.0,16589.0,2,35450784,33178,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",17840700.0,16596.0,1075.0,17610084.0,16582.0,1062.0,-0.0015648470276271587,-0.0015648510382184622
2019-1-15,17753173.0,16615.0,2,35506346,33230,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",17868650.0,16622.0,1075.0,17637696.0,16608.0,1062.0,-0.0774570968206435,-0.0774569683509162
2018-12-15,19243737.0,18010.0,2,38487474,36020,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",19369350.0,18018.0,1075.0,19118124.0,18002.0,1062.0,0.03508729795680687,0.035087215149860684
