,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,7262276.5,27862.3,10,72622765.0,278623.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10366248.0,27208.0,381.0,6755384.0,26596.0,254.0,6885142.0,27214.0,253.0,7154250.0,28617.0,250.0,6666660.0,26455.0,252.0,7965936.0,28248.0,282.0,8327879.0,29017.0,287.0,5755958.0,26897.0,214.0,6631676.0,27179.0,244.0,6113632.0,31192.0,196.0,-0.07105276541744265,-0.07105229817226466
2019-11-15,7817749.2,29993.4,10,78177492.0,299934.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11159109.0,29289.0,381.0,7272020.0,28630.0,254.0,7411635.0,29295.0,253.0,7702750.0,30811.0,250.0,7176204.0,28477.0,252.0,8575056.0,30408.0,282.0,8964732.0,31236.0,287.0,6195942.0,28953.0,214.0,7138952.000000001,29258.0,244.0,6581092.0,33577.0,196.0,0.057697547487617795,0.05769590193706753
2019-10-15,7391289.9,28357.3,10,73912899.0,283573.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10549890.0,27690.0,381.0,6875272.0,27068.0,254.0,7007341.0,27697.0,253.0,7283750.0,29135.0,250.0,6784344.0,26922.0,252.0,8107218.0,28749.0,282.0,8475684.0,29532.0,287.0,5857608.0,27372.0,214.0,6749772.0,27663.0,244.0,6222020.0,31745.0,196.0,-0.14929623454332974,-0.1492954619771465
2019-9-15,8688441.5,33333.9,10,86884415.0,333339.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",12401550.0,32550.0,381.0,8081772.000000001,31818.0,254.0,8236921.0,32557.0,253.0,8563250.0,34253.0,250.0,7974288.0,31644.0,252.0,9529908.0,33794.0,282.0,9962918.0,34714.0,287.0,6885235.999999999,32174.0,214.0,7934636.0,32519.0,244.0,7313935.999999999,37316.0,196.0,0.10617179265980514,0.10617066817103327
2019-8-15,7854513.7,30134.5,10,78545137.0,301345.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11210925.0,29425.0,381.0,7306056.0,28764.0,254.0,7446296.0,29432.0,253.0,7742499.999999999,30970.0,250.0,7208460.0,28605.0,252.0,8615100.0,30550.0,282.0,9006634.0,31382.0,287.0,6224190.0,29085.0,214.0,7173112.0,29398.0,244.0,6611864.0,33734.0,196.0,-0.04972374587708217,-0.049723600104694565
2019-7-15,8265505.6,31711.3,10,82655056.0,317113.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11797284.0,30964.0,381.0,7688325.999999999,30269.0,254.0,7835915.999999999,30972.0,253.0,8148999.999999999,32596.0,250.0,7585200.0,30100.0,252.0,9065736.0,32148.0,282.0,9477888.0,33024.0,287.0,6549470.000000001,30605.0,214.0,7548627.999999999,30937.0,244.0,6957608.0,35498.0,196.0,0.08067709607284135,0.08067775585385717
2019-6-15,7648450.8,29343.9,10,76484508.0,293439.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10916412.0,28652.0,381.0,7114286.0,28009.0,254.0,7250980.000000001,28660.0,253.0,7542000.0,30168.0,250.0,7018451.999999999,27851.0,252.0,8388936.0,29748.0,282.0,8770146.0,30558.0,287.0,6060052.0,28318.0,214.0,6985232.0,28628.0,244.0,6438012.0,32847.0,196.0,-0.012379610998896284,-0.01237896182312015
2019-5-15,7744322.5,29711.7,10,77443225.0,297117.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11053191.0,29011.0,381.0,7203440.0,28360.0,254.0,7341807.0,29019.0,253.0,7637750.0,30551.0,250.0,7105895.999999999,28198.0,252.0,8493840.0,30120.0,282.0,8880067.0,30941.0,287.0,6135594.0,28671.0,214.0,7073072.000000001,28988.0,244.0,6518568.0,33258.0,196.0,0.04675534629250078,0.04675422588304934
2019-4-15,7398407.4,28384.6,10,73984074.0,283846.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10559034.0,27714.0,381.0,6881622.0,27093.0,254.0,7013919.0,27723.0,253.0,7297750.000000001,29191.0,250.0,6787872.0,26936.0,252.0,8114550.0,28775.0,282.0,8483433.0,29559.0,287.0,5861246.0,27389.0,214.0,6757336.0,27694.0,244.0,6227312.0,31772.0,196.0,,
2019-3-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2019-2-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
