,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,14184905.272727273,24766.090909090908,11,156033958.0,272427.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20753696.0,27598.0,752.0,19472868.0,26386.0,738.0,10815900.0,23260.0,465.0,13244130.0,23735.0,558.0,14679405.0,25093.0,585.0,19420400.0,25825.0,752.0,16693350.0,25525.0,654.0,11162098.0,23953.0,466.0,7858772.0,23671.0,332.0,7697364.0,23046.0,334.0,14235975.0,24335.0,585.0,-0.018042741048894917,-0.01817847630923597
2019-11-15,14445542.454545455,25224.636363636364,11,158900967.0,277471.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21103376.0,28063.0,752.0,19809396.0,26842.0,738.0,11001899.999999998,23660.0,465.0,13509180.0,24210.0,558.0,14932125.0,25525.0,585.0,19753536.0,26268.0,752.0,16983726.0,25969.0,654.0,11447290.0,24565.0,466.0,7994228.0,24079.0,332.0,7828960.0,23440.0,334.0,14537250.0,24850.0,585.0,0.02556376055355325,0.02584285032959799
2019-10-15,14085465.0,24589.18181818182,11,154940115.0,270481.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20548400.0,27325.0,752.0,19482462.0,26399.0,738.0,10714530.0,23042.0,465.0,13155966.0,23577.0,558.0,14541929.999999998,24858.0,585.0,19236160.0,25580.0,752.0,16542276.0,25294.0,654.0,11149516.0,23926.0,466.0,7785400.000000001,23450.0,332.0,7623550.0,22825.0,334.0,14159925.0,24205.0,585.0,-0.02864419198588164,-0.028647049106148792
2019-9-15,14500829.545454545,25314.363636363636,11,159509125.0,278458.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21153760.0,28130.0,752.0,20056626.0,27177.0,738.0,11030730.0,23722.0,465.0,13543776.0,24272.0,558.0,14971320.0,25592.0,585.0,19804672.0,26336.0,752.0,17028198.0,26037.0,654.0,11477114.0,24629.0,466.0,8015144.0,24142.0,332.0,7849000.0,23500.0,334.0,14578785.0,24921.0,585.0,-0.03081748736144385,-0.03082341967324942
2019-8-15,14961918.272727273,26119.454545454544,11,164581101.0,287314.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21826048.0,29024.0,752.0,20693520.0,28040.0,738.0,11381805.0,24477.0,465.0,13974552.0,25044.0,558.0,15447510.0,26406.0,585.0,20436352.0,27176.0,752.0,17566440.0,26860.0,654.0,11841060.0,25410.0,466.0,8270120.0,24910.0,332.0,8099834.0,24251.0,334.0,15043860.0,25716.0,585.0,0.0022290892203298274,0.0022220129274408418
2019-7-15,14928641.0,26061.545454545456,11,164215051.0,286677.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21776416.0,28958.0,752.0,20647026.0,27977.0,738.0,11357160.0,24424.0,465.0,13943304.0,24988.0,558.0,15413580.0,26348.0,585.0,20392736.0,27118.0,752.0,17524583.999999996,26796.0,654.0,11813566.0,25351.0,466.0,8251860.0,24855.0,332.0,8083134.0,24201.0,334.0,15011685.0,25661.0,585.0,0.002824469217231007,0.002819453529739002
2019-6-15,14886594.272727273,25988.272727272728,11,163752537.0,285871.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21714752.0,28876.0,752.0,20588724.0,27898.0,738.0,11325540.0,24356.0,465.0,13903686.0,24917.0,558.0,15370875.0,26275.0,585.0,20337088.0,27044.0,752.0,17472264.000000004,26716.0,654.0,11779082.0,25277.0,466.0,8228952.0,24786.0,332.0,8061424.0,24136.0,334.0,14970150.0,25590.0,585.0,-0.009191282990885341,-0.00919507562629096
2019-5-15,15024690.454545455,26229.454545454544,11,165271595.0,288524.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21915536.0,29143.0,752.0,20779128.0,28156.0,738.0,11430630.0,24582.0,465.0,14032584.0,25148.0,558.0,15513615.0,26519.0,585.0,20528096.0,27298.0,752.0,17631840.0,26960.0,654.0,11886728.0,25508.0,466.0,8305312.0,25016.0,332.0,8137576.0,24364.0,334.0,15110550.0,25830.0,585.0,0.018387970560238776,0.018382301034886694
2019-4-15,14753405.272727273,25756.0,11,162287458.0,283316.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21519232.0,28616.0,752.0,20403486.0,27647.0,738.0,11224635.0,24139.0,465.0,13779252.0,24694.0,558.0,15233985.0,26041.0,585.0,20158864.0,26807.0,752.0,17310726.0,26469.0,654.0,11670970.0,25045.0,466.0,8155580.0,24565.0,332.0,7991618.0,23927.0,334.0,14839110.0,25366.0,585.0,0.024931752774429494,0.024925296462706026
2019-3-15,14394524.545454545,25129.636363636364,11,158339770.0,276426.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20995088.0,27919.0,752.0,19906812.0,26974.0,738.0,10952145.0,23553.0,465.0,13443894.0,24093.0,558.0,14863680.0,25408.0,585.0,19670816.0,26158.0,752.0,16886280.0,25820.0,654.0,11385778.0,24433.0,466.0,7957376.0,23968.0,332.0,7798566.0,23349.0,334.0,14479335.0,24751.0,585.0,0.023522182176767048,0.023515690086087115
2019-2-15,14063715.272727273,24552.272727272728,11,154700868.0,270075.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20511552.000000004,27276.0,752.0,19449252.0,26354.0,738.0,10700580.0,23012.0,465.0,13135320.0,23540.0,558.0,14522040.0,24824.0,585.0,19220368.0,25559.0,752.0,16495842.0,25223.0,654.0,11122954.0,23869.0,466.0,7774776.0,23418.0,332.0,7620544.0,22816.0,334.0,14147640.0,24184.0,585.0,0.016528536414433637,0.016523326495662127
