,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_E1,npsf_E1,nfa_E1,lumpSum_E2,npsf_E2,nfa_E2,lumpSum_E3,npsf_E3,nfa_E3,lumpSum_E4,npsf_E4,nfa_E4,lumpSum_change,npsf_change
2019-12-15,107903778.28571428,53860.142857142855,7,755326448,377021,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",84896326.0,51703.0,1642.0,84896326.0,51703.0,1642.0,84896326.0,51703.0,1642.0,189217645.0,58745.0,3221.0,134466785.0,58337.0,2305.0,88476520.0,52415.0,1688.0,88476520.0,52415.0,1688.0,-0.06371663666320104,-0.06373684772540456
2019-11-15,115246924.71428572,57526.71428571428,7,806728473,402687,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",90681092.0,55226.0,1642.0,90681092.0,55226.0,1642.0,90681092.0,55226.0,1642.0,202072656.0,62736.0,3221.0,143603805.0,62301.0,2305.0,94504368.0,55986.0,1688.0,94504368.0,55986.0,1688.0,0.026326065931162157,0.026301906123603613
2019-10-15,112290751.0,56052.42857142857,7,786035257,392367,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",88362588.0,53814.0,1642.0,88362588.0,53814.0,1642.0,88362588.0,53814.0,1642.0,196864299.0,61119.0,3221.0,139908890.0,60698.0,2305.0,92087152.0,54554.0,1688.0,92087152.0,54554.0,1688.0,-0.01164695911411262,-0.01167002518891691
2019-9-15,113614008.71428572,56714.28571428572,7,795298061,397000,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",89411826.0,54453.0,1642.0,89411826.0,54453.0,1642.0,89411826.0,54453.0,1642.0,199160872.0,61832.0,3221.0,141543135.0,61407.0,2305.0,93179288.0,55201.0,1688.0,93179288.0,55201.0,1688.0,-0.039491311377605864,-0.03951767819729313
2019-8-15,118285248.28571428,59047.71428571428,7,827996738,413334,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",93098116.0,56698.0,1642.0,93098116.0,56698.0,1642.0,93098116.0,56698.0,1642.0,207319665.0,64365.0,3221.0,147347125.0,63925.0,2305.0,97017800.0,57475.0,1688.0,97017800.0,57475.0,1688.0,0.008965670146585891,0.008941321206529018
2019-7-15,117234165.42857143,58524.42857142857,7,820639158,409671,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",92278758.0,56199.0,1642.0,92278758.0,56199.0,1642.0,92278758.0,56199.0,1642.0,205451485.0,63785.0,3221.0,146024055.0,63351.0,2305.0,96163672.0,56969.0,1688.0,96163672.0,56969.0,1688.0,0.004916267418867637,0.004888662130406951
2019-6-15,116660630.57142857,58239.71428571428,7,816624414,407678,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",91837060.0,55930.0,1642.0,91837060.0,55930.0,1642.0,91837060.0,55930.0,1642.0,204417544.0,63464.0,3221.0,145293370.0,63034.0,2305.0,95701160.0,56695.0,1688.0,95701160.0,56695.0,1688.0,-0.008374051419317352,-0.00840119475010459
2019-5-15,117645802.57142857,58733.142857142855,7,823520618,411132,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",92621936.0,56408.0,1642.0,92621936.0,56408.0,1642.0,92621936.0,56408.0,1642.0,206115011.0,63991.0,3221.0,146503495.0,63559.0,2305.0,96518152.0,57179.0,1688.0,96518152.0,57179.0,1688.0,0.039624674161727214,0.0395956234686059
2019-4-15,113161803.0,56496.142857142855,7,792132621,395473,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",89101488.0,54264.0,1642.0,89101488.0,54264.0,1642.0,89101488.0,54264.0,1642.0,198230003.0,61543.0,3221.0,140904650.0,61130.0,2305.0,92846752.0,55004.0,1688.0,92846752.0,55004.0,1688.0,,
2019-3-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2019-2-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2019-1-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-12-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
