,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6412831.25,13389.375,8,51302650.0,107115.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8687675.0,13025.0,667.0,4747264.0,15616.0,304.0,7513373.0,13489.0,557.0,5500747.0,13319.0,413.0,8059430.0,12029.0,670.0,5729913.0,13419.0,427.0,5598405.0,13235.0,423.0,5465843.0,12983.0,421.0,-0.0003553523928766511,-0.00033597446594058056
2019-11-15,6415110.875,13393.875,8,51320887.0,107151.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8692344.0,13032.0,667.0,4748784.0,15621.0,304.0,7517272.0,13496.0,557.0,5502399.0,13323.0,413.0,8062110.0,12033.0,670.0,5731621.0,13423.0,427.0,5599251.000000001,13237.0,423.0,5467106.000000001,12986.0,421.0,0.0200942978588885,0.020116529256078763
2019-10-15,6288743.0,13129.75,8,50309944.0,105038.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8522259.0,12777.0,667.0,4654848.0,15312.0,304.0,7370780.999999999,13233.0,557.0,5393780.0,13060.0,413.0,7903319.999999999,11796.0,670.0,5618466.0,13158.0,427.0,5488002.000000001,12974.0,423.0,5358487.999999999,12728.0,421.0,0.010723159866045107,0.010738823348280357
2019-9-15,6222023.25,12990.25,8,49776186.0,103922.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8433548.0,12644.0,667.0,4605600.0,15150.0,304.0,7293915.0,13095.0,557.0,5336373.0,12921.0,413.0,7818900.0,11670.0,670.0,5558259.0,13017.0,427.0,5428359.0,12833.0,423.0,5301232.0,12592.0,421.0,-0.05398344538032973,-0.053964497041420145
2019-8-15,6577076.5,13731.25,8,52616612.0,109850.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8916456.0,13368.0,667.0,4868256.0,16014.0,304.0,7711108.0,13844.0,557.0,5640341.0,13657.0,413.0,8265120.0,12336.0,670.0,5875093.0,13759.0,427.0,5737149.0,13563.0,423.0,5603089.0,13309.0,421.0,0.041111803295633687,0.04113354184437501
2019-7-15,6317358.5,13188.75,8,50538868.0,105510.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8565614.0,12842.0,667.0,4675824.0,15381.0,304.0,7408100.0,13300.0,557.0,5417321.0,13117.0,413.0,7938830.0,11849.0,670.0,5642805.0,13215.0,427.0,5509152.0,13024.0,423.0,5381222.0,12782.0,421.0,-0.044212913358569805,-0.04418958582454613
2019-6-15,6609587.625,13798.5,8,52876701.0,110388.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8963813.0,13439.0,667.0,4891968.0,16092.0,304.0,7752326.0,13918.0,557.0,5667186.0,13722.0,413.0,8305990.0,12397.0,670.0,5903275.0,13825.0,427.0,5762952.0,13624.0,423.0,5629191.0,13371.0,421.0,0.0024197397102529994,0.002442811867161998
2019-5-15,6593632.75,13764.875,8,52749062.0,110119.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8943803.0,13409.0,667.0,4879808.0,16052.0,304.0,7735059.0,13887.0,557.0,5653144.000000001,13688.0,413.0,8285890.0,12367.0,670.0,5888757.0,13791.0,427.0,5747724.0,13588.0,423.0,5614877.0,13337.0,421.0,-0.003687667774189052,-0.0036733770640127172
2019-4-15,6618037.875,13815.625,8,52944303.0,110525.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8978487.0,13461.0,667.0,4898048.0,16112.0,304.0,7765137.0,13941.0,557.0,5673794.0,13738.0,413.0,8316040.0,12412.0,670.0,5910107.0,13841.0,427.0,5767605.0,13635.0,423.0,5635085.0,13385.0,421.0,0.06054358356675649,0.06056825923829079
2019-3-15,6240231.875,13026.625,8,49921855.0,104213.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8467565.0,12695.0,667.0,4618064.0,15191.0,304.0,7323436.0,13148.0,557.0,5349589.0,12953.0,413.0,7841010.0,11703.0,670.0,5572350.0,13050.0,427.0,5437242.0,12854.0,423.0,5312599.0,12619.0,421.0,0.038508619738111705,0.03852631369149062
2019-2-15,6008839.75,12543.375,8,48070718.0,100347.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8154742.0,12226.0,667.0,4446912.0,14628.0,304.0,7053291.0,12663.0,557.0,5150936.0,12472.0,413.0,7550230.0,11269.0,670.0,5365255.0,12565.0,427.0,5234202.0,12374.0,423.0,5115150.0,12150.0,421.0,0.00909458362350235,0.009121078037007235
