,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,12514760.0,13603.0,1,12514760.0,13603,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12514760.0,13603.0,920.0,0.029594308204662356,0.029594308204662356
2016-2-15,12155040.0,13212.0,1,12155040.0,13212,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12155040.0,13212.0,920.0,-0.0023408593219058638,-0.0023408593219058638
2016-3-15,12183560.0,13243.0,1,12183560.0,13243,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12183560.0,13243.0,920.0,0.006459948320413522,0.006459948320413522
2016-4-15,12105360.0,13158.0,1,12105360.0,13158,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12105360.0,13158.0,920.0,-0.01201381588827155,-0.01201381588827155
2016-5-15,12252560.0,13318.0,1,12252560.0,13318,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12252560.0,13318.0,920.0,0.003617181612660225,0.003617181612660225
2016-6-15,12208400.0,13270.0,1,12208400.0,13270,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12208400.0,13270.0,920.0,-0.014628350783396415,-0.014628350783396415
2016-7-15,12389640.0,13467.0,1,12389640.0,13467,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12389640.0,13467.0,920.0,-0.015786011839508896,-0.015786011839508896
2016-8-15,12588360.0,13683.0,1,12588360.0,13683,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12588360.0,13683.0,920.0,-0.04972567539412465,-0.04972567539412465
2016-9-15,13247080.0,14399.0,1,13247080.0,14399,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",13247080.0,14399.0,920.0,-0.017803547066848613,-0.017803547066848613
2016-10-15,13487200.0,14660.0,1,13487200.0,14660,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",13487200.0,14660.0,920.0,0.004866680375625432,0.004866680375625432
2016-11-15,13421880.0,14589.0,1,13421880.0,14589,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",13421880.0,14589.0,920.0,-0.023101647247890766,-0.023101647247890766
2016-12-15,13739280.0,14934.0,1,13739280.0,14934,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",13739280.0,14934.0,920.0,0.008168500641328569,0.008168500641328569
2017-1-15,13627960.0,14813.0,1,13627960.0,14813,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",13627960.0,14813.0,920.0,0.013825200191636355,0.013825200191636355
2017-2-15,13442120.0,14611.0,1,13442120.0,14611,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",13442120.0,14611.0,920.0,-0.026711963762323432,-0.026711963762323432
2017-3-15,13811040.0,15012.0,1,13811040.0,15012,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",13811040.0,15012.0,920.0,-0.01875939603895682,-0.01875939603895682
2017-4-15,14075080.0,15299.0,1,14075080.0,15299,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14075080.0,15299.0,920.0,-0.013731304796286703,-0.013731304796286703
2017-5-15,14271040.0,15512.0,1,14271040.0,15512,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14271040.0,15512.0,920.0,-0.04152249134948094,-0.04152249134948094
2017-6-15,14889280.0,16184.0,1,14889280.0,16184,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14889280.0,16184.0,920.0,0.01895107977082411,0.01895107977082411
2017-7-15,14612360.0,15883.0,1,14612360.0,15883,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14612360.0,15883.0,920.0,-0.0008178158027176696,-0.0008178158027176696
2017-8-15,14624320.0,15896.0,1,14624320.0,15896,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14624320.0,15896.0,920.0,-0.0038227737043303733,-0.0038227737043303733
2017-9-15,14680440.0,15957.0,1,14680440.0,15957,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14680440.0,15957.0,920.0,0.007322770027144765,0.007322770027144765
2017-10-15,14573720.0,15841.0,1,14573720.0,15841,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14573720.0,15841.0,920.0,-0.020649149922720267,-0.020649149922720267
2017-11-15,14881000.0,16175.0,1,14881000.0,16175,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",14881000.0,16175.0,920.0,,
2017-12-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
