,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",73447990.0,39277.0,1870.0,,,3657.0,69660834.0,38982.0,1787.0,,
2019-11-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",70740230.0,37829.0,1870.0,,,3657.0,67105424.0,37552.0,1787.0,,
2019-10-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",77670450.0,41535.0,1870.0,,,3657.0,73694093.0,41239.0,1787.0,,
2019-9-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",71284400.0,38120.0,1870.0,,,3657.0,67648672.0,37856.0,1787.0,,
2019-8-15,101334413.66666667,40912.666666666664,3,304003241.0,122738.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",74248350.0,39705.0,1870.0,159138012.0,43516.0,3657.0,70616879.0,39517.0,1787.0,-0.017027752929610784,-0.017002907232843034
2019-7-15,103089801.33333333,41620.333333333336,3,309269404.0,124861.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",75527430.0,40389.0,1870.0,161906361.0,44273.0,3657.0,71835613.0,40199.0,1787.0,-0.04861700155241511,-0.04859835871958795
2019-6-15,108357834.33333333,43746.333333333336,3,325073503.0,131239.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",79381500.0,42450.0,1870.0,170189466.0,46538.0,3657.0,75502537.0,42251.0,1787.0,0.01950398910234208,0.019530005826374097
2019-5-15,106284855.66666667,42908.333333333336,3,318854567.0,128725.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",77855580.0,41634.0,1870.0,166945707.0,45651.0,3657.0,74053280.0,41440.0,1787.0,0.07551877006858598,0.0755405902209152
2019-4-15,98821944.0,39894.666666666664,3,296465832.0,119684.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",72383960.0,38708.0,1870.0,155232336.0,42448.0,3657.0,68849536.0,38528.0,1787.0,0.13434488612902795,0.12442690717775262
2019-3-15,87118076.0,35480.0,3,261354228.0,106440.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",65554720.0,35056.0,1870.0,133443929.99999999,36490.0,3657.0,62355578.0,34894.0,1787.0,0.04480557953852271,0.09027215831685909
2019-2-15,83382093.0,32542.333333333332,3,250146279.0,97627.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",55370700.0,29610.0,1870.0,143208120.0,39160.0,3657.0,51567459.0,28857.0,1787.0,0.0798692036402826,0.07988496211492713
2019-1-15,77214993.0,30135.0,3,231644979.0,90405.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",51271660.0,27418.0,1870.0,132621104.99999999,36265.0,3657.0,47752214.0,26722.0,1787.0,0.022769948704800758,0.022773554167798027
2018-12-15,75495954.0,29464.0,3,226487862.0,88392.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",50127220.0,26806.0,1870.0,129669906.0,35458.0,3657.0,46690736.0,26128.0,1787.0,-0.008416712298724982,-0.011971429529526123
2018-11-15,76136775.33333333,29821.0,3,228410326.0,89463.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",51079050.0,27315.0,1870.0,129604079.99999999,35440.0,3657.0,47727196.0,26708.0,1787.0,-0.05945411768348918,-0.07291267267018309
2018-10-15,80949560.0,32166.333333333332,3,242848680.0,96499.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",56528230.0,30229.0,1870.0,132778356.00000001,36308.0,3657.0,53542094.0,29962.0,1787.0,0.0011920867524115586,0.001400938109667571
