,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,2250537.5384615385,6873.692307692308,13,29256988.0,89358.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2200548.0,6834.0,322.0,2000625.0,6875.0,291.0,2016048.0,6928.0,291.0,2666994.0,7131.0,374.0,2662809.0,6989.0,381.0,1903330.0,6655.0,286.0,1888747.0,6581.0,287.0,1897931.0,6613.0,287.0,1960463.0000000002,6691.0,293.0,3289653.0,7167.0,459.0,2659735.0,7055.0,377.0,2063100.0,6900.0,299.0,2047005.0,6939.0,295.0,0.03417808506562747,0.034176262947746006
2019-11-15,2176160.5384615385,6646.538461538462,13,28290087.0,86405.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2127776.0,6608.0,322.0,1934568.0,6648.0,291.0,1949700.0,6700.0,291.0,2578730.0,6895.0,374.0,2574798.0,6758.0,381.0,1840410.0,6435.0,286.0,1826181.0,6363.0,287.0,1835365.0,6395.0,287.0,1895417.0,6469.0,293.0,3180870.0,6930.0,459.0,2571894.0,6822.0,377.0,1994928.0000000002,6672.0,299.0,1979450.0,6710.0,295.0,-0.014306380787360795,-0.01430543355502567
2019-10-15,2207745.3846153845,6743.0,13,28700690.0,87659.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2158366.0,6703.0,322.0,1962795.0,6745.0,291.0,1977927.0,6797.0,291.0,2616130.0,6995.0,374.0,2612136.0,6856.0,381.0,1867294.0,6529.0,286.0,1852585.0,6455.0,287.0,1862055.9999999998,6488.0,287.0,1922959.0,6563.0,293.0,3227229.0,7031.0,459.0,2609217.0,6921.0,377.0,2023931.0,6769.0,299.0,2008065.0,6807.0,295.0,-0.008962629811552159,-0.008965314520870127
2019-9-15,2227711.5384615385,6804.0,13,28960250.0,88452.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2178008.0,6764.0,322.0,1980837.0,6807.0,291.0,1995678.0,6858.0,291.0,2639692.0,7058.0,374.0,2635758.0,6918.0,381.0,1884168.0,6588.0,286.0,1869518.0,6514.0,287.0,1878702.0,6546.0,287.0,1940246.0,6622.0,293.0,3256146.0,7094.0,459.0,2632968.0,6984.0,377.0,2042469.0,6831.0,299.0,2026060.0,6868.0,295.0,0.024718175742816095,0.024591967936614667
2019-8-15,2173974.846153846,6640.692307692308,13,28261673.0,86329.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2123590.0,6595.0,322.0,1931658.0,6638.0,291.0,1945917.0,6687.0,291.0,2573867.9999999995,6882.0,374.0,2569844.9999999995,6745.0,381.0,1836978.0,6423.0,286.0,1822737.0,6351.0,287.0,1856029.0,6467.0,287.0,1891901.0,6457.0,293.0,3174903.0,6917.0,459.0,2566993.0,6809.0,377.0,1991639.0,6661.0,299.0,1975615.0,6697.0,295.0,-0.04260672931067233,-0.04260793381464112
2019-7-15,2270722.923076923,6936.2307692307695,13,29519398.0,90171.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2217936.0,6888.0,322.0,2017794.0,6934.0,291.0,2032635.0,6985.0,291.0,2688312.0,7188.0,374.0,2684145.0,7045.0,381.0,1918774.0,6709.0,286.0,1903958.0,6634.0,287.0,1938685.0,6755.0,287.0,1975992.0,6744.0,293.0,3316275.0,7225.0,459.0,2681224.0,7112.0,377.0,2080143.0,6957.0,299.0,2063525.0,6995.0,295.0,0.0907352052534307,0.0907342445869117
2019-6-15,2081827.8461538462,6359.2307692307695,13,27063762.0,82670.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2033429.9999999998,6315.0,322.0,1849887.0,6357.0,291.0,1863564.0,6404.0,291.0,2464660.0,6590.0,374.0,2460879.0,6459.0,381.0,1759186.0,6151.0,286.0,1745534.0,6082.0,287.0,1777391.0,6193.0,287.0,1811619.0,6183.0,293.0,3040416.0000000005,6624.0,459.0,2458040.0,6520.0,377.0,1907321.0,6379.0,299.0,1891835.0,6413.0,295.0,-0.08785674344670158,-0.08785983030463507
2019-5-15,2282347.4615384615,6971.7692307692305,13,29670517.0,90633.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2229206.0,6923.0,322.0,2028561.0,6971.0,291.0,2043111.0,7021.0,291.0,2701776.0,7224.0,374.0,2697861.0,7081.0,381.0,1928498.0,6743.0,286.0,1913716.0,6668.0,287.0,1948730.0,6790.0,287.0,1986247.0,6779.0,293.0,3333258.0,7262.0,459.0,2694796.0,7148.0,377.0,2090907.0,6993.0,299.0,2073849.9999999998,7030.0,295.0,0.00023149544981815318,0.00020968062330317672
2019-4-15,2281819.230769231,6970.307692307692,13,29663650.0,90614.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2228240.0,6920.0,322.0,2027688.0,6968.0,291.0,2041947.0,7017.0,291.0,2700654.0,7221.0,374.0,2696718.0,7078.0,381.0,1927354.0,6739.0,286.0,1912568.0,6664.0,287.0,1947869.0,6787.0,287.0,1985075.0,6775.0,293.0,3331422.0,7258.0,459.0,2693665.0,7145.0,377.0,2097485.0,7015.0,299.0,2072965.0,7027.0,295.0,0.054221058306995085,0.054215045256765126
2019-3-15,2164459.923076923,6611.846153846154,13,28137979.0,85954.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2116184.0,6572.0,322.0,1923510.0,6610.0,291.0,1936896.0,6656.0,291.0,2561526.0,6849.0,374.0,2557653.0,6713.0,381.0,1828112.0,6392.0,286.0,1814127.0,6321.0,287.0,1847419.0,6437.0,287.0,1882818.0,6426.0,293.0,3159756.0,6884.0,459.0,2554552.0,6776.0,377.0,1989546.0,6654.0,299.0,1965880.0,6664.0,295.0,-0.06476912397006696,-0.0647719977803648
2019-2-15,2314358.923076923,7069.7692307692305,13,30086666.0,91907.0,4242,"SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",2262694.0,7027.0,322.0,2056788.0,7068.0,291.0,2071047.0,7117.0,291.0,2738802.0,7323.0,374.0,2734818.0,7178.0,381.0,1954810.0,6835.0,286.0,1939546.0,6758.0,287.0,1975421.0,6883.0,287.0,2013203.0,6871.0,293.0,3378240.0000000005,7360.0,459.0,2731742.0,7246.0,377.0,2127385.0,7115.0,299.0,2102170.0,7126.0,295.0,0.08823937177070573,0.08804309222209072
