,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9839792.0,17517.555555555555,9,88558128.0,157658.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14399967.0,18677.0,771.0,13534920.0,17220.0,786.0,7713402.0,16273.0,474.0,7769841.0,15447.0,503.0,8231145.0,16235.0,507.0,8967838.0,17723.0,506.0,9132925.0,18085.0,505.0,9571265.0,18953.0,505.0,9236825.0,19045.0,485.0,-0.017319717715793104,-0.01760311060984665
2019-11-15,10013218.111111112,17831.444444444445,9,90118963.0,160483.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14615847.0,18957.0,771.0,13738494.0,17479.0,786.0,7829057.999999999,16517.0,474.0,7885531.0,15677.0,503.0,8353839.000000001,16477.0,507.0,9104964.0,17994.0,506.0,9500565.0,18813.0,505.0,9713675.0,19235.0,505.0,9376990.0,19334.0,485.0,0.0798729708711341,0.07934895920906615
2019-10-15,9272588.888888888,16520.555555555555,9,83453300.0,148685.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",13493271.0,17501.0,771.0,12682896.0,16136.0,786.0,7228026.0,15249.0,474.0,7279919.0,14473.0,503.0,7712484.0,15212.0,507.0,8406684.0,16614.0,506.0,8771345.0,17369.0,505.0,8967285.0,17757.0,505.0,8911390.0,18374.0,485.0,-0.08895828131030503,-0.08895669809991247
2019-9-15,10178006.888888888,18133.666666666668,9,91602062.0,163203.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14810910.0,19210.0,771.0,13921632.0,17712.0,786.0,7933812.000000001,16738.0,474.0,7991664.0,15888.0,503.0,8466393.0,16699.0,507.0,9224886.0,18231.0,506.0,9627320.0,19064.0,505.0,9843965.0,19493.0,505.0,9781480.0,20168.0,485.0,-0.003614318575315467,-0.0036142739399859236
2019-8-15,10214926.888888888,18199.444444444445,9,91934342.0,163795.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14864880.0,19280.0,771.0,13971936.0,17776.0,786.0,7962725.999999999,16799.0,474.0,8021341.0,15947.0,503.0,8497827.0,16761.0,507.0,9255752.0,18292.0,506.0,9662165.0,19133.0,505.0,9880830.0,19566.0,505.0,9816885.0,20241.0,485.0,0.009909731208736394,0.009908254618097523
2019-7-15,10114693.0,18020.88888888889,9,91032237.0,162188.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14718390.0,19090.0,771.0,13835172.0,17602.0,786.0,7884990.0,16635.0,474.0,7943376.0,15792.0,503.0,8415186.0,16598.0,507.0,9162648.0,18108.0,506.0,9567225.0,18945.0,505.0,9784880.0,19376.0,505.0,9720370.0,20042.0,485.0,-0.036481361278349445,-0.03648212726268196
2019-6-15,10497662.0,18703.222222222223,9,94478958.0,168329.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",15275823.000000002,19813.0,771.0,14358648.0,18268.0,786.0,8183610.0,17265.0,474.0,8245176.000000001,16392.0,503.0,8735103.0,17229.0,507.0,9506728.0,18788.0,506.0,9929310.0,19662.0,505.0,10156560.0,20112.0,505.0,10088000.0,20800.0,485.0,0.011195701694448834,0.011197549034331677
2019-5-15,10381434.555555556,18496.11111111111,9,93432911.0,166465.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",15106973.999999998,19594.0,771.0,14199876.0,18066.0,786.0,8093075.999999999,17074.0,474.0,8154636.000000001,16212.0,503.0,8639280.0,17040.0,507.0,9398444.0,18574.0,506.0,9819220.0,19444.0,505.0,10044955.0,19891.0,505.0,9976450.0,20570.0,485.0,0.02133430157574523,0.02133285886077485
2019-4-15,10164580.333333334,18109.777777777777,9,91481223.0,162988.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14791635.0,19185.0,771.0,13902768.0,17688.0,786.0,7924332.0,16718.0,474.0,7985125.000000001,15875.0,503.0,8459802.0,16686.0,507.0,9199586.0,18181.0,506.0,9613685.0,19037.0,505.0,9836390.0,19478.0,505.0,9767900.0,20140.0,485.0,-0.012564292965062562,-0.012564975584931748
2019-3-15,10293916.111111112,18340.222222222223,9,92645245.0,165062.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14979759.0,19429.0,771.0,14079618.0,17913.0,786.0,8025294.0,16931.0,474.0,8087737.0,16079.0,503.0,8568300.0,16900.0,507.0,9313942.0,18407.0,506.0,9735895.0,19279.0,505.0,9962640.0,19728.0,505.0,9892060.0,20396.0,485.0,0.020274371310786687,0.020274196140485312
2019-2-15,10089360.666666666,17975.777777777777,9,90804246.0,161782.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14682153.0,19043.0,771.0,13799802.0,17557.0,786.0,7866029.999999999,16595.0,474.0,7927782.999999999,15761.0,503.0,8398962.0,16566.0,507.0,9126216.0,18036.0,506.0,9541975.0,18895.0,505.0,9765690.0,19338.0,505.0,9695635.0,19991.0,485.0,0.03683990541676119,0.03677167978262541
2019-1-15,9730876.111111112,17338.222222222223,9,87577885.0,156044.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14154789.0,18359.0,771.0,13303836.0,16926.0,786.0,7583526.0,15999.0,474.0,7643588.0,15196.0,503.0,8097803.999999999,15972.0,507.0,8795292.0,17382.0,506.0,9198575.0,18215.0,505.0,9415725.0,18645.0,505.0,9384750.0,19350.0,485.0,0.015215630608570008,0.015210857090809604
2018-12-15,9585033.777777778,17078.444444444445,9,86265304.0,153706.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",13941993.0,18083.0,771.0,13104192.0,16672.0,786.0,7470240.0,15760.0,474.0,7529910.0,14970.0,503.0,7977138.0,15734.0,507.0,8660696.0,17116.0,506.0,9060710.0,17942.0,505.0,9275840.0,18368.0,505.0,9244585.0,19061.0,485.0,-0.008871946408016917,-0.00887272539688666
2018-11-15,9670832.888888888,17231.333333333332,9,87037496.0,155082.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14066895.0,18245.0,771.0,13221306.0,16821.0,786.0,7537074.0,15901.0,474.0,7598318.0,15106.0,503.0,8049639.0,15877.0,507.0,8735584.0,17264.0,506.0,9141005.0,18101.0,505.0,9359670.0,18534.0,505.0,9328005.0,19233.0,485.0,-0.016640449769783072,-0.01663855528641922
2018-10-15,9834483.111111112,17522.88888888889,9,88510348.0,157706.0,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14305134.0,18554.0,771.0,13445316.0,17106.0,786.0,7664580.0,16170.0,474.0,7727589.0,15363.0,503.0,8186529.0,16147.0,507.0,8880300.0,17550.0,506.0,9295535.0,18407.0,505.0,9519250.0,18850.0,505.0,9486115.0,19559.0,485.0,-0.03799206659055554,-0.03799676701131538
