,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_change,npsf_change
2016-1-15,67195015.0,27863.5,2,134390030.0,55727,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",72580226.0,28474.0,2549.0,61809804.0,27253.0,2268.0,0.029579043153471707,0.029579130177733504
2016-2-15,65264552.0,27063.0,2,130529104.0,54126,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",70495144.0,27656.0,2549.0,60033960.0,26470.0,2268.0,-0.002284945966361196,-0.0022857142857143353
2016-3-15,65414019.5,27125.0,2,130828039.0,54250,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",70655731.0,27719.0,2549.0,60172308.0,26531.0,2268.0,0.006436838168238701,0.006437489564588228
2016-4-15,64995653.0,26951.5,2,129991306.0,53903,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",70204558.0,27542.0,2549.0,59786748.0,26361.0,2268.0,-0.011987115571917784,-0.01198746265373829
2016-5-15,65784216.0,27278.5,2,131568432.0,54557,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",71055924.0,27876.0,2549.0,60512508.0,26681.0,2268.0,0.0035856972207728433,0.003587064493580039
2016-6-15,65549176.5,27181.0,2,131098353.0,54362,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",70803573.0,27777.0,2549.0,60294780.0,26585.0,2268.0,-0.014591379059032517,-0.014592056845577961
2016-7-15,66519792.0,27583.5,2,133039584.0,55167,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",71851212.0,28188.0,2549.0,61188372.0,26979.0,2268.0,-0.015858647152043326,-0.015859140859140863
2016-8-15,67591705.0,28028.0,2,135183410.0,56056,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",73008458.0,28642.0,2549.0,62174952.0,27414.0,2268.0,-0.049672628633614324,-0.04967280371613603
2016-9-15,71124653.5,29493.0,2,142249307.0,58986,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",76824311.0,30139.0,2549.0,65424996.0,28847.0,2268.0,-0.01784990713993173,-0.0178494122348396
2016-10-15,72417295.5,30029.0,2,144834591.0,60058,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",78221163.0,30687.0,2549.0,66613428.0,29371.0,2268.0,0.004918916271454243,0.004919349441135035
2016-11-15,72062824.5,29882.0,2,144125649.0,59764,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",77838813.0,30537.0,2549.0,66286836.0,29227.0,2268.0,-0.023111958768589957,-0.02311288371636866
2016-12-15,73767741.5,30589.0,2,147535483.0,61178,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",79679191.0,31259.0,2549.0,67856292.0,29919.0,2268.0,0.008139737392809154,0.008140531276778162
2017-1-15,73172139.5,30342.0,2,146344279.0,60684,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",79036843.0,31007.0,2549.0,67307436.0,29677.0,2268.0,0.013817125318791534,0.013816262091317588
2017-2-15,72174890.0,29928.5,2,144349780.0,59857,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",77958616.0,30584.0,2549.0,66391164.0,29273.0,2268.0,-0.02671638271239607,-0.026715447154471494
2017-3-15,74156072.0,30750.0,2,148312144.0,61500,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",80099776.0,31424.0,2549.0,68212368.0,30076.0,2268.0,-0.018700820086553827,-0.01870053612458511
