,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",47944813.0,19403.0,2471.0,,,1332.0,,
2019-11-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",51483285.0,20835.0,2471.0,,,1332.0,,
2019-10-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",51428923.0,20813.0,2471.0,,,1332.0,,
2019-9-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",51676023.0,20913.0,2471.0,,,1332.0,,
2019-8-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",52320954.0,21174.0,2471.0,,,1332.0,,
2019-7-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",53032602.0,21462.0,2471.0,,,1332.0,,
2019-6-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",53521860.0,21660.0,2471.0,,,1332.0,,
2019-5-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",53190746.0,21526.0,2471.0,,,1332.0,,
2019-4-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",48730591.0,19721.0,2471.0,,,1332.0,,
2019-3-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",50554189.0,20459.0,2471.0,,,1332.0,,
2019-2-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",55869310.0,22610.0,2471.0,,,1332.0,,
2019-1-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",53595990.0,21690.0,2471.0,,,1332.0,,
2018-12-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",43373463.0,17553.0,2471.0,,,1332.0,,
2018-11-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",54932801.0,22231.0,2471.0,,,1332.0,,
2018-10-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",51745211.0,20941.0,2471.0,,,1332.0,,
2018-9-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",54352116.0,21996.0,2471.0,,,1332.0,,
2018-8-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",51174410.0,20710.0,2471.0,,,1332.0,,
2018-7-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",55034112.0,22272.0,2471.0,,,1332.0,,
2018-6-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",51937949.0,21019.0,2471.0,,,1332.0,,
2018-5-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",49370580.0,19980.0,2471.0,,,1332.0,,
2018-4-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",50220604.0,20324.0,2471.0,,,1332.0,,
2018-3-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",50932252.0,20612.0,2471.0,,,1332.0,,
2018-2-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2018-1-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-12-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-11-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-10-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-9-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-8-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-7-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-6-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-5-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-4-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-3-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-2-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2017-1-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-12-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-11-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-10-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-9-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-8-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-7-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-6-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-5-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-4-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-3-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-2-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
2016-1-15,,,2,,,3803,"ROYAL VILLA,HAPPY VIEW TERR|六也別墅,樂景臺",,,2471.0,,,1332.0,,
