,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,33549397.5,20511.5,2,67098795.0,41023.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32902395.0,20373.0,1615.0,34196400.0,20650.0,1656.0,-0.02027586460857045,-0.020276079480320952
2019-11-15,34243718.5,20936.0,2,68487437.0,41872.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33583925.0,20795.0,1615.0,34903512.0,21077.0,1656.0,0.0032108342504630905,0.003210503617806282
2019-10-15,34134119.5,20869.0,2,68268239.0,41738.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33477335.0,20729.0,1615.0,34790904.0,21009.0,1656.0,0.007799360704799252,0.007799106603887385
2019-9-15,33869955.5,20707.5,2,67739911.0,41415.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33218935.000000004,20569.0,1615.0,34520976.0,20846.0,1656.0,0.006782728228722279,0.0067823803967328455
2019-8-15,33641772.5,20568.0,2,67283545.0,41136.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32996065.0,20431.0,1615.0,34287480.0,20705.0,1656.0,-0.036807393745719286,-0.03680809216071934
2019-7-15,34927357.5,21354.0,2,69854715.0,42708.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",34258995.0,21213.0,1615.0,35595720.0,21495.0,1656.0,0.10194319969549626,0.10194287483551356
2019-6-15,31696150.5,19378.5,2,63392301.0,38757.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",31090365.0,19251.0,1615.0,32301936.000000004,19506.0,1656.0,-0.05214115469867486,-0.05214116265988411
2019-5-15,33439737.0,20444.5,2,66879474.0,40889.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32800650.000000004,20310.0,1615.0,34078824.0,20579.0,1656.0,-0.03438377361573253,-0.03438422481993153
2019-4-15,34630463.0,21172.5,2,69260926.0,42345.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33969910.0,21034.0,1615.0,35291016.0,21311.0,1656.0,0.008430884904324865,0.008430377938129618
2019-3-15,34340938.5,20995.5,2,68681877.0,41991.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33687285.0,20859.0,1615.0,34994592.0,21132.0,1656.0,0.05717530509056168,0.057175226586102745
2019-2-15,32483674.5,19860.0,2,64967349.0,39720.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",31865564.999999996,19731.0,1615.0,33101784.000000004,19989.0,1656.0,-0.016319973569618007,-0.016320364545927335
2019-1-15,33022602.5,20189.5,2,66045205.0,40379.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32395285.0,20059.0,1615.0,33649920.0,20320.0,1656.0,0.05682089643256183,0.05682056113902845
2018-12-15,31247113.499999996,19104.0,2,62494226.99999999,38208.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",30654314.999999996,18981.0,1615.0,31839911.999999996,19227.0,1656.0,-0.05789493059647188,-0.057895255942400636
2018-11-15,33167334.0,20278.0,2,66334668.0,40556.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32539020.000000004,20148.0,1615.0,33795648.0,20408.0,1656.0,,
2018-10-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-9-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-8-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-7-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-6-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-5-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-4-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-3-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
