,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,6051789.4,17629.6,5,30258947.0,88148.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5301513.0,17613.0,301.0,5641342.0,18742.0,301.0,7109780.0,17132.0,415.0,6955668.0,17217.0,404.0,5250644.0,17444.0,301.0,0.03429437527659207,0.03428531199399232
2019-11-15,5851128.6,17045.2,5,29255643.0,85226.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5126331.0,17031.0,301.0,5454722.0,18122.0,301.0,6873645.0,16563.0,415.0,6724580.0,16645.0,404.0,5076365.0,16865.0,301.0,-0.014184978369324974,-0.014192682729344153
2019-10-15,5935321.0,17290.6,5,29676605.0,86453.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5200678.0,17278.0,301.0,5533885.0,18385.0,301.0,6972000.0,16800.0,415.0,6821136.0,16884.0,404.0,5148906.0,17106.0,301.0,-0.00884079554301398,-0.008850673545428567
2019-9-15,5988262.0,17445.0,5,29941310.0,87225.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5247634.0,17434.0,301.0,5583851.0,18551.0,301.0,7033835.0,16949.0,415.0,6881331.999999999,17033.0,404.0,5194658.0,17258.0,301.0,0.025729437636751396,0.025717914344175696
2019-8-15,5838052.2,17007.6,5,29190261.0,85038.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5116699.0,16999.0,301.0,5444488.000000001,18088.0,301.0,6856630.0,16522.0,415.0,6708420.0,16605.0,404.0,5064024.0,16824.0,301.0,-0.042464624813177254,-0.04247269451638336
2019-7-15,6096957.2,17762.0,5,30484786.0,88810.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5344255.000000001,17755.0,301.0,5686492.0,18892.0,301.0,7160410.0,17254.0,415.0,7005360.0,17340.0,404.0,5288269.0,17569.0,301.0,0.0908809903644312,0.09087112464992875
2019-6-15,5589021.4,16282.4,5,27945107.0,81412.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",4899377.0,16277.0,301.0,5213320.0,17320.0,301.0,6563225.0,15815.0,415.0,6421580.0,15895.0,404.0,4847605.0,16105.0,301.0,-0.08774799155162216,-0.08775940119223702
2019-5-15,6126620.0,17848.8,5,30633100.0,89244.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5371345.0,17845.0,301.0,5715688.999999999,18989.0,301.0,7194025.0,17335.0,415.0,7038488.0,17422.0,404.0,5313553.0,17653.0,301.0,0.0006258259921516629,0.0006166679747503512
2019-4-15,6122788.2,17837.8,5,30613941.0,89189.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5368636.0,17836.0,301.0,5712679.000000001,18979.0,301.0,7189044.999999999,17323.0,415.0,7033640.0,17410.0,404.0,5309941.0,17641.0,301.0,0.05445353341467518,0.05444292064693079
2019-3-15,5806598.4,16916.8,5,29032992.0,84584.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5092017.0,16917.0,301.0,5418301.0,18001.0,301.0,6817205.0,16427.0,415.0,6670039.999999999,16510.0,404.0,5035429.0,16729.0,301.0,-0.06462618752927562,-0.06463634453549194
2019-2-15,6207783.8,18085.8,5,31038919.0,90429.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5444488.0,18088.0,301.0,5793347.0,19247.0,301.0,7287400.0,17560.0,415.0,7130600.0,17650.0,404.0,5383084.0,17884.0,301.0,0.08975214964082046,0.08974235376346673
2019-1-15,5696509.8,16596.4,5,28482549.0,82982.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",4996600.0,16600.0,301.0,5316864.0,17664.0,301.0,6686895.0,16113.0,415.0,6542779.999999999,16195.0,404.0,4939410.0,16410.0,301.0,0.0861082861349407,0.0860949688497985
2018-12-15,5244882.0,15280.8,5,26224410.0,76404.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",4601086.0,15286.0,301.0,4896066.0,16266.0,301.0,6156110.000000001,14834.0,415.0,6023640.0,14910.0,404.0,4547508.0,15108.0,301.0,-0.12518038035510903,-0.1251917836451487
2018-11-15,5995386.8,17467.6,5,29976934.0,87338.0,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",5260276.0,17476.0,301.0,5597396.0,18596.0,301.0,7036325.0,16955.0,415.0,6884968.0,17042.0,404.0,5197969.0,17269.0,301.0,,
2018-10-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-9-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-8-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-7-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-6-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-5-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-4-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-3-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-2-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-1-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-12-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-11-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-10-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-9-15,,,5,,,1722,"WEALTHY GDN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
