,1,2,4,5,6,7,8,A,B,C,E,F,H
2.0,6448,6448,6493,6450,6450,6582,6537,6454,6454,6446,6454,6454,6454
3.0,6470,6470,6515,6473,6473,6619,6559,6477,6477,6465,6477,6477,6477
4.0,6491,6491,6536,6494,6494,6626,6580,6498,6498,6489,6498,6498,6498
