,A,B,C,D,DH,E,EF,F,G,H,J
8.0,13998,13959,15726,16016,14291,16046,13447,15949,14134,13696,13606
16.0,14236,14195,15808,16051,14711,16093,13813,16409,13851,14049,13950
21.0,15190,14690,16190,16867,14974,16480,14055,16388,14889,14561,14465
