,A,B,C,D,E,F,G,H,I,J,K,L
2.0,4663274,4663274,4663274,4683084,4663274,4663274,4470268,3533510,4651388,4644030,3616740,3567300
3.0,3590138,3590138,3590138,4692140,3590138,3590138,3590138,3545940,3476372,3590138,3628626,3579144
4.0,3602590,3602590,3602590,4707988,3602590,4135762,3602590,3562970,4683084,3602590,3629904,3591552
