,A,B,C,D,DH,E,EF,F,G,H,J
8.0,6537066,6546771,4717800,4708704,11375636,4717524,7947177,4736853,6614712,6875392,6843818
16.0,6648212,6657455,4742400,4718994,11709956,4731342,8163483,4873473,6482268,7052598,7016850
21.0,7093730,6889610,4857000,4958898,11919304,4845120,8306505,4867236,6968052,7309622,7275895
