,A,B,C,D,E,F,G,H
5.0,12899,12321,12621,11376,12923,12430,12118,12565
13.0,13230,12938,13003,11686,12837,12815,12459,13000
21.0,13583,13041,13129,12015,12831,13226,12732,13132
