,A,B,C,D,E,F,G,H,J,K,L,M
5.0,590,591,591,590,481,481,590,591,591,590,427,478
14.0,590,591,591,590,481,481,590,591,591,590,427,478
23.0,590,591,591,590,481,481,590,591,591,590,427,478
