,4B,4E,4F,4G,A,B,C,D,E,F,G,H
6.0,14579,12835,14554,14491,12924,14551,14551,12653,13040,14505,14505,12924
13.0,15049,13237,14959,14954,13325,15017,15017,12905,13466,14969,13820,13325
20.0,15525,13630,15511,15421,13721,15488,15488,13309,13956,15133,15260,13721
