,5A,5B,5C,5D,5E,5F,5G,A,B,C,D,E,F,G,H
6.0,7134760,5177451,5100144,7272790,7147600,5185908,5186272,7134760,5118853,5118853,7134760,7134760,5260892,5260892,7134760
13.0,7335920,5321828,5242403,7487325,7464320,5329688,5329324,7335920,5261818,5261818,7335920,7335920,5407948,5407948,7335920
20.0,7544570,5485620,5393134,7678855,7643010,5480748,5613608,7544570,5413608,5413608,7544570,7544570,5500404,5500404,7493140
