,D,E,F,G,H,J,K,L,N
2.0,11068,10097,9289,10472,9618,10084,10027,10452,9831
3.0,10471,10079,9406,10313,9689,10148,10924,10334,9899
5.0,10530,10122,9656,10350,9727,9700,9785,9744,9999
