,5A,5B,5C,5D,5E,5F,5G,A,B,C,D,E,F,G,H
6.0,13336,14667,14448,13594,13360,14247,14248,13336,14501,14501,13336,13336,14453,14453,13336
13.0,13712,15076,14851,13995,13952,14642,14641,13712,14906,14906,13712,13712,14857,14857,13712
20.0,14102,15540,15278,14353,14286,15057,15422,14102,15336,15336,14102,14102,15111,15111,14138
