,6B,6D,6E,6G,6H,A,B,C,D,E,F,G,H
6.0,13344,13132,12747,13335,12821,12802,13243,13440,13731,12802,13170,13170,12802
13.0,13376,13480,12882,13377,12943,13419,13577,13478,14124,12913,13467,13467,13418
20.0,13704,13683,13244,13701,13267,13281,13867,13902,14167,13281,13796,13796,13829
