,A,B,C,D,E,G,H,K,M
2.0,11442,10854,10470,12053,10789,10438,10053,10367,10954
3.0,11478,10883,10497,10357,10786,10295,10096,10022,10984
5.0,11389,10989,10565,12222,10883,10365,10352,10309,11021
