,A,B,C,D,E,F,G,H,J,K,L,M
5.0,4935350,4948443,4942533,4947150,4175561,4175561,4921780,4948443,4948443,4941250,3771691,4153820
14.0,5115890,5129880,5104467,5128870,4329000,4329000,5101140,5129880,5129880,5122380,3910039,4306302
23.0,5298200,5314272,5283540,5313540,4484844,4484844,5283450,5314272,5314272,5305870,4050949,4461174
