,A,B,C,D,E,G,H,J,K
6.0,3633541,3652640,3800640,3633541,2757538,3628548,3769080,3028717,2723489
16.0,3764888,3784064,3933248,3764888,2857099,3759084,3902556,3139366,2824343
24.0,3868552,3888256,4042176,3868552,2933386,3863160,4010748,3225107,2900199
