,3A,3B,3C,3E,3F,3G,3H,A,B,C,D,E,F,G,H
5.0,355,338,338,355,350,350,355,355,323,338,355,355,350,350,355
12.0,355,338,338,355,350,350,355,355,338,338,355,355,350,350,333
20.0,355,338,338,355,350,350,355,355,338,338,355,355,350,350,355
