,B,C,D,F,G,H,I,J,K,L,M,N,O,P,Q
2.0,7307,8436,7976,7543,7879,8946,8633,7578,7607,8842,8606,7495,7578,8428,8475
3.0,7406,8460,8003,7539,7865,9131,8657,7764,7633,8820,8630,7519,7604,8452,8499
4.0,7336,7710,8032,7681,7992,8999,8685,7633,7909,9099,8658,7785,7633,8479,8526
