,3A,3B,3C,3E,3F,3G,3H,A,B,C,D,E,F,G,H
5.0,5149985,4839146,4863820,5027155,4952500,4866400,4932725,4927045,4532013,4720170,4927045,4967160,4906650,4882150,4927045
12.0,5273170,4071210,4987528,5176610,5132750,5116650,5203590,5233410,4960150,4960150,5233410,5237670,5116650,5065200,4894101
20.0,5367955,4183426,5140980,5335650,5280800,5321050,5373280,5163120,5156528,5156528,5389255,5328905,5143950,5321050,5389255
