,A,B,C,D,E,F,G,H
8.0,5416668,5736006,5814757,5627274,5217436,7042025,6687012,5337684
17.0,5494083,5946518,5855459,5791043,5293872,7191525,6914416,5548752
26.0,5573880,6127148,5926038,5858729,5464592,7482475,7275260,5713884
