,2A,2B,2C,2D,2E,2F,2G,2H,A,B,C,D,E,F,G,H
5.0,5074015,4776201,4752280,5011890,5208205,5037900,5146400,5203590,5102060,4901848,4686730,5102060,5102060,5080250,5037200,4815846
12.0,5174125,5144360,4871256,5073660,5305475,5045950,5203800,5286660,5298730,4956432,4956432,5298730,5298730,5132050,5132050,5298730
20.0,5278495,5285306,5010850,5262875,5315770,5127150,5350100,5294825,5290565,5058170,5058170,5290565,5290565,5224450,5224450,5290565
